消防署,計／出場件数,計／出場人員,計／延時間(時間：分),水防工法／出場件数,水防工法／出場人員,水防工法／延時間(時間：分),救助・誘導／出場件数,救助・誘導／出場人員,救助・誘導／延時間(時間：分),排水／出場件数,排水／出場人員,排水／延時間(時間：分),警戒／出場件数,警戒／出場人員,警戒／延時間(時間：分),その他／出場件数,その他／出場人員,その他／延時間(時間：分),使用車両等／計,使用車両等／車両,使用車両等／ヘリコプター,使用車両等／救命ボート,使用資器材／土のう,使用資器材／その他,救助人員,誘導人員
計,303,1910,264:45:00,23,302,35:04:00,6,52,8:25,36,309,66:07:00,114,641,91:12:00,124,606,63:57:00,412,412,－,－,1019,153,3,50
特別区,232,1435,209:42:00,16,218,21:17,4,24,6:59,31,266,57:51:00,103,549,84:50:00,78,378,38:45:00,298,298,－,－,817,51,3,50
丸の内,1,14,1:15,1,14,1:15,－,－,－,－,－,－,－,－,－,－,－,－,3,3,－,－,13,11,－,－
麹町,7,31,－,－,－,－,－,－,－,－,－,－,7,31,－,－,－,－,7,7,－,－,－,－,－,－
神田,4,38,2:33,－,－,－,－,－,－,2,26,1:43,－,－,－,2,12,0:50,8,8,－,－,－,－,－,－
京橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,2,10,2:15,－,－,－,－,－,－,－,－,－,2,10,2:15,－,－,－,2,2,－,－,－,－,－,－
芝,6,31,4:39,－,－,－,－,－,－,－,－,－,－,－,－,6,31,4:39,5,5,－,－,－,－,－,－
麻布,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤坂,3,18,0:40,－,－,－,－,－,－,－,－,－,3,18,0:40,－,－,－,3,3,－,－,－,－,－,－
高輪,1,5,2:55,－,－,－,－,－,－,－,－,－,－,－,－,1,5,2:55,1,1,－,－,－,－,－,－
品川,18,162,32:49:00,－,－,－,2,16,2:25,6,98,18:44,10,48,11:40,－,－,－,32,32,－,－,30,1,－,50
大井,2,22,1:20,1,16,1:20,－,－,－,－,－,－,－,－,－,1,6,－,5,5,－,－,－,－,－,－
荏原,2,15,2:37,－,－,－,－,－,－,－,－,－,2,15,2:37,－,－,－,3,3,－,－,－,－,－,－
大森,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
東調布,9,70,2:27,1,4,0:07,－,－,－,2,26,2:20,－,－,－,6,40,－,15,15,－,－,20,－,－,－
蒲田,2,20,1:34,－,－,－,－,－,－,1,15,1:34,－,－,－,1,5,－,4,4,－,－,－,27,－,－
矢口,8,41,2:01,－,－,－,－,－,－,1,10,1:28,－,－,－,7,31,0:33,9,9,－,－,－,－,－,－
目黒,7,33,7:10,1,10,3:33,－,－,－,－,－,－,5,16,2:29,1,7,1:08,7,7,－,－,30,－,－,－
世田谷,7,100,3:10,1,62,0:44,－,－,－,－,－,－,5,34,0:26,1,4,2:00,9,9,－,－,30,－,－,－
玉川,13,53,11:02,1,8,2:12,－,－,－,1,8,1:55,6,24,6:55,5,13,－,13,13,－,－,40,－,－,－
成城,15,58,13:26,－,－,－,－,－,－,3,14,6:15,－,－,－,12,44,7:11,12,12,－,－,－,－,－,－
渋谷,11,72,14:08,－,－,－,－,－,－,3,19,4:57,7,36,5:44,1,17,3:27,15,15,－,－,－,1,－,－
四谷,2,14,1:49,－,－,－,－,－,－,1,10,1:29,－,－,－,1,4,0:20,3,3,－,－,－,－,－,－
牛込,11,50,11:33,1,10,1:10,－,－,－,－,－,－,10,40,10:23,－,－,－,12,12,－,－,－,4,－,－
新宿,5,22,3:00,－,－,－,－,－,－,1,4,3:00,4,18,－,－,－,－,5,5,－,－,－,－,－,－
中野,31,122,27:58:00,1,5,0:16,2,8,4:34,7,22,9:43,14,58,6:00,7,29,7:25,36,36,－,－,30,－,3,－
野方,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
杉並,10,85,12:27,2,40,5:10,－,－,－,－,－,－,5,30,7:17,3,15,－,17,17,－,－,－,－,－,－
荻窪,17,113,9:41,－,－,－,－,－,－,－,－,－,8,64,8:36,9,49,1:05,23,23,－,－,－,－,－,－
小石川,5,26,6:26,3,16,2:25,－,－,－,2,10,4:01,－,－,－,－,－,－,7,7,－,－,154,－,－,－
本郷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊島,1,6,1:41,－,－,－,－,－,－,－,－,－,1,6,1:41,－,－,－,1,1,－,－,－,－,－,－
池袋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
王子,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤羽,1,18,2:15,1,18,2:15,－,－,－,－,－,－,－,－,－,－,－,－,4,4,－,－,320,7,－,－
滝野川,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
板橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
志村,6,54,8:48,1,11,0:29,－,－,－,－,－,－,5,43,8:19,－,－,－,10,10,－,－,120,－,－,－
練馬,4,33,4:27,1,4,0:21,－,－,－,－,－,－,1,21,3:14,2,8,0:52,8,8,－,－,30,－,－,－
光が丘,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
石神井,6,21,4:28,－,－,－,－,－,－,1,4,0:42,3,13,3:27,2,4,0:19,5,5,－,－,－,－,－,－
