消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,"火災件数・管外からの延焼火災",り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損床面積(㎡),林野焼損面積(ａ)
平成27年,"4,433","2,922",84,93,515,"2,230",3,296,2,3,1204,3,-,"2,413",201,194,"2,018","4,802","3,390",114,111,643,"2,522","20,750",21
平成28年,"3,982","2,766",75,89,421,"2,181",1,275,3,1,934,2,-,"2,133",137,146,"1,850","4,123","3,107",100,102,521,"2,384","17,529",1
平成29年,"4,205","2,837",84,77,474,"2,202",3,216,-,-,"1,148",1,-,"2,486",208,219,"2,059","4,884","3,266",115,94,614,"2,443","20,719",32
平成30年,"3,973","2,696",64,87,447,"2,098",2,225,3,-,1046,1,-,"2,200",174,169,"1,857","4,239","2,999",84,102,539,"2,274","18,604",420
令和元年,"4,089","2,904",81,83,455,"2,285",5,206,1,-,969,3,1,"2,335",203,171,"1,961","4,395","3,284",107,100,583,"2,494","18,295",782
特別区,"3,053","2,228",39,55,355,"1,779",-,138,1,-,682,3,1,"1,767",138,133,"1,496","3,202","2,481",46,68,455,"1,912","11,971",-
丸の内,50,44,-,-,1,43,-,1,-,-,5,-,-,-,-,-,-,-,44,-,-,1,43,-,-
麹町,49,38,-,-,2,36,-,5,-,-,6,-,-,5,1,-,4,13,38,-,-,2,36,1,-
神田,59,42,1,-,8,33,-,1,-,-,16,-,-,12,1,-,11,24,47,1,-,9,37,60,-
京橋,51,41,-,-,1,40,-,-,-,-,10,-,-,6,-,-,6,9,41,-,-,1,40,-,-
日本橋,53,40,-,-,4,36,-,3,-,-,10,-,-,11,-,-,11,14,40,-,-,4,36,10,-
臨港,28,16,-,1,1,14,-,3,-,-,9,-,-,12,1,-,11,30,16,-,1,1,14,56,-
芝,58,46,-,1,7,38,-,2,-,-,10,-,-,21,1,-,20,38,51,-,1,9,41,71,-
麻布,52,41,-,-,4,37,-,-,-,-,10,1,-,11,-,-,11,20,44,-,-,6,38,30,-
赤坂,39,32,-,-,1,31,-,-,-,-,7,-,-,4,-,-,4,11,33,-,-,1,32,-,-
高輪,27,25,-,-,1,24,-,-,-,-,2,-,-,9,1,1,7,17,25,-,-,1,24,8,-
品川,42,39,-,1,9,29,-,-,-,-,3,-,-,18,-,3,15,35,41,-,2,9,30,160,-
大井,36,21,-,-,3,18,-,3,-,-,12,-,-,22,4,3,15,51,22,-,-,3,19,55,-
荏原,29,24,1,-,5,18,-,-,-,-,5,-,-,32,2,1,29,54,25,1,-,5,19,85,-
大森,53,40,-,1,10,29,-,3,-,-,10,-,-,31,3,1,27,53,44,-,1,11,32,815,-
田園調布,37,28,1,-,1,26,-,2,-,-,7,-,-,22,1,1,20,44,31,1,1,2,27,188,-
蒲田,53,37,-,1,6,30,-,6,-,-,10,-,-,20,-,8,12,42,40,-,1,8,31,94,-
矢口,28,19,-,-,5,14,-,-,-,-,9,-,-,18,2,-,16,21,19,-,-,5,14,18,-
目黒,67,45,-,2,5,38,-,5,-,-,15,2,-,27,-,4,23,63,47,-,2,6,39,260,-
世田谷,89,67,2,1,17,47,-,8,-,-,14,-,-,76,5,5,66,129,77,2,1,23,51,315,-
玉川,57,47,2,-,8,37,-,2,-,-,8,-,-,30,1,2,27,51,57,5,1,9,42,275,-
成城,66,48,-,3,9,36,-,6,-,-,12,-,-,49,7,2,40,85,52,-,3,10,39,293,-
渋谷,140,106,-,-,8,98,-,10,-,-,24,-,-,39,2,-,37,52,106,-,-,8,98,102,-
四谷,31,23,-,-,4,19,-,1,-,-,7,-,-,7,-,-,7,15,24,-,-,4,20,1,-
牛込,25,22,-,1,2,19,-,-,-,-,3,-,-,19,-,1,18,29,22,-,1,2,19,145,-
新宿,160,113,1,2,16,94,-,4,-,-,43,-,-,78,3,2,73,130,127,3,2,26,96,332,-
中野,51,37,-,2,5,30,-,1,-,-,13,-,-,38,2,3,33,65,42,-,2,6,34,90,-
野方,50,39,-,2,6,31,-,-,-,-,11,-,-,59,10,10,39,87,42,-,2,7,33,167,-
杉並,76,57,2,6,8,41,-,3,-,-,16,-,-,69,9,4,56,137,76,2,8,14,52,458,-
荻窪,49,40,-,2,7,31,-,4,-,-,5,-,-,35,-,3,32,73,44,-,2,8,34,125,-
小石川,36,22,-,-,8,14,-,3,-,-,11,-,-,16,2,-,14,31,22,-,-,8,14,66,-
本郷,32,30,1,-,4,25,-,-,-,-,2,-,-,25,1,2,22,45,38,1,-,6,31,455,-
豊島,63,54,-,1,11,42,-,-,-,-,9,-,-,56,4,14,38,88,55,-,1,12,42,179,-
池袋,55,47,1,-,8,38,-,-,-,-,8,-,-,29,1,2,26,47,51,1,1,8,41,210,-
王子,27,18,-,-,4,14,-,-,-,-,9,-,-,12,1,1,10,21,18,-,-,4,14,25,-
赤羽,33,27,-,3,7,17,-,-,-,-,6,-,-,31,2,9,20,48,32,-,2,9,21,176,-
滝野川,16,9,-,-,2,7,-,-,-,-,7,-,-,6,-,-,6,12,9,-,-,2,7,-,-
板橋,61,41,3,1,10,27,-,3,-,-,17,-,-,62,8,-,54,113,56,3,1,19,33,455,-
志村,97,63,2,2,15,44,-,8,-,-,26,-,-,81,7,2,72,162,74,2,3,20,49,1123,-
練馬,45,37,2,1,6,28,-,-,-,-,8,-,-,42,3,-,39,78,45,2,1,9,33,290,-
光が丘,44,35,1,-,2,32,-,1,-,-,8,-,-,34,1,2,31,88,41,1,-,3,37,130,-
石神井,52,36,1,2,9,24,-,5,-,-,10,-,1,42,4,2,36,73,44,1,2,11,30,251,-
上野,38,26,-,-,4,22,-,-,-,-,12,-,-,9,-,-,9,15,26,-,-,4,22,22,-
浅草,28,22,-,-,6,16,-,1,-,-,5,-,-,7,1,-,6,9,23,-,-,6,17,53,-
日本堤,31,23,-,-,3,20,-,2,-,-,6,-,-,15,-,-,15,32,23,-,-,3,20,32,-
荒川,45,34,1,-,5,28,-,3,-,-,8,-,-,26,3,-,23,54,36,1,-,6,29,249,-
尾久,18,13,1,-,3,9,-,-,-,-,5,-,-,18,2,1,15,34,20,1,1,5,13,142,-
千住,35,21,-,3,3,15,-,2,1,-,11,-,-,25,7,4,14,36,26,-,3,7,16,200,-
足立,91,59,3,3,12,41,-,5,-,-,27,-,-,78,7,13,58,130,72,4,4,16,48,833,-
西新井,64,39,4,3,4,28,-,6,-,-,19,-,-,33,2,3,28,70,46,5,3,7,31,705,-
本所,46,30,1,1,6,22,-,3,-,-,13,-,-,31,2,2,27,49,42,1,1,13,27,146,-
向島,35,24,-,2,3,19,-,3,-,-,8,-,-,30,4,5,21,43,28,-,2,4,22,179,-
深川,90,69,1,1,2,65,-,4,-,-,17,-,-,32,1,2,29,70,73,1,2,4,66,160,-
城東,79,40,1,2,7,30,-,4,-,-,35,-,-,26,2,2,22,52,44,1,3,8,32,456,-
本田,78,53,3,-,15,35,-,4,-,-,21,-,-,62,4,5,53,127,68,3,3,22,40,541,-
金町,44,25,1,1,8,15,-,1,-,-,18,-,-,19,2,-,17,33,25,1,1,8,15,122,-
江戸川,63,43,-,1,9,33,-,2,-,-,18,-,-,78,6,5,67,134,50,-,1,11,38,213,-
葛西,51,32,1,1,6,24,-,3,-,-,16,-,-,27,1,2,24,47,34,1,1,8,24,185,-
小岩,51,39,1,1,9,28,-,2,-,-,10,-,-,35,4,1,30,69,43,1,1,11,30,159,-
受託地区,1036,676,42,28,100,506,5,68,-,-,287,-,-,568,65,38,465,"1,193",803,61,32,128,582,"6,324",782
立川,68,49,1,2,6,40,-,2,-,-,17,-,-,38,5,1,32,90,55,1,2,6,46,359,-
武蔵野,46,34,-,2,2,30,-,1,-,-,11,-,-,10,1,-,9,21,36,-,2,3,31,75,-
三鷹,53,36,-,2,6,28,-,4,-,-,13,-,-,25,2,-,23,42,38,-,2,6,30,111,-
府中,59,39,1,-,6,32,-,6,-,-,14,-,-,30,5,-,25,59,39,1,-,6,32,75,-
昭島,33,22,2,-,3,17,-,2,-,-,9,-,-,16,-,-,16,34,28,2,-,5,21,466,-
調布,59,42,2,2,4,34,-,3,-,-,14,-,-,29,2,2,25,66,47,2,2,4,39,203,-
小金井,35,28,-,2,5,21,-,1,-,-,6,-,-,18,-,3,15,31,31,-,2,5,24,232,-
小平,39,26,1,-,4,21,-,2,-,-,11,-,-,22,1,1,20,49,27,1,1,4,21,198,-
東村山,27,18,-,1,1,16,-,3,-,-,6,-,-,14,-,1,13,36,19,-,1,1,17,21,-
国分寺,25,17,1,1,2,13,-,1,-,-,7,-,-,11,1,-,10,25,21,3,1,4,13,82,-
狛江,19,12,2,-,-,10,-,3,-,-,4,-,-,13,2,-,11,28,20,3,-,1,16,161,-
北多摩西部,29,17,2,1,2,12,-,3,-,-,9,-,-,21,6,2,13,51,24,2,3,3,16,345,-
清瀬,19,9,-,-,4,5,-,-,-,-,10,-,-,3,-,-,3,5,9,-,-,4,5,2,-
東久留米,26,18,2,1,4,11,-,1,-,-,7,-,-,26,3,3,20,45,24,3,2,5,14,353,-
西東京,37,32,3,-,4,25,-,-,-,-,5,-,-,46,5,-,41,109,46,3,-,8,35,319,-
八王子,159,95,6,5,13,71,1,16,-,-,47,-,-,73,10,8,55,143,117,15,5,17,80,"1,079",-
青梅,26,18,3,2,2,11,1,3,-,-,4,-,-,17,1,1,15,34,24,3,2,4,15,220,30
町田,104,65,6,4,14,41,-,2,-,-,37,-,-,63,13,9,41,131,80,10,4,18,48,919,-
日野,47,30,3,-,5,22,-,3,-,-,14,-,-,40,4,3,33,84,35,3,-,6,26,395,-
福生,37,19,-,1,3,15,-,3,-,-,15,-,-,10,-,2,8,27,19,-,1,3,15,89,-
多摩,46,29,1,1,6,21,-,5,-,-,12,-,-,28,2,1,25,57,30,1,1,6,22,285,-
秋川,35,18,4,1,3,10,1,3,-,-,13,-,-,14,1,1,12,25,25,4,1,7,13,119,749
奥多摩,8,3,2,-,1,-,2,1,-,-,2,-,-,1,1,-,-,1,9,4,-,2,3,216,3
