国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,平成31年・令和元年中の死亡数
総数,0,13000,総数,12995,10924,10266,9418,10751,8293,9644,9707,9358,10413,9887,10192,121848
総数,1,13100,区部,8798,7311,6938,6310,7265,5592,6492,6521,6208,7040,6605,6839,81919
総数,1,13200,市部,4052,3499,3210,2999,3357,2594,3042,3087,3032,3254,3158,3221,38505
総数,2,13300,郡部,111,83,78,72,90,80,73,65,80,80,86,93,991
総数,2,13350,島部,34,31,40,37,39,27,37,34,38,39,38,39,433
総数,1,13100,区部,8798,7311,6938,6310,7265,5592,6492,6521,6208,7040,6605,6839,81919
総数,4,13101,千代田区,50,33,28,45,49,26,18,30,34,19,20,36,388
総数,4,13102,中央区,95,84,82,69,79,68,77,83,67,81,79,72,936
総数,4,13103,港区,163,119,116,116,151,127,129,120,133,153,140,132,1599
総数,4,13104,新宿区,293,257,201,221,232,182,208,226,241,246,212,218,2737
総数,4,13105,文京区,178,145,148,142,147,120,148,144,115,128,124,145,1684
総数,4,13106,台東区,204,165,177,156,169,116,157,152,167,187,143,164,1957
総数,4,13107,墨田区,278,223,195,211,221,172,180,179,204,208,207,196,2474
総数,4,13108,江東区,448,376,350,322,388,289,338,354,296,360,332,335,4188
総数,4,13109,品川区,343,266,268,252,261,223,259,281,252,255,273,294,3227
総数,4,13110,目黒区,191,185,175,181,190,143,150,124,155,167,153,177,1991
総数,4,13111,大田区,709,555,539,482,608,412,528,546,542,558,537,592,6608
総数,4,13112,世田谷区,744,636,643,496,643,512,565,514,512,564,552,632,7013
総数,4,13113,渋谷区,185,144,157,109,145,123,138,140,102,123,133,125,1624
総数,4,13114,中野区,293,256,235,205,261,182,232,227,222,238,243,224,2818
総数,4,13115,杉並区,453,413,369,376,411,319,391,340,334,445,393,374,4618
総数,4,13116,豊島区,312,222,200,186,224,142,169,212,189,184,176,193,2409
総数,4,13117,北区,395,334,305,265,302,257,307,291,248,350,278,293,3625
総数,4,13118,荒川区,229,198,199,173,173,144,179,189,155,195,186,161,2181
総数,4,13119,板橋区,550,521,506,363,455,360,373,444,380,485,443,458,5338
総数,4,13120,練馬区,665,579,518,494,582,406,513,472,494,515,488,516,6242
総数,4,13121,足立区,802,614,670,576,606,509,588,611,523,634,575,611,7319
総数,4,13122,葛飾区,562,453,393,386,430,345,363,382,393,404,434,389,4934
総数,4,13123,江戸川区,656,533,464,484,538,415,482,460,450,541,484,502,6009
総数,1,13200,市部,4052,3499,3210,2999,3357,2594,3042,3087,3032,3254,3158,3221,38505
総数,4,13201,八王子市,567,535,447,449,490,395,415,414,437,459,463,472,5543
総数,4,13202,立川市,190,143,160,134,162,109,140,134,152,156,139,127,1746
総数,4,13203,武蔵野市,124,93,102,87,99,80,110,96,100,106,90,93,1180
総数,4,13204,三鷹市,180,142,133,122,139,115,117,111,111,130,130,133,1563
総数,4,13205,青梅市,206,150,142,121,172,115,141,113,125,143,143,141,1712
総数,4,13206,府中市,226,197,172,183,186,126,151,156,152,173,201,182,2105
総数,4,13207,昭島市,108,114,138,89,120,65,83,88,84,88,80,112,1169
総数,4,13208,調布市,182,189,161,162,167,145,156,150,133,142,144,167,1898
総数,4,13209,町田市,434,355,342,321,307,289,358,331,361,328,332,319,4077
総数,4,13210,小金井市,109,72,60,69,90,58,80,84,68,75,92,77,934
総数,4,13211,小平市,167,158,137,106,141,98,112,131,124,156,137,126,1593
総数,4,13212,日野市,149,138,141,123,134,115,129,157,132,143,130,152,1643
総数,4,13213,東村山市,159,127,126,119,124,107,96,133,106,125,123,141,1486
総数,4,13214,国分寺市,95,104,69,70,78,67,80,102,72,86,82,90,995
総数,4,13215,国立市,80,57,47,48,55,57,62,58,45,58,53,50,670
総数,4,13218,福生市,63,58,47,47,59,42,52,53,49,52,56,47,625
総数,4,13219,狛江市,88,61,67,65,60,36,58,59,59,61,58,62,734
総数,4,13220,東大和市,85,64,54,66,73,48,70,56,58,83,62,73,792
総数,4,13221,清瀬市,80,73,75,63,70,46,55,68,67,70,73,79,819
総数,4,13222,東久留米市,129,121,100,88,96,72,100,93,95,99,91,121,1205
総数,4,13223,武蔵村山市,77,61,55,53,60,58,50,55,51,57,50,57,684
総数,4,13224,多摩市,146,111,111,100,118,95,100,114,136,96,119,91,1337
総数,4,13225,稲城市,64,52,45,52,56,43,72,61,49,67,51,52,664
総数,4,13227,羽村市,66,56,46,43,51,33,29,45,43,62,46,39,559
総数,4,13228,あきる野市,99,74,91,79,85,65,79,69,81,81,89,85,977
総数,4,13229,西東京市,179,194,142,140,165,115,147,156,142,158,124,133,1795
総数,1,13550,町村部,145,114,118,109,129,107,110,99,118,119,124,132,1424
総数,2,13300,郡部,111,83,78,72,90,80,73,65,80,80,86,93,991
総数,4,13303,瑞穂町,46,22,29,31,41,31,28,29,28,29,29,28,371
総数,4,13305,日の出町,43,35,30,23,30,30,28,14,28,29,30,36,356
総数,4,13307,檜原村,8,10,5,8,3,4,6,7,9,7,12,10,89
総数,4,13308,奥多摩町,14,16,14,10,16,15,11,15,15,15,15,19,175
総数,2,13350,島部,34,31,40,37,39,27,37,34,38,39,38,39,433
総数,3,13360,大島支庁,20,17,20,21,25,14,17,20,16,19,18,25,232
総数,4,13361,大島町,10,12,18,11,13,7,13,14,10,10,11,14,143
総数,4,13362,利島村,1,0,0,0,2,1,0,0,1,0,0,0,5
総数,4,13363,新島村,7,2,2,4,9,4,2,5,1,8,5,7,56
総数,4,13364,神津島村,2,3,0,6,1,2,2,1,4,1,2,4,28
総数,3,13380,三宅支庁,3,4,5,7,3,6,6,2,6,5,2,5,54
総数,4,13381,三宅村,3,4,5,7,3,6,6,1,6,5,1,5,52
総数,4,13382,御蔵島村,0,0,0,0,0,0,0,1,0,0,1,0,2
総数,3,13400,八丈支庁,11,10,12,8,9,7,14,12,16,13,18,9,139
総数,4,13401,八丈町,11,10,12,8,9,7,14,12,15,13,18,9,138
総数,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,1,0,0,0,1
総数,3,13420,小笠原支庁,0,0,3,1,2,0,0,0,0,2,0,0,8
総数,4,13421,小笠原村,0,0,3,1,2,0,0,0,0,2,0,0,8
日本人,0,13000,総数,12897,10852,10183,9350,10667,8227,9562,9632,9279,10319,9823,10114,120905
日本人,1,13100,区部,8719,7259,6869,6254,7195,5540,6423,6463,6137,6971,6556,6777,81163
日本人,1,13200,市部,4034,3479,3196,2987,3344,2580,3029,3071,3026,3229,3143,3205,38323
日本人,2,13300,郡部,110,83,78,72,89,80,73,65,78,80,86,93,987
日本人,2,13350,島部,34,31,40,37,39,27,37,33,38,39,38,39,432
日本人,1,13100,区部,8719,7259,6869,6254,7195,5540,6423,6463,6137,6971,6556,6777,81163
日本人,4,13101,千代田区,50,33,28,43,49,26,18,30,34,19,20,36,386
日本人,4,13102,中央区,95,84,82,67,78,67,77,83,67,79,79,72,930
日本人,4,13103,港区,162,115,114,114,149,125,126,119,130,151,136,130,1571
日本人,4,13104,新宿区,285,256,201,216,227,179,207,221,235,244,208,214,2693
日本人,4,13105,文京区,178,144,148,140,147,120,145,140,114,128,122,144,1670
日本人,4,13106,台東区,199,161,175,155,166,113,154,152,166,186,138,162,1927
日本人,4,13107,墨田区,275,222,192,208,217,168,178,178,198,206,205,196,2443
日本人,4,13108,江東区,444,374,348,318,383,287,332,347,294,358,331,331,4147
日本人,4,13109,品川区,340,265,266,251,261,222,254,280,244,254,272,292,3201
日本人,4,13110,目黒区,188,184,174,181,189,143,146,123,155,167,153,177,1980
日本人,4,13111,大田区,702,552,535,480,604,410,523,543,541,552,528,585,6555
日本人,4,13112,世田谷区,739,632,637,495,640,508,561,511,509,562,547,627,6968
日本人,4,13113,渋谷区,184,143,155,109,143,123,137,137,101,122,130,124,1608
日本人,4,13114,中野区,292,253,235,204,258,181,230,226,221,233,243,223,2799
日本人,4,13115,杉並区,451,412,368,373,410,319,391,339,334,444,392,374,4607
日本人,4,13116,豊島区,309,222,196,185,221,142,165,211,185,183,176,186,2381
日本人,4,13117,北区,393,330,303,261,299,252,306,289,247,344,278,293,3595
日本人,4,13118,荒川区,221,194,195,171,168,141,177,181,148,187,183,157,2123
日本人,4,13119,板橋区,548,520,503,359,451,358,372,443,377,481,442,456,5310
日本人,4,13120,練馬区,661,576,515,489,578,403,509,469,489,511,487,513,6200
日本人,4,13121,足立区,793,612,656,573,594,499,580,606,518,622,574,601,7228
日本人,4,13122,葛飾区,557,445,386,380,428,341,358,380,387,402,429,385,4878
日本人,4,13123,江戸川区,653,530,457,482,535,413,477,455,443,536,483,499,5963
日本人,1,13200,市部,4034,3479,3196,2987,3344,2580,3029,3071,3026,3229,3143,3205,38323
日本人,4,13201,八王子市,565,533,445,449,490,394,414,412,435,457,461,472,5527
日本人,4,13202,立川市,190,142,159,133,161,108,138,134,152,155,138,125,1735
日本人,4,13203,武蔵野市,124,93,101,87,99,79,109,95,100,105,89,91,1172
日本人,4,13204,三鷹市,180,140,133,119,139,115,115,110,111,129,130,131,1552
日本人,4,13205,青梅市,205,147,141,121,170,112,139,112,125,142,143,141,1698
日本人,4,13206,府中市,224,195,169,181,184,126,151,154,152,172,200,182,2090
日本人,4,13207,昭島市,107,113,138,88,120,64,83,88,84,86,80,111,1162
日本人,4,13208,調布市,181,188,160,161,166,143,156,147,133,140,143,165,1883
