国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成31年・令和元年中の増減
総数,0,13000,総数,2203,-250,4855,13181,1394,1077,3202,-4472,6015,7318,175,-3208,31490
総数,1,13100,区部,2241,54,3787,11583,1215,870,3335,-3372,4713,6679,104,-2893,28316
総数,1,13200,市部,-39,-308,1060,1601,192,197,-146,-1115,1303,627,68,-301,3139
総数,2,13300,郡部,-2,4,7,6,-5,-2,7,2,0,4,-2,-4,15
総数,2,13350,島部,3,0,1,-9,-8,12,6,13,-1,8,5,-10,20
総数,1,13100,区部,2241,54,3787,11583,1215,870,3335,-3372,4713,6679,104,-2893,28316
総数,4,13101,千代田区,52,55,32,98,24,17,16,20,53,115,-2,-67,413
総数,4,13102,中央区,82,132,63,117,30,100,41,-3,27,159,10,-43,715
総数,4,13103,港区,266,108,128,214,143,-28,-67,36,239,163,49,-421,830
総数,4,13104,新宿区,194,-178,645,2189,-6,108,686,-757,867,1110,7,-342,4523
総数,4,13105,文京区,34,-35,168,281,10,3,22,-116,477,180,-2,-143,879
総数,4,13106,台東区,92,21,55,522,94,-29,135,-77,80,342,-13,-38,1184
総数,4,13107,墨田区,58,19,5,252,54,32,86,-31,7,156,37,43,718
総数,4,13108,江東区,130,-86,17,307,45,58,126,-99,60,203,89,-58,792
総数,4,13109,品川区,122,18,20,163,75,29,36,23,80,67,11,-83,561
総数,4,13110,目黒区,-3,-27,31,309,66,42,2,-116,290,4,-3,-146,449
総数,4,13111,大田区,98,80,41,247,48,135,64,-93,199,171,-31,-211,748
総数,4,13112,世田谷区,70,13,374,726,126,155,66,-323,215,353,-24,-176,1575
総数,4,13113,渋谷区,83,-6,141,200,-16,-78,-20,-81,100,55,-5,-208,165
総数,4,13114,中野区,-57,-82,235,598,-20,50,128,-269,231,305,-20,-328,771
総数,4,13115,杉並区,72,-66,288,499,19,75,65,-217,231,113,13,-93,999
総数,4,13116,豊島区,110,-64,110,1013,-84,-63,253,-420,235,600,-70,-175,1445
総数,4,13117,北区,89,-15,127,628,31,-35,245,-141,120,354,-14,-13,1376
総数,4,13118,荒川区,22,-54,101,622,-21,-29,106,-92,8,364,13,-51,989
総数,4,13119,板橋区,105,4,301,723,39,78,241,-171,210,447,-4,-98,1875
総数,4,13120,練馬区,77,19,234,554,57,130,192,-258,220,203,-9,-109,1310
総数,4,13121,足立区,115,107,101,324,251,51,298,70,173,369,113,62,2034
総数,4,13122,葛飾区,21,16,102,542,6,48,146,-123,158,276,33,-163,1062
総数,4,13123,江戸川区,409,75,468,455,244,21,468,-134,433,570,-74,-32,2903
総数,1,13200,市部,-39,-308,1060,1601,192,197,-146,-1115,1303,627,68,-301,3139
総数,4,13201,八王子市,-45,-73,45,197,48,-24,-35,-198,169,52,-19,-15,102
総数,4,13202,立川市,23,22,63,31,-6,49,64,-20,64,51,47,31,419
