国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成31年・令和元年中の転出者数
総数,0,13000,総数,24194,27488,68041,46033,28878,27680,29958,27551,27500,27058,23464,25175,383020
総数,1,13100,区部,18590,21055,50284,35320,22432,21574,23364,21446,21168,21154,18267,19802,294456
総数,1,13200,市部,5529,6351,17342,10530,6353,6021,6516,6014,6244,5829,5116,5297,87142
総数,2,13300,郡部,49,40,152,59,59,47,38,41,44,48,44,50,671
総数,2,13350,島部,26,42,263,124,34,38,40,50,44,27,37,26,751
総数,1,13100,区部,18590,21055,50284,35320,22432,21574,23364,21446,21168,21154,18267,19802,294456
総数,4,13101,千代田区,114,161,403,322,165,124,137,144,152,124,128,111,2085
総数,4,13102,中央区,329,355,806,654,428,360,449,407,391,400,335,318,5232
総数,4,13103,港区,468,517,1144,873,613,571,602,550,544,527,445,533,7387
総数,4,13104,新宿区,769,910,2588,1835,1085,1097,1116,1014,1022,972,820,888,14116
総数,4,13105,文京区,426,452,1439,984,487,440,465,472,462,469,337,379,6812
総数,4,13106,台東区,466,508,1023,894,587,490,473,480,530,492,412,476,6831
総数,4,13107,墨田区,581,614,1305,1002,593,603,724,658,639,578,598,569,8464
総数,4,13108,江東区,879,924,2527,1823,1155,1039,1089,1120,1073,983,759,909,14280
総数,4,13109,品川区,829,889,1934,1502,980,859,1013,871,935,901,739,879,12331
総数,4,13110,目黒区,531,628,1413,1079,650,634,723,681,575,679,545,655,8793
総数,4,13111,大田区,1605,1758,3945,2828,1902,1884,2011,1899,1923,1984,1531,1714,24984
総数,4,13112,世田谷区,1637,2022,4728,3005,2052,1943,2068,1952,1801,1848,1719,1756,26531
総数,4,13113,渋谷区,451,495,910,669,480,507,577,520,470,462,453,489,6483
総数,4,13114,中野区,674,763,2005,1471,858,903,846,781,805,745,712,727,11290
総数,4,13115,杉並区,1002,1166,2921,2016,1240,1215,1323,1201,1041,1064,961,1036,16186
総数,4,13116,豊島区,723,838,1960,1565,953,900,840,816,888,871,649,713,11716
総数,4,13117,北区,842,998,2138,1729,975,970,1018,910,912,941,821,913,13167
総数,4,13118,荒川区,417,484,1078,823,540,474,548,480,476,489,438,434,6681
総数,4,13119,板橋区,1216,1259,3140,2052,1345,1449,1476,1331,1318,1369,1120,1202,18277
総数,4,13120,練馬区,1198,1432,3898,2332,1419,1419,1713,1486,1431,1363,1295,1434,20420
総数,4,13121,足立区,1212,1334,2682,2169,1469,1369,1549,1397,1332,1423,1291,1349,18576
総数,4,13122,葛飾区,781,873,2061,1469,909,880,925,812,865,883,824,805,12087
総数,4,13123,江戸川区,1440,1675,4236,2224,1547,1444,1679,1464,1583,1587,1335,1513,21727
総数,1,13200,市部,5529,6351,17342,10530,6353,6021,6516,6014,6244,5829,5116,5297,87142
総数,4,13201,八王子市,699,935,2658,1277,770,736,782,719,750,677,637,644,11284
総数,4,13202,立川市,274,276,785,537,267,251,337,334,300,302,240,251,4154
総数,4,13203,武蔵野市,209,261,674,444,253,278,238,254,249,207,205,220,3492
総数,4,13204,三鷹市,300,284,849,478,267,284,312,259,303,256,223,240,4055
総数,4,13205,青梅市,114,143,337,192,160,123,136,120,135,119,101,137,1817
総数,4,13206,府中市,388,391,1062,764,377,416,448,434,386,377,302,310,5655
総数,4,13207,昭島市,106,123,356,189,120,121,167,133,138,117,88,125,1783
総数,4,13208,調布市,371,413,1105,665,418,410,400,396,377,417,347,359,5678
総数,4,13209,町田市,657,820,1759,1248,861,721,775,796,786,761,716,736,10636
総数,4,13210,小金井市,159,203,674,433,221,206,243,208,201,201,164,159,3072
総数,4,13211,小平市,213,277,1073,518,251,269,265,270,278,257,235,244,4150
総数,4,13212,日野市,210,243,765,392,247,252,229,210,253,223,227,216,3467
総数,4,13213,東村山市,172,203,506,322,236,191,248,197,220,195,167,179,2836
総数,4,13214,国分寺市,186,221,627,368,213,197,197,189,238,201,137,150,2924
総数,4,13215,国立市,112,128,367,221,124,139,112,93,108,119,90,94,1707
総数,4,13218,福生市,105,74,264,179,96,89,99,75,90,66,79,67,1283
