地域階層,地域コード,地域,令和2年1月1日現在人口,平成31年･令和元年中の動き／人口増減,平成31年･令和元年中の動き／社会増減（他県との移動増減）,平成31年･令和元年中の動き／社会増減（他県との移動増減）／転入数,平成31年･令和元年中の動き／社会増減（他県との移動増減）／転出数,平成31年･令和元年中の動き／都内間の移動増減,平成31年･令和元年中の動き／都内間の移動増減／転入数,平成31年･令和元年中の動き／都内間の移動増減／転出数,平成31年･令和元年中の動き／自然増減,平成31年･令和元年中の動き／自然増減／出生数,平成31年･令和元年中の動き／自然増減／死亡数,平成31年･令和元年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,平成31年1月1日現在人口 
0,13000,総数,13951636,94193,80741,463761,383020,-1780,458669,460449,-16258,105590,121848,31490,68547,2194.07,6359,13857443
1,13100,区部,9653112,83991,63732,358188,294456,-2863,343552,346415,-5194,76725,81919,28316,63215,627.57,15382,9569121
1,13200,市部,4217151,11215,17070,104212,87142,1073,112720,111647,-10067,28438,38505,3139,6423,783.95,5379,4205936
2,13300,郡部,56387,-646,7,678,671,58,1441,1383,-726,265,991,15,-722,375.86,150,57033
2,13350,島部,24986,-367,-68,683,751,-48,956,1004,-271,162,433,20,-369,406.69,61,25353
1,13100,区部,9653112,83991,63732,358188,294456,-2863,343552,346415,-5194,76725,81919,28316,63215,627.57,15382,9569121
4,13101,千代田区,65891,2307,1129,3214,2085,503,4878,4375,262,650,388,413,2075,11.66,5651,63584
4,13102,中央区,167794,5859,2163,7395,5232,1829,10018,8189,1152,2088,936,715,5036,10.21,16434,161935
4,13103,港区,259758,2953,2278,9665,7387,-1475,12443,13918,1320,2919,1599,830,2696,20.37,12752,256805
4,13104,新宿区,349688,2290,2103,16219,14116,-4115,20089,24204,-221,2516,2737,4523,2760,18.22,19193,347398
4,13105,文京区,235836,4625,2969,9781,6812,417,10930,10513,360,2044,1684,879,3798,11.29,20889,231211
4,13106,台東区,209244,3139,2018,8849,6831,260,9943,9683,-323,1634,1957,1184,2815,10.11,20697,206105
4,13107,墨田区,270227,3037,2559,11023,8464,-200,10660,10860,-40,2434,2474,718,2703,13.77,19624,267190
4,13108,江東区,519212,3356,2841,17121,14280,-423,16289,16712,146,4334,4188,792,1807,40.16,12929,515856
