"性別","～19歳[人]","20～29歳[人]","30～39歳[人]","40～49歳[人]","50～59歳[人]","60～65歳[人]","計[人]"
"男","1","216","256","196","292","104","1065"
"女","2","314","294","253","274","69","1206"
"合計","3","530","550","449","566","173","2271"

"令和3年度港区行政資料集　男女別年齢層別職員数（再任用短時間勤務職員を含む）","Ver202104",,,,,,
