"年度[西暦]","道路反射鏡[本]","歩行者用防護柵[メートル]","転落防止柵[メートル]","道路標識[本]"
2014,838,54793,2025,543
2015,839,54946,2025,546
2016,840,55897,2221,540
2017,848,54878,2225,543
2018,851,55305,2225,562

"平成30年度港区行政資料集　交通安全施設","Ver201804",,,
