"選挙名称","時現在","投票者数[人]","投票率[%]"
"平成29年7月2日執行　東京都議会議員選挙","8時現在","1280","0.66"
"平成29年7月2日執行　東京都議会議員選挙","9時現在","3380","1.74"
"平成29年7月2日執行　東京都議会議員選挙","10時現在","7122","3.66"
"平成29年7月2日執行　東京都議会議員選挙","11時現在","12978","6.68"
"平成29年7月2日執行　東京都議会議員選挙","12時現在","19515","10.04"
"平成29年7月2日執行　東京都議会議員選挙","13時現在","26006","13.38"
"平成29年7月2日執行　東京都議会議員選挙","14時現在","31879","16.40"
"平成29年7月2日執行　東京都議会議員選挙","15時現在","37652","19.37"
"平成29年7月2日執行　東京都議会議員選挙","16時現在","42617","21.92"
"平成29年7月2日執行　東京都議会議員選挙","17時現在","47732","24.56"
"平成29年7月2日執行　東京都議会議員選挙","18時現在","54475","28.02"
"平成29年7月2日執行　東京都議会議員選挙","19時現在","60991","31.38"
"平成29年7月2日執行　東京都議会議員選挙","20時終了","86201","44.35"

"平成29年7月2日　東京都議会議員選挙投票状況速報","Ver201707",,
