区市名	番号	区域名	区域の町名
千代田（一部中央区、港区を含む）	2	丸の内二丁目	千代田区丸の内２
千代田（一部中央区、港区を含む）	3	大手町	千代田区大手町１、２、丸の内１、中央区八重洲１、日本橋本石町１、２、３、４
千代田（一部中央区、港区を含む）	6	内幸町	千代田区内幸町１、２、日比谷公園、港区新橋１、西新橋１
千代田（一部中央区、港区を含む）	15	丸の内一丁目	千代田区丸の内１
千代田（一部中央区、港区を含む）	18	日比谷	千代田区有楽町１
千代田（一部中央区、港区を含む）	20	神田駿河台	千代田区神田駿河台１、２、３、４
千代田（一部中央区、港区を含む）	23	霞が関三丁目	千代田区霞が関３、港区虎ノ門２、赤坂１
千代田（一部中央区、港区を含む）	27	紀尾井町	千代田区紀尾井町３番、麹町３、４、５、平河町１、２
千代田（一部中央区、港区を含む）	38	有楽町	千代田区有楽町１、丸の内３
千代田（一部中央区、港区を含む）	45	東京国際フォーラム	千代田区丸の内３、有楽町１、２、中央区八重洲２、銀座１、２、３
千代田（一部中央区、港区を含む）	61	永田町二丁目	千代田区永田町２、港区赤坂２
千代田（一部中央区、港区を含む）	79	紀尾井町南	千代田区紀尾井町１
中央	9	東銀座	中央区銀座５、６
中央	14	銀座二・三丁目	中央区銀座２、３
中央	17	新川	中央区新川１、２
中央	22	銀座五・六丁目	中央区銀座４、５、６
中央	24	八重洲日本橋	中央区日本橋１、２、３、八重洲１
中央	25	箱崎	中央区日本橋箱崎町、蛎殻町１、２
中央	34	銀座四丁目	中央区銀座２、３、４
中央	35	明石町	中央区明石町
中央	47	京橋二丁目	中央区京橋１、２、八丁堀２、３
中央	63	晴海一丁目	中央区晴海１
中央	76	日本橋室町東	中央区日本橋室町１、２
中央	81	日本橋二丁目南	中央区日本橋２
中央	83	日本橋室町西	中央区日本橋室町１、２、３
港（一部千代田区、江東区、品川区を含む）	5	青山	港区北青山１、南青山１、２、赤坂８
港（一部千代田区、江東区、品川区を含む）	7	赤坂	港区赤坂２、６
港（一部千代田区、江東区、品川区を含む）	12	芝浦	港区海岸１、芝浦１
港（一部千代田区、江東区、品川区を含む）	19	赤坂六本木	港区赤坂１、六本木１、２
港（一部千代田区、江東区、品川区を含む）	21	芝浦四丁目	港区芝浦４
港（一部千代田区、江東区、品川区を含む）	30	竹芝	港区海岸１
港（一部千代田区、江東区、品川区を含む）	33	北青山二丁目	港区北青山２
港（一部千代田区、江東区、品川区を含む）	37	虎ノ門四丁目	港区虎ノ門４、５、六本木１
港（一部千代田区、江東区、品川区を含む）	42	赤坂五丁目	港区赤坂５
港（一部千代田区、江東区、品川区を含む）	55	臨海副都心	港区台場、江東区青海１、２、有明２、３、東雲２、品川区東八潮
港（一部千代田区、江東区、品川区を含む）	56	田町駅東口	港区芝浦３
港（一部千代田区、江東区、品川区を含む）	59	虎ノ門二丁目	港区虎ノ門２、千代田区霞が関３
港（一部千代田区、江東区、品川区を含む）	60	品川東口南	港区港南２、品川区北品川１
港（一部千代田区、江東区、品川区を含む）	65	六本木一丁目	港区六本木１
港（一部千代田区、江東区、品川区を含む）	66	汐留北	港区東新橋１
港（一部千代田区、江東区、品川区を含む）	67	品川駅東口	港区港南２、品川区北品川１
港（一部千代田区、江東区、品川区を含む）	70	六本木六丁目	港区六本木６
港（一部千代田区、江東区、品川区を含む）	73	赤坂九丁目	港区赤坂９
港（一部千代田区、江東区、品川区を含む）	77	田町駅東口北	港区芝浦１
港（一部千代田区、江東区、品川区を含む）	82	浜松町二丁目	港区浜松町２
港（一部千代田区、江東区、品川区を含む）	84	虎ノ門一・二丁目	港区虎ノ門１、２
新宿	1	西新宿	新宿区西新宿１、２、３、渋谷区代々木３
新宿	13	西新宿六丁目	新宿区西新宿６、７、８
新宿	26	西新宿一丁目	新宿区西新宿１、新宿７
新宿（一部渋谷区を含む）	39	歌舞伎町	新宿区歌舞伎町１、２
新宿（一部渋谷区を含む）	43	初台淀橋	新宿区西新宿３、４、渋谷区本町１
新宿（一部渋谷区を含む）	49	西新宿六丁目西部	新宿区西新宿２、６、８、北新宿２
新宿（一部渋谷区を含む）	51	新宿三丁目東	新宿区新宿２、３、５
文京	48	後楽一丁目	文京区後楽１、本郷１
文京	52	本駒込二丁目	文京区本駒込２、５、６、千石１
台東	－－－	－－－	
墨田	46	錦糸町駅北口	墨田区錦糸１、２、３
墨田	75	押上・業平橋	墨田区押上１、２
江東	68	新砂三丁目	江東区新砂３
江東	74	豊洲三丁目	江東区豊洲３
江東	78	豊洲六丁目	江東区豊洲６
江東	85	豊洲一、二丁目	江東区豊洲１、２
品川	10	品川八潮	品川区八潮５
