"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","廃止届収受日"
"202404","港区立麻布いきいきプラザ","106-0046","東京都港区元麻布三丁目9番11号",,"2024/4/9"
"202404","Ｌｉｔｔｌｅ　Ｒｅｔｒｅａｔ","107-0052","東京都港区赤坂六丁目3番15号","J-AKASAKA 603","2024/4/10"
"202406","スパ白金","108-0071","東京都港区白金台一丁目1番18号",,"2024/6/24"

"公衆浴場廃止一覧(令和6年6月30日現在)","Ver202406",,,,
