階層コード,地域コード,地域,人口総数／平成26年11月１日,人口総数／平成26年10月１日,人口総数／平成25年11月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13297867,13286586,13204052,11281,0.08,93815,0.71
1,13100,区部,9102241,9092128,9017619,10113,0.11,84622,0.94
1,13200,市部,4109809,4108652,4100013,1157,0.03,9796,0.24
1,13300,郡部,58754,58711,59043,43,0.07,-289,-0.49
1,13350,島部,27063,27095,27377,-32,-0.12,-314,-1.15
,,, ,,,,,,
住民基本台帳による世帯と人口_平成26年11月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
