地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
4,13382,御蔵島村,299,1,298,166,132,1,0,1,172,171,0,1
3,13400,八丈支庁,8109,-7,8001,4024,3977,108,8,100,4602,4497,28,77
4,13401,八丈町,7942,-6,7836,3931,3905,106,8,98,4490,4387,28,75
4,13402,青ヶ島村,167,-1,165,93,72,2,0,2,112,110,0,2
3,13420,小笠原支庁,2546,2,2527,1414,1113,19,9,10,1417,1399,8,10
4,13421,小笠原村,2546,2,2527,1414,1113,19,9,10,1417,1399,8,10
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_平成26年11月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）平成26年11月１日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
