階層コード,地域コード,地域,人口総数／平成26年１月１日,人口総数／平成25年12月１日,人口総数／平成25年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13202041,13204021,13130762,-1980,-0.01,71279,0.54
1,13100,区部,9016342,9018005,8951575,-1663,-0.02,64767,0.72
1,13200,市部,4099405,4099651,4092197,-246,-0.01,7208,0.18
1,13300,郡部,58956,59000,59187,-44,-0.07,-231,-0.39
1,13350,島部,27338,27365,27803,-27,-0.1,-465,-1.67
,,,,,,,,,
住民基本台帳による世帯と人口_平成26年１月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
