"年度[西暦]","開発行為許可等件数[件]","優良宅地認定件数[件]","道路位置指定等件数[件]"
"2014","13","0","13"
"2015","21","0","7"
"2016","13","0","9"
"2017","13","0","2"
"2018","14","0","6"

"令和元年度港区行政資料集　開発行為等","Ver201903",,
