"年齢[歳]","芝 男[人]","芝 女[人]","芝 計[人]","麻布 男[人]","麻布 女[人]","麻布 計[人]","赤坂 男[人]","赤坂 女[人]","赤坂 計[人]","高輪 男[人]","高輪 女[人]","高輪 計[人]","芝浦港南 男[人]","芝浦港南 女[人]","芝浦港南 計[人]"
"0～ 4","1018","1041","2059","1661","1555","3216","1005","904","1909","1607","1578","3185","2103","1871","3974"
"5～ 9","677","706","1383","1597","1447","3044","818","804","1622","1411","1417","2828","1626","1598","3224"
"10～14","522","486","1008","1191","1108","2299","622","626","1248","1172","1166","2338","1273","1130","2403"
"15～19","503","481","984","834","838","1672","547","521","1068","911","915","1826","930","875","1805"
"20～24","849","1030","1879","1240","1259","2499","700","663","1363","1179","1209","2388","1040","1022","2062"
"25～29","1924","1885","3809","2343","2210","4553","1094","1160","2254","1709","2017","3726","1525","1623","3148"
"30～34","2004","2150","4154","2559","2781","5340","1332","1437","2769","2002","2530","4532","2093","2480","4573"
"35～39","2039","2194","4233","2860","3239","6099","1580","1668","3248","2357","3012","5369","2646","2897","5543"
"40～44","1912","1937","3849","3027","3392","6419","1611","1771","3382","2581","3213","5794","2908","3050","5958"
"45～49","1798","1840","3638","2789","3239","6028","1669","1852","3521","2561","3319","5880","3083","3160","6243"
"50～54","1500","1543","3043","2300","2577","4877","1540","1577","3117","2295","2882","5177","2728","2370","5098"
"55～59","1218","1236","2454","1792","1843","3635","1266","1327","2593","1817","2074","3891","1863","1681","3544"
"60～64","929","893","1822","1270","1278","2548","943","1037","1980","1361","1609","2970","1158","1073","2231"
"65～69","767","864","1631","1020","1190","2210","777","952","1729","1257","1540","2797","893","993","1886"
"70～74","856","1028","1884","1128","1387","2515","836","1083","1919","1374","1722","3096","889","1021","1910"
"75～79","635","843","1478","729","1046","1775","597","869","1466","967","1426","2393","579","911","1490"
"80～84","425","690","1115","517","804","1321","396","736","1132","679","1105","1784","406","665","1071"
"85～89","259","507","766","317","616","933","289","576","865","418","811","1229","221","436","657"
"90～94","82","234","316","111","398","509","100","316","416","157","487","644","74","206","280"
"95～99","17","92","109","35","152","187","32","124","156","35","178","213","13","42","55"
"100～","2","13","15","6","30","36","4","17","21","4","27","31","0","11","11"
"合計","19936","21693","41629","29326","32389","61715","17758","20020","37778","27854","34237","62091","28051","29115","57166"

"令和2年度港区行政資料集　年齢（５歳階級）別・総合支所別人口","Ver202001",,,,,,,,,,,,,,
