地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成20年中の増減
0,13000,総数,3419,2667,25545,25204,6207,2512,1204,1577,1388,2259,-20,-720,71242
1,13100,区部,2969,2645,20284,15919,4755,2017,856,1367,1062,1745,-49,-621,52949
1,13200,市部,451,18,5384,9217,1431,489,377,237,333,497,23,-88,18369
2,13300,郡部,-14,15,-9,0,8,2,-22,-33,-1,10,5,-7,-46
2,13350,島部,13,-11,-114,68,13,4,-7,6,-6,7,1,-4,-30
1,13100,区部,2969,2645,20284,15919,4755,2017,856,1367,1062,1745,-49,-621,52949
4,13101,千代田区,57,48,239,227,25,31,-12,52,53,32,56,29,837
4,13102,中央区,126,391,770,683,267,58,76,86,74,104,121,68,2824
4,13103,港区,168,71,694,325,170,99,68,88,98,90,230,242,2343
4,13104,新宿区,192,178,929,573,185,167,127,137,249,193,28,94,3052
4,13105,文京区,147,140,581,700,115,148,-64,113,110,69,-4,74,2129
4,13106,台東区,115,183,359,341,162,131,116,113,77,112,101,54,1864
4,13107,墨田区,75,113,870,384,274,142,140,34,37,60,47,45,2221
4,13108,江東区,197,94,1982,989,367,252,112,78,141,149,34,70,4465
4,13109,品川区,175,17,1094,560,229,117,-6,82,121,42,85,-29,2487
4,13110,目黒区,110,38,440,459,121,32,-44,98,48,15,-91,-122,1104
4,13111,大田区,-82,-120,1770,1122,372,111,-172,158,2,-66,-39,-281,2775
4,13112,世田谷区,280,12,1281,1758,235,30,-117,87,-89,152,-201,-240,3188
4,13113,渋谷区,122,104,388,587,165,108,89,20,64,259,-65,74,1915
4,13114,中野区,244,215,968,621,224,30,-26,58,34,20,-50,-114,2224
4,13115,杉並区,295,310,1684,1232,375,88,-43,-89,-21,8,-47,-71,3721
4,13116,豊島区,160,125,579,669,255,165,99,49,74,223,0,-37,2361
4,13117,北区,59,41,629,884,282,44,109,-21,-5,48,-88,18,2000
4,13118,荒川区,44,434,335,214,15,111,167,51,58,113,63,49,1654
4,13119,板橋区,54,-110,879,1070,264,107,193,100,-33,-12,-72,-173,2267
