地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成20年中の出生数
0,13000,総数,9296,8161,8244,8453,8461,8403,9006,8703,9394,9789,8292,8729,104931
1,13100,区部,6294,5564,5556,5749,5741,5772,6138,5922,6478,6695,5726,5940,71575
1,13200,市部,2948,2548,2635,2664,2667,2580,2821,2730,2862,3044,2533,2750,32782
2,13300,郡部,33,31,35,28,34,28,30,33,36,34,21,24,367
2,13350,島部,21,18,18,12,19,23,17,18,18,16,12,15,207
1,13100,区部,6294,5564,5556,5749,5741,5772,6138,5922,6478,6695,5726,5940,71575
4,13101,千代田区,33,22,33,22,27,22,29,29,30,30,36,37,350
4,13102,中央区,109,87,83,93,101,101,90,109,115,116,113,105,1222
4,13103,港区,195,208,201,181,187,163,189,184,220,218,158,173,2277
4,13104,新宿区,190,143,160,166,160,155,181,147,178,197,173,147,1997
4,13105,文京区,132,124,97,123,132,120,139,146,125,130,143,120,1531
4,13106,台東区,88,106,84,105,103,114,88,106,103,124,90,97,1208
4,13107,墨田区,192,132,124,173,157,172,181,165,188,162,150,153,1949
4,13108,江東区,347,309,316,335,314,317,369,329,346,398,356,360,4096
4,13109,品川区,305,221,274,217,243,233,234,239,285,300,220,240,3011
4,13110,目黒区,176,153,163,158,161,170,168,159,205,198,171,149,2031
4,13111,大田区,458,419,428,452,458,406,469,472,500,529,437,478,5506
4,13112,世田谷区,653,555,508,573,577,546,594,591,620,678,538,635,7068
4,13113,渋谷区,129,126,133,124,125,117,119,126,107,147,103,148,1504
4,13114,中野区,200,168,171,178,206,172,188,157,204,217,167,159,2187
4,13115,杉並区,345,293,305,316,325,352,337,327,362,350,303,322,3937
4,13116,豊島区,165,122,114,134,113,141,139,139,160,146,133,138,1644
4,13117,北区,172,189,161,178,176,194,218,216,207,223,203,196,2333
4,13118,荒川区,129,122,131,127,130,138,130,125,130,144,130,125,1561
4,13119,板橋区,375,377,346,342,390,346,407,367,416,413,334,354,4467
4,13120,練馬区,549,473,435,483,473,522,544,495,522,554,473,467,5990
4,13121,足立区,475,406,453,428,419,443,469,455,510,491,441,480,5470
4,13122,葛飾区,298,279,302,312,294,285,311,284,353,333,294,328,3673
4,13123,江戸川区,579,530,534,529,470,543,545,555,592,597,560,529,6563
1,13200,市部,2948,2548,2635,2664,2667,2580,2821,2730,2862,3044,2533,2750,32782
4,13201,八王子市,349,328,359,361,329,333,375,353,362,409,331,352,4241
4,13202,立川市,151,123,108,111,116,128,130,143,153,156,132,118,1569
4,13203,武蔵野市,78,80,90,79,88,99,86,95,97,96,90,65,1043
4,13204,三鷹市,146,116,114,116,119,128,131,127,138,146,110,134,1525
4,13205,青梅市,98,90,90,97,81,78,82,98,82,102,75,76,1049
4,13206,府中市,206,207,176,182,200,149,219,214,163,236,176,185,2313
4,13207,昭島市,96,60,81,93,80,72,71,71,79,93,78,81,955
4,13208,調布市,197,134,170,168,161,150,170,164,199,179,170,154,2016
4,13209,町田市,201,194,221,200,166,176,230,197,194,231,161,268,2439
4,13210,小金井市,74,74,81,65,75,68,79,69,86,66,78,81,896
4,13211,小平市,163,130,129,123,122,131,128,121,154,123,120,133,1577
4,13212,日野市,142,97,130,119,129,127,145,115,158,146,107,115,1530
4,13213,東村山市,121,99,95,85,127,90,97,100,112,119,111,111,1267
4,13214,国分寺市,80,78,71,97,85,89,83,72,78,82,79,90,984
4,13215,国立市,59,47,45,51,56,49,47,49,39,47,37,41,567
4,13218,福生市,49,33,39,41,44,44,52,55,47,60,47,38,549
4,13219,狛江市,59,52,37,43,47,46,57,44,51,61,45,48,590
4,13220,東大和市,73,69,61,75,61,67,65,56,65,61,57,65,775
4,13221,清瀬市,39,52,41,43,44,34,54,57,55,51,31,43,544
4,13222,東久留米市,88,70,64,68,67,69,78,77,82,75,62,75,875
4,13223,武蔵村山市,65,40,61,72,43,62,54,42,52,57,65,53,666
4,13224,多摩市,106,101,100,89,99,85,106,111,106,126,110,102,1241
4,13225,稲城市,60,64,59,54,78,83,51,58,78,81,50,78,794
4,13227,羽村市,42,37,33,36,43,51,50,51,39,62,34,44,522
4,13228,あきる野市,57,42,46,49,53,42,63,47,60,60,47,65,631
4,13229,西東京市,149,131,134,147,154,130,118,144,133,119,130,135,1624
1,13550,町村部,54,49,53,40,53,51,47,51,54,50,33,39,574
2,13300,郡部,33,31,35,28,34,28,30,33,36,34,21,24,367
4,13303,瑞穂町,18,22,22,21,19,22,22,23,22,16,11,14,232
4,13305,日の出町,9,9,10,6,11,5,6,8,11,13,8,9,105
4,13307,檜原村,1,0,0,0,1,0,0,0,1,2,0,1,6
4,13308,奥多摩町,5,0,3,1,3,1,2,2,2,3,2,0,24
2,13350,島部,21,18,18,12,19,23,17,18,18,16,12,15,207
3,13360,大島支庁,12,9,8,4,12,11,9,9,8,11,5,7,105
4,13361,大島町,9,4,3,3,8,7,3,6,6,5,3,5,62
4,13362,利島村,0,0,0,0,2,1,1,1,0,0,1,0,6
4,13363,新島村,2,1,3,0,1,1,1,1,2,5,1,1,19
4,13364,神津島村,1,4,2,1,1,2,4,1,0,1,0,1,18
3,13380,三宅支庁,2,3,1,4,0,2,2,4,0,2,1,1,22
4,13381,三宅村,2,2,1,3,0,1,2,4,0,1,1,1,18
4,13382,御蔵島村,0,1,0,1,0,1,0,0,0,1,0,0,4
3,13400,八丈支庁,5,4,6,2,3,8,2,3,9,2,3,4,51
4,13401,八丈町,5,4,6,2,3,8,2,3,9,2,3,4,51
4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13420,小笠原支庁,2,2,3,2,4,2,4,2,1,1,3,3,29
4,13421,小笠原村,2,2,3,2,4,2,4,2,1,1,3,3,29
,,,,,,,,,,,,,,,
人口の動き（平成20年中）,,,,,,,,,,,,,,,
第13表　区市町村別、月別出生数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
