地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成20年中の転入者数
0,13000,総数,24030,28076,89808,67455,30088,26292,28429,27194,26221,28134,22474,23337,421538
1,13100,区部,18405,21454,65234,47078,22589,20019,21592,20302,19699,21190,17039,17562,312163
1,13200,市部,5558,6534,24322,20094,7409,6187,6756,6792,6451,6849,5366,5717,108035
2,13300,郡部,32,54,116,81,41,49,32,32,40,49,35,30,591
2,13350,島部,35,34,136,202,49,37,49,68,31,46,34,28,749
1,13100,区部,18405,21454,65234,47078,22589,20019,21592,20302,19699,21190,17039,17562,312163
4,13101,千代田区,147,164,530,478,129,137,135,165,168,154,155,157,2519
4,13102,中央区,391,701,1491,1175,551,393,437,404,384,413,389,361,7090
4,13103,港区,590,580,1721,1188,661,570,624,628,586,621,739,745,9253
4,13104,新宿区,848,913,2836,2005,900,895,1012,975,964,978,690,806,13822
4,13105,文京区,428,516,1865,1509,536,493,515,504,543,494,365,425,8193
4,13106,台東区,360,464,1012,808,485,437,418,419,415,476,388,378,6060
4,13107,墨田区,487,533,1709,1020,658,541,545,509,477,530,491,475,7975
4,13108,江東区,853,916,3822,2321,1168,1040,1042,854,947,1006,719,785,15473
4,13109,品川区,841,859,2904,1920,1024,1007,946,914,944,914,864,797,13934
4,13110,目黒区,594,676,1935,1524,711,634,728,780,667,661,503,548,9961
4,13111,大田区,1505,1683,5951,3615,1828,1772,1736,1738,1626,1738,1396,1375,25963
4,13112,世田谷区,1956,2138,6515,5201,2228,1911,2151,2190,1856,2121,1732,1681,31680
4,13113,渋谷区,522,559,1379,1507,591,588,593,527,512,755,411,543,8487
4,13114,中野区,807,907,2674,1955,867,744,817,806,730,797,618,669,12391
4,13115,杉並区,1169,1425,4485,3278,1412,1227,1255,1244,1183,1225,1053,1024,19980
4,13116,豊島区,651,762,2024,1580,816,704,721,636,643,813,579,611,10540
4,13117,北区,677,714,2327,2186,926,757,916,707,638,743,582,678,11851
4,13118,荒川区,309,728,1037,718,375,387,462,374,395,381,330,339,5835
4,13119,板橋区,1050,1141,3699,2736,1407,1183,1403,1180,1179,1233,979,1044,18234
4,13120,練馬区,1289,1542,5035,3483,1662,1312,1740,1597,1429,1577,1121,1218,23005
4,13121,足立区,1014,1176,3155,2211,1236,1074,1107,1043,1193,1231,1089,1051,16580
4,13122,葛飾区,650,780,2273,1530,842,829,803,682,739,787,643,674,11232
4,13123,江戸川区,1267,1577,4855,3130,1576,1384,1486,1426,1481,1542,1203,1178,22105
1,13200,市部,5558,6534,24322,20094,7409,6187,6756,6792,6451,6849,5366,5717,108035
4,13201,八王子市,766,828,3328,3753,846,829,847,777,877,847,638,696,15032
