地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,平成20年中の死亡数
4,13308,奥多摩町,21,17,20,23,18,10,16,19,20,15,17,15,211
2,13350,島部,47,38,30,15,25,23,31,35,29,23,26,54,376
3,13360,大島支庁,25,20,18,5,13,11,12,20,14,15,19,22,194
4,13361,大島町,16,11,10,2,7,7,10,16,12,12,12,15,130
4,13362,利島村,0,1,0,0,0,0,0,0,0,0,0,0,1
4,13363,新島村,6,5,6,3,4,4,1,4,1,2,5,4,45
4,13364,神津島村,3,3,2,0,2,0,1,0,1,1,2,3,18
3,13380,三宅支庁,5,2,1,2,4,4,3,4,2,1,2,10,40
4,13381,三宅村,4,0,1,2,4,4,3,4,1,1,2,10,36
4,13382,御蔵島村,1,2,0,0,0,0,0,0,1,0,0,0,4
3,13400,八丈支庁,17,16,11,7,8,6,14,10,12,7,5,19,132
4,13401,八丈町,17,16,11,7,8,6,13,10,12,7,5,19,131
4,13402,青ヶ島村,0,0,0,0,0,0,1,0,0,0,0,0,1
3,13420,小笠原支庁,0,0,0,1,0,2,2,1,1,0,0,3,10
4,13421,小笠原村,0,0,0,1,0,2,2,1,1,0,0,3,10
,,,,,,,,,,,,,,,
人口の動き（平成20年中）,,,,,,,,,,,,,,,
第14表　区市町村別、月別死亡数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
