地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成20年中の転出者数
0,13000,総数,20611,25409,64263,42251,23881,23780,27225,25617,24833,25875,22494,24057,350296
1,13100,区部,15436,18809,44950,31159,17834,18002,20736,18935,18637,19445,17088,18183,259214
1,13200,市部,5107,6516,18938,10877,5978,5698,6379,6555,6118,6352,5343,5805,89666
2,13300,郡部,46,39,125,81,33,47,54,65,41,39,30,37,637
2,13350,島部,22,45,250,134,36,33,56,62,37,39,33,32,779
1,13100,区部,15436,18809,44950,31159,17834,18002,20736,18935,18637,19445,17088,18183,259214
4,13101,千代田区,90,116,291,251,104,106,147,113,115,122,99,128,1682
4,13102,中央区,265,310,721,492,284,335,361,318,310,309,268,293,4266
4,13103,港区,422,509,1027,863,491,471,556,540,488,531,509,503,6910
4,13104,新宿区,656,735,1907,1432,715,728,885,838,715,785,662,712,10770
4,13105,文京区,281,376,1284,809,421,345,579,391,433,425,369,351,6064
4,13106,台東区,245,281,653,467,323,306,302,306,338,364,287,324,4196
4,13107,墨田区,412,420,839,636,384,399,405,475,440,470,444,430,5754
4,13108,江東区,656,822,1840,1332,801,788,930,776,806,857,685,715,11008
4,13109,品川区,666,842,1810,1360,795,890,952,832,823,872,779,826,11447
4,13110,目黒区,484,638,1495,1065,590,602,772,682,619,646,594,670,8857
4,13111,大田区,1587,1803,4181,2493,1456,1661,1908,1580,1624,1804,1435,1656,23188
4,13112,世田谷区,1676,2126,5234,3443,1993,1881,2268,2103,1945,1969,1933,1921,28492
4,13113,渋谷区,400,455,991,920,426,480,504,507,448,496,476,469,6572
4,13114,中野区,563,692,1706,1334,643,714,843,748,696,777,668,783,10167
4,13115,杉並区,874,1115,2801,2046,1037,1139,1298,1333,1204,1217,1100,1095,16259
4,13116,豊島区,491,637,1445,911,561,539,622,587,569,590,579,648,8179
4,13117,北区,618,673,1698,1302,644,713,807,728,643,695,670,660,9851
4,13118,荒川区,265,294,702,504,360,276,295,323,337,268,267,290,4181
4,13119,板橋区,996,1251,2820,1666,1143,1076,1210,1080,1212,1245,1051,1217,15967
4,13120,練馬区,1089,1361,3615,2347,1301,1401,1554,1459,1449,1507,1257,1315,19655
