"年度","団体登録数 男女平等推進団体","団体登録数 男女平等学習団体","施設利用件数[件]","施設利用者数[人]","図書資料貸出数"
"2014","31","174","7695","80279","15234"
"2015","27","185","7469","93162","22094"
"2016","29","180","7599","94147","26249"
"2017","31","160","7469","99320","27997"
"2018","30","163","7627","100971","32398"

"令和元年度港区行政資料集　施設利用状況一覧 男女平等参画センター","Ver201903",,,,
