市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,1年生,2年生,3年生,4年生,5年生,6年生,合計,最終確認日,備考
132217,0000000001,東京都,清瀬市,清瀬小学校,キヨセショウガッコウ,130,83,93,103,104,91,604,2020年5月1日,
132217,0000000002,東京都,清瀬市,清瀬小学校(特別支援学級),キヨセショウガッコウ(トクベツシエンガッキュウ),3,6,8,4,11,10,42,2020年5月1日,
132217,0000000003,東京都,清瀬市,芝山小学校,シバヤマショウガッコウ,56,52,62,54,60,56,340,2020年5月1日,
132217,0000000004,東京都,清瀬市,清瀬第三小学校,キヨセダイサンショウガッコウ,36,39,52,51,54,66,298,2020年5月1日,
132217,0000000005,東京都,清瀬市,清瀬第四小学校,キヨセダイヨンショウガッコウ,35,44,34,37,45,31,226,2020年5月1日,
132217,0000000006,東京都,清瀬市,清瀬第六小学校,キヨセダイロクショウガッコウ,62,76,70,74,83,100,465,2020年5月1日,
132217,0000000007,東京都,清瀬市,清瀬第七小学校,キヨセダイナナショウガッコウ,48,49,50,38,35,40,260,2020年5月1日,
132217,0000000008,東京都,清瀬市,清瀬第七小学校(特別支援学級),キヨセダイナナショウガッコウ(トクベツシエンガッキュウ),4,8,10,6,6,6,40,2020年5月1日,
132217,0000000009,東京都,清瀬市,清瀬第八小学校,キヨセダイハチショウガッコウ,58,68,61,62,64,73,386,2020年5月1日,
132217,0000000010,東京都,清瀬市,清瀬第十小学校,キヨセダイジュウショウガッコウ,101,86,84,113,104,102,590,2020年5月1日,
132217,0000000011,東京都,清瀬市,清明小学校,セイメイショウガッコウ,78,63,72,80,66,66,425,2020年5月1日,
132217,0000000012,東京都,清瀬市,合計(小学校),ゴウケイ(ショウガッコウ),604,560,578,612,615,625,"3,594",2020年5月1日,
132217,0000000013,東京都,清瀬市,合計(特別支援学級),ゴウケイ(トクベツシエンガッキュウ),7,14,18,10,17,16,82,2020年5月1日,
132217,0000000014,東京都,清瀬市,合計,ゴウケイ,611,574,596,622,632,641,"3,676",2020年5月1日,
