市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,類型,定員,12か月間延べ数,最終確認日,備考
132217,0000000001,東京都,清瀬市,第1保育園,ダイ1ホイクエン,保育園,98,"1,112",2020年3月31日,
132217,0000000002,東京都,清瀬市,第3保育園,ダイ3ホイクエン,保育園,98,"1,130",2020年3月31日,
132217,0000000003,東京都,清瀬市,第7保育園,ダイ7ホイクエン,保育園,67,781,2020年3月31日,
132217,0000000004,東京都,清瀬市,乳児保育園,ニュウジホイクエン,保育園,34,289,2020年3月31日,
132217,0000000005,東京都,清瀬市,駅前乳児保育園,エキマエニュウジホイクエン,保育園,31,362,2020年3月31日,
132217,0000000006,東京都,清瀬市,清瀬上宮保育園,キヨセジョウグウホイクエン,認可保育園,120,"1,339",2020年3月31日,
132217,0000000007,東京都,清瀬市,のしお保育園,ノシオホイクエン,認可保育園,80,987,2020年3月31日,
132217,0000000008,東京都,清瀬市,中清戸保育園,ナカキヨトホイクエン,認可保育園,80,"1,141",2020年3月31日,
132217,0000000009,東京都,清瀬市,すみれ保育園,スミレホイクエン,認可保育園,146,"1,805",2020年3月31日,
132217,0000000010,東京都,清瀬市,きよせ保育園,キヨセホイクエン,認可保育園,184,"2,119",2020年3月31日,
132217,0000000011,東京都,清瀬市,せせらぎ保育園,セセラギホイクエン,認可保育園,120,"1,494",2020年3月31日,
132217,0000000012,東京都,清瀬市,清瀬どろんこ保育園,キヨセドロンコホイクエン,認可保育園,90,"1,064",2020年3月31日,
132217,0000000013,東京都,清瀬市,のしお1丁目保育園,ノシオ1チョウメホイクエン,認可保育園,80,971,2020年3月31日,
132217,0000000014,東京都,清瀬市,メリーポピンズ清瀬ルーム,メリーポピンズキヨセルーム,認可保育園,39,433,2020年3月31日,
132217,0000000015,東京都,清瀬市,中里どろんこ保育園,ナカザトドロンコホイクエン,認可保育園,100,"1,173",2020年3月31日,
132217,0000000016,東京都,清瀬市,ピッコロルーム,ピッコロルーム,地域型保育施設,11,173,2020年3月31日,
132217,0000000017,東京都,清瀬市,ゆりかごファーストスクール,ユリカゴファーストスクール,地域型保育施設,18,209,2020年3月31日,
132217,0000000018,東京都,清瀬市,ちゃいるど保育園,チャイルドホイクエン,地域型保育施設,18,190,2020年3月31日,
132217,0000000019,東京都,清瀬市,あいあいちびっこルーム,アイアイチビッコルーム,地域型保育施設,12,134,2020年3月31日,
132217,0000000020,東京都,清瀬市,ちあふるガーデン,チアフルガーデン,地域型保育施設,14,134,2020年3月31日,
132217,0000000021,東京都,清瀬市,なかよし保育園,ナカヨシホイクエン,地域型保育施設,9,371,2020年3月31日,
132217,0000000022,東京都,清瀬市,合計：保育園,ゴウケイ：ホイクエン,保育園,328,"3,674",2020年3月31日,
132217,0000000023,東京都,清瀬市,合計：認可保育園,ゴウケイ：ニンカホイクエン,認可保育園,"1,039","12,526",2020年3月31日,
132217,0000000024,東京都,清瀬市,合計：地域型保育施設,ゴウケイ：チイキガタホイクシセツ,地域型保育施設,82,"1,121",2020年3月31日,
132217,0000000025,東京都,清瀬市,総合計,ソウゴウケイ,総合計,"1,121","13,737",2020年3月31日,
