学校ID,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名,,,,,,,,
0000000001,東京都,,清瀬市,,132217,清瀬小学校,キヨセショウガッコウ,1503,2013-04-01,,上清戸2丁目、中清戸2丁目、中里3丁目、中里4丁目、中里5丁目540～646・737～747・836～846・900～905番地、中里6丁目288・324・330・370・372・407～428・504～539番地・95番1～7号,,,,,,,,,,
0000000002,東京都,,清瀬市,,132217,芝山小学校,シバヤマショウガッコウ,1503,2013-04-01,,　元町1丁目5～19番、元町2丁目、中里1丁目、野塩3丁目,,,,,,,,,,
0000000003,東京都,,清瀬市,,132217,清瀬第三小学校,キヨセダイサンショウガッコウ,1503,2013-04-01,,竹丘1丁目、竹丘2丁目、竹丘3丁目2番・10番41～53号・11～14番,,,,,,,,,,
0000000004,東京都,,清瀬市,,132217,清瀬第四小学校,キヨセダイヨンショウガッコウ,1503,2013-04-01,,中里2丁目、野塩1丁目、野塩2丁目,,,,,,,,,,
0000000005,東京都,,清瀬市,,132217,清瀬第六小学校,キヨセダイロクショウガッコウ,1503,2013-04-01,,竹丘3丁目（2番・10番41～53号・11～14番を除く）、梅園1丁目（1～4番を除く）、梅園2丁目、梅園3丁目、野塩4丁目、野塩5丁目,,,,,,,,,,
0000000006,東京都,,清瀬市,,132217,清瀬第七小学校,キヨセダイナナショウガッコウ,1503,2013-04-01,,松山1丁目、松山2丁目、松山3丁目、梅園1丁目1～3番,,,,,,,,,,
0000000007,東京都,,清瀬市,,132217,清瀬第八小学校,キヨセダイハチショウガッコウ,1503,2013-04-01,,中清戸4丁目、下清戸1丁目137～151番地・288～298番地・311～371番地・1176～1181番地、下清戸2丁目、下清戸3丁目1～6番地・8～15番地・23～28番地・31番地・372～398番地・909～929番地、下清戸4丁目、下清戸5丁目、中里5丁目1番地～21番地・87番地～110番地・1053～1139番地、中里6丁目22～78番地・129～131番地・152番地・161番地・164番地・191番地・195番地・270番地・304～305番地・95番8号～18号,,,,,,,,,,
0000000008,東京都,,清瀬市,,132217,清瀬第十小学校,キヨセダイジュウショウガッコウ,1503,2013-04-01,,元町1丁目1～4番、上清戸1丁目、中清戸1丁目、中清戸3丁目、中清戸5丁目、下清戸1丁目15～23番地・25番地・152～287番地・299～310番地,,,,,,,,,,
0000000009,東京都,,清瀬市,,132217,清明小学校,セイメイショウガッコウ,1503,2013-04-01,,旭が丘1丁目、旭が丘2丁目、旭が丘3丁目、旭が丘4丁目、旭が丘5丁目、旭が丘6丁目、下宿1丁目（1番1～8号を除く）、下宿2丁目。下宿3丁目,,,,,,,,,,
0000000010,東京都,,清瀬市,,132217,清瀬中学校,キヨセチュウガッコウ,1504,2013-04-01,,上清戸2丁目、中清戸2丁目、中清戸4丁目、中里3丁目、中里4丁目、中里5丁目540～646・737～747・836～846・900～905番地、中里6丁目288.324・330・370・372・407～428・504～539番地・95番1～7号,,,,,,,,,,
0000000011,東京都,,清瀬市,,132217,清瀬第二中学校,キヨセダイニチュウガッコウ,1504,2013-04-01,,松山1丁目、松山2丁目、松山3丁目、竹丘1丁目、竹丘2丁目、竹丘3丁目、梅園1丁目、梅園2丁目、梅園3丁目,,,,,,,,,,
0000000012,東京都,,清瀬市,,132217,清瀬第三中学校,キヨセダイサンチュウガッコウ,1504,2013-04-01,,旭が丘1丁目、旭が丘2丁目、旭が丘3丁目、旭が丘4丁目、旭が丘5丁目、旭が丘6丁目、下宿1丁目、下宿2丁目、下宿3丁目、下清戸1丁目137～151番地・288～298番地・311～371番地・1176～1181番地、下清戸2丁目、下清戸3丁目1～6番地・8～15番地・23～28番地・31番地・372～398番地・909～929番地、下清戸4丁目、下清戸5丁目、中里5丁目1番地～21番地・87番地～110番地・1053～1139番地、中里6丁目22～78番地・129～131番地・152番地・161番地・164番地・191番地・195番地・270番地・304～305番地・95番8～18号,,,,,,,,,,
0000000013,東京都,,清瀬市,,132217,清瀬第四中学校,キヨセダイヨンチュウガッコウ,1504,2013-04-01,,元町1丁目5～19番、元町2丁目、野塩1丁目、野塩2丁目、野塩3丁目、野塩4丁目、野塩5丁目、中里1丁目、中里2丁目,,,,,,,,,,
0000000014,東京都,,清瀬市,,132217,清瀬第五中学校,キヨセダイゴチュウガッコウ,1504,2013-04-01,,元町1丁目1～4番、上清戸1丁目、中清戸1丁目、中清戸3丁目、中清戸5丁目、下清戸1丁目15～23番地・25番地・152～287番地・299～310番地、下清戸3丁目7番地・16番地・17番地・19番地・20番地・29番地・30番地・32～136番地,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
