町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,994,758,770,1528
両国二丁目,1339,1049,1082,2131
両国三丁目,1334,994,1018,2012
両国四丁目,1327,1066,1039,2105
千歳一丁目,977,804,860,1664
千歳二丁目,646,566,505,1071
千歳三丁目,1516,1268,1216,2484
緑一丁目,1939,1630,1526,3156
緑二丁目,1805,1659,1745,3404
緑三丁目,1711,1478,1471,2949
緑四丁目,2930,2456,2313,4769
立川一丁目,881,634,695,1329
立川二丁目,886,723,681,1404
立川三丁目,1102,880,922,1802
立川四丁目,1059,800,818,1618
菊川一丁目,1073,872,945,1817
菊川二丁目,1491,1092,1256,2348
菊川三丁目,2241,1899,1963,3862
江東橋一丁目,987,743,747,1490
江東橋二丁目,1467,1207,1137,2344
江東橋三丁目,617,454,318,772
江東橋四丁目,1794,1281,1305,2586
江東橋五丁目,1715,1505,1523,3028
横網一丁目,149,172,152,324
横網二丁目,711,596,612,1208
亀沢一丁目,1237,1025,1056,2081
亀沢二丁目,1039,883,1021,1904
亀沢三丁目,1067,1084,1058,2142
亀沢四丁目,1510,1366,1336,2702
石原一丁目,1627,1283,1329,2612
石原二丁目,1464,1277,1283,2560
石原三丁目,1756,1558,1425,2983
石原四丁目,1584,1438,1403,2841
本所一丁目,1635,1457,1479,2936
本所二丁目,935,787,850,1637
本所三丁目,1027,884,909,1793
本所四丁目,1457,1267,1233,2500
東駒形一丁目,883,686,704,1390
東駒形二丁目,874,763,780,1543
東駒形三丁目,940,763,768,1531
東駒形四丁目,1463,1185,1266,2451
吾妻橋一丁目,1343,1043,1120,2163
吾妻橋二丁目,926,693,757,1450
吾妻橋三丁目,892,817,859,1676
錦糸一丁目,1427,1064,1049,2113
錦糸二丁目,478,371,323,694
錦糸三丁目,476,389,337,726
錦糸四丁目,1035,902,943,1845
太平一丁目,1953,1817,1799,3616
太平二丁目,941,772,640,1412
太平三丁目,877,698,677,1375
太平四丁目,2687,2365,2481,4846
横川一丁目,823,853,758,1611
横川二丁目,974,820,737,1557
横川三丁目,717,613,597,1210
横川四丁目,761,662,605,1267
横川五丁目,1459,1221,1626,2847
業平一丁目,1590,1429,1607,3036
業平二丁目,812,697,620,1317
業平三丁目,883,684,708,1392
業平四丁目,1212,924,1027,1951
業平五丁目,1211,1105,1218,2323
向島一丁目,1397,1152,1138,2290
向島二丁目,1571,1288,1412,2700
向島三丁目,2672,2302,2306,4608
向島四丁目,1373,1275,1356,2631
向島五丁目,2616,2184,2173,4357
東向島一丁目,1812,1618,1573,3191
東向島二丁目,2880,2449,2628,5077
東向島三丁目,1747,1705,1770,3475
東向島四丁目,2005,1743,1786,3529
東向島五丁目,2162,1854,2015,3869
東向島六丁目,3014,2766,2797,5563
堤通一丁目,1154,1204,1122,2326
堤通二丁目,2096,1856,2391,4247
墨田一丁目,1464,1493,1670,3163
墨田二丁目,2057,1979,1939,3918
墨田三丁目,2063,1872,1881,3753
墨田四丁目,2507,2387,2460,4847
墨田五丁目,1561,1406,1405,2811
押上一丁目,1338,1048,1148,2196
押上二丁目,2022,1773,1925,3698
押上三丁目,2334,2179,2191,4370
京島一丁目,3638,3418,3711,7129
京島二丁目,997,955,857,1812
京島三丁目,2320,2135,2077,4212
文花一丁目,3010,2569,3085,5654
文花二丁目,1331,1169,1243,2412
文花三丁目,1207,1346,1319,2665
八広一丁目,1853,1747,1655,3402
八広二丁目,2188,2154,2072,4226
八広三丁目,1850,1840,1716,3556
八広四丁目,2292,2224,2201,4425
八広五丁目,1622,1452,1500,2952
八広六丁目,2124,2075,1993,4068
立花一丁目,3506,3050,3266,6316
立花二丁目,901,825,806,1631
立花三丁目,1640,1482,1524,3006
立花四丁目,1882,1870,1820,3690
立花五丁目,1985,2202,2155,4357
立花六丁目,1192,1117,1237,2354
東墨田一丁目,78,81,65,146
東墨田二丁目,746,699,640,1339
東墨田三丁目,407,426,387,813
