町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,968,735,755,1490
両国二丁目,1357,1060,1086,2146
両国三丁目,1306,956,1025,1981
両国四丁目,1332,1062,1043,2105
千歳一丁目,976,798,853,1651
千歳二丁目,642,562,500,1062
千歳三丁目,1471,1235,1204,2439
緑一丁目,1904,1593,1533,3126
緑二丁目,1804,1653,1752,3405
緑三丁目,1731,1492,1480,2972
緑四丁目,2883,2424,2291,4715
立川一丁目,890,640,697,1337
立川二丁目,889,722,683,1405
立川三丁目,1083,866,909,1775
立川四丁目,1045,793,823,1616
菊川一丁目,1046,856,932,1788
菊川二丁目,1483,1096,1254,2350
菊川三丁目,2242,1891,1960,3851
江東橋一丁目,986,755,752,1507
江東橋二丁目,1456,1206,1137,2343
江東橋三丁目,641,476,329,805
江東橋四丁目,1809,1304,1307,2611
江東橋五丁目,1676,1492,1499,2991
横網一丁目,148,166,149,315
横網二丁目,715,598,610,1208
亀沢一丁目,1233,1041,1059,2100
亀沢二丁目,1054,898,1030,1928
亀沢三丁目,1063,1084,1053,2137
亀沢四丁目,1509,1355,1326,2681
石原一丁目,1610,1274,1319,2593
石原二丁目,1459,1285,1277,2562
石原三丁目,1741,1556,1420,2976
石原四丁目,1521,1382,1334,2716
本所一丁目,1612,1452,1456,2908
本所二丁目,923,788,847,1635
本所三丁目,1035,899,910,1809
本所四丁目,1427,1264,1219,2483
東駒形一丁目,863,665,689,1354
東駒形二丁目,867,766,774,1540
東駒形三丁目,934,768,759,1527
東駒形四丁目,1456,1191,1254,2445
吾妻橋一丁目,1363,1060,1141,2201
吾妻橋二丁目,924,686,751,1437
吾妻橋三丁目,890,811,861,1672
錦糸一丁目,1446,1084,1073,2157
錦糸二丁目,480,370,323,693
錦糸三丁目,481,385,348,733
錦糸四丁目,1022,895,937,1832
太平一丁目,1941,1814,1795,3609
太平二丁目,936,773,650,1423
太平三丁目,866,691,662,1353
太平四丁目,2673,2367,2477,4844
横川一丁目,818,849,758,1607
横川二丁目,972,821,725,1546
横川三丁目,707,619,584,1203
横川四丁目,762,666,609,1275
横川五丁目,1452,1228,1626,2854
業平一丁目,1576,1438,1608,3046
業平二丁目,831,714,631,1345
業平三丁目,873,683,701,1384
業平四丁目,1220,930,1046,1976
業平五丁目,1210,1106,1222,2328
向島一丁目,1374,1136,1122,2258
向島二丁目,1566,1287,1403,2690
向島三丁目,2649,2282,2284,4566
向島四丁目,1362,1261,1350,2611
向島五丁目,2562,2163,2151,4314
東向島一丁目,1808,1614,1582,3196
東向島二丁目,2877,2458,2630,5088
東向島三丁目,1729,1699,1758,3457
東向島四丁目,2019,1755,1816,3571
東向島五丁目,2171,1863,2014,3877
東向島六丁目,3021,2764,2788,5552
堤通一丁目,1134,1180,1118,2298
堤通二丁目,2101,1879,2397,4276
墨田一丁目,1472,1507,1686,3193
墨田二丁目,2050,1978,1942,3920
墨田三丁目,2058,1856,1868,3724
墨田四丁目,2459,2345,2428,4773
墨田五丁目,1569,1417,1416,2833
押上一丁目,1353,1047,1166,2213
押上二丁目,2028,1779,1943,3722
押上三丁目,2313,2184,2172,4356
京島一丁目,3624,3403,3704,7107
京島二丁目,995,956,857,1813
京島三丁目,2315,2134,2072,4206
文花一丁目,3007,2574,3109,5683
文花二丁目,1331,1165,1250,2415
文花三丁目,1204,1360,1316,2676
八広一丁目,1851,1742,1657,3399
八広二丁目,2126,2111,2042,4153
八広三丁目,1856,1845,1711,3556
八広四丁目,2280,2216,2186,4402
八広五丁目,1631,1476,1512,2988
八広六丁目,2094,2057,1983,4040
立花一丁目,3528,3085,3288,6373
立花二丁目,910,832,807,1639
立花三丁目,1640,1478,1535,3013
立花四丁目,1889,1880,1824,3704
立花五丁目,1964,2184,2129,4313
立花六丁目,1194,1122,1238,2360
東墨田一丁目,77,81,64,145
東墨田二丁目,740,694,643,1337
東墨田三丁目,399,419,394,813
