町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1060,799,815,1614
両国二丁目,1338,1031,1060,2091
両国三丁目,1341,981,983,1964
両国四丁目,1394,1098,1087,2185
千歳一丁目,1004,815,858,1673
千歳二丁目,662,543,529,1072
千歳三丁目,1529,1258,1215,2473
緑一丁目,2071,1697,1627,3324
緑二丁目,1811,1650,1735,3385
緑三丁目,1720,1488,1491,2979
緑四丁目,2966,2478,2300,4778
立川一丁目,928,651,716,1367
立川二丁目,909,714,710,1424
立川三丁目,1104,862,922,1784
立川四丁目,1090,812,820,1632
菊川一丁目,1135,878,985,1863
菊川二丁目,1492,1117,1252,2369
菊川三丁目,2224,1873,1946,3819
江東橋一丁目,1042,776,763,1539
江東橋二丁目,1471,1183,1140,2323
江東橋三丁目,613,456,302,758
江東橋四丁目,1714,1225,1257,2482
江東橋五丁目,1744,1500,1554,3054
横網一丁目,138,159,149,308
横網二丁目,701,585,575,1160
亀沢一丁目,1238,1027,1053,2080
亀沢二丁目,1039,889,1022,1911
亀沢三丁目,1151,1115,1094,2209
亀沢四丁目,1575,1384,1386,2770
石原一丁目,1689,1322,1354,2676
石原二丁目,1472,1266,1280,2546
石原三丁目,1742,1539,1401,2940
石原四丁目,1663,1502,1507,3009
本所一丁目,1714,1489,1535,3024
本所二丁目,928,760,837,1597
本所三丁目,1093,896,961,1857
本所四丁目,1539,1290,1285,2575
東駒形一丁目,894,681,704,1385
東駒形二丁目,843,748,762,1510
東駒形三丁目,958,764,774,1538
東駒形四丁目,1506,1202,1269,2471
吾妻橋一丁目,1359,1043,1126,2169
吾妻橋二丁目,952,699,759,1458
吾妻橋三丁目,871,795,843,1638
錦糸一丁目,1431,1060,1018,2078
錦糸二丁目,467,353,332,685
錦糸三丁目,478,381,324,705
錦糸四丁目,1021,895,911,1806
太平一丁目,1981,1834,1798,3632
太平二丁目,950,763,655,1418
太平三丁目,936,733,713,1446
太平四丁目,2709,2363,2440,4803
横川一丁目,837,847,759,1606
横川二丁目,975,822,716,1538
横川三丁目,716,609,575,1184
横川四丁目,769,656,608,1264
横川五丁目,1444,1224,1600,2824
業平一丁目,1596,1411,1598,3009
業平二丁目,827,694,609,1303
業平三丁目,872,674,694,1368
業平四丁目,1256,952,1011,1963
業平五丁目,1220,1087,1230,2317
向島一丁目,1458,1178,1194,2372
向島二丁目,1578,1282,1407,2689
向島三丁目,2760,2350,2348,4698
向島四丁目,1360,1269,1337,2606
向島五丁目,2617,2165,2161,4326
東向島一丁目,1803,1595,1560,3155
東向島二丁目,2855,2400,2626,5026
東向島三丁目,1741,1667,1761,3428
東向島四丁目,2024,1738,1788,3526
東向島五丁目,2227,1873,2052,3925
東向島六丁目,3024,2749,2758,5507
堤通一丁目,1112,1173,1123,2296
堤通二丁目,2081,1807,2343,4150
墨田一丁目,1431,1494,1666,3160
墨田二丁目,2062,1962,1959,3921
墨田三丁目,2023,1829,1833,3662
墨田四丁目,2451,2333,2402,4735
墨田五丁目,1553,1386,1398,2784
押上一丁目,1342,1063,1147,2210
押上二丁目,1996,1756,1888,3644
押上三丁目,2351,2184,2204,4388
京島一丁目,3633,3415,3738,7153
京島二丁目,998,952,839,1791
京島三丁目,2292,2137,2037,4174
文花一丁目,2977,2518,3041,5559
文花二丁目,1333,1163,1243,2406
文花三丁目,1224,1336,1320,2656
八広一丁目,1923,1783,1674,3457
八広二丁目,2269,2196,2100,4296
八広三丁目,1898,1825,1742,3567
八広四丁目,2444,2321,2243,4564
八広五丁目,1631,1462,1491,2953
八広六丁目,2131,2079,2010,4089
立花一丁目,3462,2962,3170,6132
立花二丁目,879,806,791,1597
立花三丁目,1691,1512,1517,3029
立花四丁目,1907,1846,1818,3664
立花五丁目,2034,2251,2186,4437
立花六丁目,1216,1115,1253,2368
東墨田一丁目,77,79,65,144
東墨田二丁目,816,730,696,1426
東墨田三丁目,403,420,399,819
