町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1009,780,772,1552
両国二丁目,1342,1039,1074,2113
両国三丁目,1348,986,1029,2015
両国四丁目,1337,1072,1047,2119
千歳一丁目,977,794,863,1657
千歳二丁目,622,535,496,1031
千歳三丁目,1496,1247,1212,2459
緑一丁目,1964,1651,1554,3205
緑二丁目,1781,1651,1715,3366
緑三丁目,1700,1476,1479,2955
緑四丁目,2910,2444,2292,4736
立川一丁目,884,632,694,1326
立川二丁目,874,717,678,1395
立川三丁目,1105,887,917,1804
立川四丁目,1054,805,803,1608
菊川一丁目,1081,871,956,1827
菊川二丁目,1489,1092,1256,2348
菊川三丁目,2228,1888,1964,3852
江東橋一丁目,1000,760,748,1508
江東橋二丁目,1457,1177,1139,2316
江東橋三丁目,614,450,311,761
江東橋四丁目,1751,1251,1271,2522
江東橋五丁目,1726,1513,1540,3053
横網一丁目,144,166,150,316
横網二丁目,698,590,597,1187
亀沢一丁目,1241,1032,1062,2094
亀沢二丁目,1035,889,1015,1904
亀沢三丁目,1054,1078,1054,2132
亀沢四丁目,1511,1364,1341,2705
石原一丁目,1624,1285,1314,2599
石原二丁目,1460,1266,1286,2552
石原三丁目,1741,1537,1411,2948
石原四丁目,1591,1445,1413,2858
本所一丁目,1648,1456,1488,2944
本所二丁目,935,786,849,1635
本所三丁目,1037,885,921,1806
本所四丁目,1473,1274,1251,2525
東駒形一丁目,882,689,702,1391
東駒形二丁目,869,760,780,1540
東駒形三丁目,938,757,770,1527
東駒形四丁目,1449,1178,1258,2436
吾妻橋一丁目,1347,1054,1114,2168
吾妻橋二丁目,925,699,750,1449
吾妻橋三丁目,876,801,849,1650
錦糸一丁目,1424,1054,1046,2100
錦糸二丁目,474,362,321,683
錦糸三丁目,473,382,332,714
錦糸四丁目,1029,903,934,1837
太平一丁目,1980,1833,1816,3649
太平二丁目,940,760,645,1405
太平三丁目,898,713,690,1403
太平四丁目,2658,2340,2452,4792
横川一丁目,820,845,763,1608
横川二丁目,978,827,732,1559
横川三丁目,716,613,592,1205
横川四丁目,750,650,598,1248
横川五丁目,1457,1229,1631,2860
業平一丁目,1593,1420,1614,3034
業平二丁目,817,695,619,1314
業平三丁目,888,686,715,1401
業平四丁目,1239,931,1029,1960
業平五丁目,1202,1101,1206,2307
向島一丁目,1427,1169,1164,2333
向島二丁目,1565,1280,1410,2690
向島三丁目,2663,2304,2299,4603
向島四丁目,1355,1260,1349,2609
向島五丁目,2614,2175,2159,4334
東向島一丁目,1807,1613,1570,3183
東向島二丁目,2857,2422,2606,5028
東向島三丁目,1745,1692,1769,3461
東向島四丁目,2000,1733,1778,3511
東向島五丁目,2188,1868,2023,3891
東向島六丁目,2988,2753,2777,5530
堤通一丁目,1152,1201,1123,2324
堤通二丁目,2099,1854,2402,4256
墨田一丁目,1445,1493,1657,3150
墨田二丁目,2070,1982,1951,3933
墨田三丁目,2053,1858,1872,3730
墨田四丁目,2495,2364,2450,4814
墨田五丁目,1556,1399,1401,2800
押上一丁目,1321,1035,1126,2161
押上二丁目,2015,1769,1921,3690
押上三丁目,2367,2205,2215,4420
京島一丁目,3636,3420,3699,7119
京島二丁目,1000,961,844,1805
京島三丁目,2289,2109,2065,4174
文花一丁目,2994,2562,3067,5629
文花二丁目,1333,1168,1245,2413
文花三丁目,1203,1332,1303,2635
八広一丁目,1846,1747,1636,3383
八広二丁目,2208,2166,2075,4241
八広三丁目,1858,1830,1715,3545
八広四丁目,2324,2250,2219,4469
八広五丁目,1624,1452,1494,2946
八広六丁目,2116,2059,2009,4068
立花一丁目,3485,3019,3250,6269
立花二丁目,881,810,793,1603
立花三丁目,1629,1492,1500,2992
立花四丁目,1881,1861,1811,3672
立花五丁目,2015,2235,2169,4404
立花六丁目,1193,1103,1245,2348
東墨田一丁目,78,81,65,146
東墨田二丁目,775,715,669,1384
東墨田三丁目,404,426,389,815
