町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1039,797,790,1587
両国二丁目,1358,1039,1085,2124
両国三丁目,1339,974,1019,1993
両国四丁目,1332,1066,1045,2111
千歳一丁目,980,798,862,1660
千歳二丁目,626,537,501,1038
千歳三丁目,1494,1241,1211,2452
緑一丁目,1976,1664,1556,3220
緑二丁目,1788,1657,1716,3373
緑三丁目,1702,1477,1489,2966
緑四丁目,2913,2449,2287,4736
立川一丁目,883,635,693,1328
立川二丁目,888,725,688,1413
立川三丁目,1100,886,914,1800
立川四丁目,1042,795,789,1584
菊川一丁目,1082,874,954,1828
菊川二丁目,1487,1091,1257,2348
菊川三丁目,2212,1877,1956,3833
江東橋一丁目,993,756,746,1502
江東橋二丁目,1448,1178,1134,2312
江東橋三丁目,619,457,312,769
江東橋四丁目,1752,1264,1270,2534
江東橋五丁目,1722,1515,1532,3047
横網一丁目,144,169,149,318
横網二丁目,698,591,598,1189
亀沢一丁目,1250,1040,1065,2105
亀沢二丁目,1031,889,1019,1908
亀沢三丁目,1048,1075,1047,2122
亀沢四丁目,1516,1366,1348,2714
石原一丁目,1640,1295,1321,2616
石原二丁目,1458,1269,1283,2552
石原三丁目,1750,1545,1417,2962
石原四丁目,1588,1445,1406,2851
本所一丁目,1647,1459,1484,2943
本所二丁目,939,790,852,1642
本所三丁目,1051,881,930,1811
本所四丁目,1460,1255,1239,2494
東駒形一丁目,878,686,700,1386
東駒形二丁目,867,761,777,1538
東駒形三丁目,941,758,772,1530
東駒形四丁目,1450,1181,1253,2434
吾妻橋一丁目,1334,1039,1111,2150
吾妻橋二丁目,926,700,752,1452
吾妻橋三丁目,873,799,846,1645
錦糸一丁目,1428,1061,1046,2107
錦糸二丁目,472,361,323,684
錦糸三丁目,472,382,334,716
錦糸四丁目,1029,906,927,1833
太平一丁目,1980,1834,1820,3654
太平二丁目,943,762,653,1415
太平三丁目,901,719,695,1414
太平四丁目,2657,2338,2451,4789
横川一丁目,817,842,765,1607
横川二丁目,979,824,732,1556
横川三丁目,713,611,592,1203
横川四丁目,758,653,600,1253
横川五丁目,1458,1233,1628,2861
業平一丁目,1592,1419,1613,3032
業平二丁目,810,691,617,1308
業平三丁目,872,677,703,1380
業平四丁目,1240,931,1030,1961
業平五丁目,1209,1100,1216,2316
向島一丁目,1427,1169,1167,2336
向島二丁目,1564,1280,1413,2693
向島三丁目,2661,2304,2303,4607
向島四丁目,1353,1260,1346,2606
向島五丁目,2600,2167,2155,4322
東向島一丁目,1793,1602,1565,3167
東向島二丁目,2859,2424,2612,5036
東向島三丁目,1738,1692,1763,3455
東向島四丁目,1999,1734,1778,3512
東向島五丁目,2195,1873,2031,3904
東向島六丁目,2992,2753,2771,5524
堤通一丁目,1154,1203,1127,2330
堤通二丁目,2096,1844,2401,4245
墨田一丁目,1448,1495,1656,3151
墨田二丁目,2070,1976,1958,3934
墨田三丁目,2052,1857,1875,3732
墨田四丁目,2491,2361,2447,4808
墨田五丁目,1558,1398,1401,2799
押上一丁目,1317,1028,1123,2151
押上二丁目,2011,1760,1914,3674
押上三丁目,2359,2206,2211,4417
京島一丁目,3638,3419,3706,7125
京島二丁目,1006,969,847,1816
京島三丁目,2290,2112,2053,4165
文花一丁目,2995,2571,3068,5639
文花二丁目,1338,1173,1249,2422
文花三丁目,1194,1326,1303,2629
八広一丁目,1857,1749,1638,3387
八広二丁目,2216,2171,2077,4248
八広三丁目,1860,1829,1722,3551
八広四丁目,2319,2233,2211,4444
八広五丁目,1625,1449,1488,2937
八広六丁目,2115,2066,2012,4078
立花一丁目,3475,3014,3225,6239
立花二丁目,882,806,797,1603
立花三丁目,1625,1487,1498,2985
立花四丁目,1884,1866,1804,3670
立花五丁目,2029,2247,2179,4426
立花六丁目,1195,1102,1246,2348
東墨田一丁目,81,84,64,148
東墨田二丁目,780,720,665,1385
東墨田三丁目,399,421,385,806
