町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,993,763,762,1525
両国二丁目,1328,1034,1072,2106
両国三丁目,1345,996,1027,2023
両国四丁目,1336,1070,1045,2115
千歳一丁目,979,801,863,1664
千歳二丁目,633,548,504,1052
千歳三丁目,1509,1263,1218,2481
緑一丁目,1952,1649,1541,3190
緑二丁目,1785,1656,1724,3380
緑三丁目,1701,1465,1479,2944
緑四丁目,2911,2441,2296,4737
立川一丁目,897,645,697,1342
立川二丁目,877,713,683,1396
立川三丁目,1104,880,921,1801
立川四丁目,1056,805,808,1613
菊川一丁目,1070,869,944,1813
菊川二丁目,1492,1092,1259,2351
菊川三丁目,2232,1894,1965,3859
江東橋一丁目,999,754,748,1502
江東橋二丁目,1464,1189,1133,2322
江東橋三丁目,613,450,315,765
江東橋四丁目,1771,1266,1277,2543
江東橋五丁目,1735,1517,1535,3052
横網一丁目,147,171,150,321
横網二丁目,702,591,599,1190
亀沢一丁目,1240,1024,1060,2084
亀沢二丁目,1032,891,1012,1903
亀沢三丁目,1052,1077,1047,2124
亀沢四丁目,1516,1367,1346,2713
石原一丁目,1630,1287,1326,2613
石原二丁目,1464,1271,1289,2560
石原三丁目,1740,1544,1408,2952
石原四丁目,1587,1441,1405,2846
本所一丁目,1651,1456,1485,2941
本所二丁目,942,788,857,1645
本所三丁目,1038,885,921,1806
本所四丁目,1471,1282,1246,2528
東駒形一丁目,884,691,698,1389
東駒形二丁目,865,758,780,1538
東駒形三丁目,939,761,768,1529
東駒形四丁目,1462,1190,1260,2450
吾妻橋一丁目,1340,1050,1109,2159
吾妻橋二丁目,925,696,753,1449
吾妻橋三丁目,888,811,857,1668
錦糸一丁目,1424,1054,1048,2102
錦糸二丁目,469,361,316,677
錦糸三丁目,472,381,333,714
錦糸四丁目,1032,901,939,1840
太平一丁目,1945,1809,1794,3603
太平二丁目,936,760,648,1408
太平三丁目,905,718,691,1409
太平四丁目,2674,2362,2465,4827
横川一丁目,820,847,764,1611
横川二丁目,982,829,733,1562
横川三丁目,723,619,595,1214
横川四丁目,754,651,601,1252
横川五丁目,1457,1228,1630,2858
業平一丁目,1591,1426,1613,3039
業平二丁目,814,693,622,1315
業平三丁目,889,686,711,1397
業平四丁目,1222,926,1028,1954
業平五丁目,1197,1104,1202,2306
向島一丁目,1421,1167,1154,2321
向島二丁目,1578,1289,1416,2705
向島三丁目,2669,2317,2301,4618
向島四丁目,1358,1262,1349,2611
向島五丁目,2612,2175,2166,4341
東向島一丁目,1807,1615,1573,3188
東向島二丁目,2860,2427,2610,5037
東向島三丁目,1755,1701,1770,3471
東向島四丁目,2004,1738,1782,3520
東向島五丁目,2168,1854,2021,3875
東向島六丁目,3003,2758,2799,5557
堤通一丁目,1153,1202,1125,2327
堤通二丁目,2101,1851,2398,4249
墨田一丁目,1448,1489,1657,3146
墨田二丁目,2069,1988,1945,3933
墨田三丁目,2059,1864,1869,3733
墨田四丁目,2495,2361,2451,4812
墨田五丁目,1553,1399,1400,2799
押上一丁目,1333,1043,1133,2176
押上二丁目,2018,1767,1917,3684
押上三丁目,2359,2198,2203,4401
京島一丁目,3638,3417,3705,7122
京島二丁目,994,955,844,1799
京島三丁目,2300,2118,2067,4185
文花一丁目,3002,2571,3077,5648
文花二丁目,1334,1171,1245,2416
文花三丁目,1204,1341,1314,2655
八広一丁目,1857,1750,1649,3399
八広二丁目,2212,2174,2077,4251
八広三丁目,1846,1829,1713,3542
八広四丁目,2316,2241,2214,4455
八広五丁目,1612,1437,1487,2924
八広六丁目,2106,2054,1998,4052
立花一丁目,3497,3024,3251,6275
立花二丁目,893,817,799,1616
立花三丁目,1636,1494,1506,3000
立花四丁目,1883,1865,1812,3677
立花五丁目,2003,2221,2165,4386
立花六丁目,1196,1111,1245,2356
東墨田一丁目,78,81,65,146
東墨田二丁目,763,700,653,1353
東墨田三丁目,408,430,388,818
