町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,977,734,770,1504
両国二丁目,1279,1029,1018,2047
両国三丁目,1199,889,953,1842
両国四丁目,1254,964,1001,1965
千歳一丁目,962,807,816,1623
千歳二丁目,575,506,459,965
千歳三丁目,1256,1020,1027,2047
緑一丁目,1792,1540,1424,2964
緑二丁目,1705,1610,1665,3275
緑三丁目,1543,1408,1320,2728
緑四丁目,2606,2197,2106,4303
立川一丁目,881,638,687,1325
立川二丁目,860,698,680,1378
立川三丁目,985,825,828,1653
立川四丁目,899,729,683,1412
菊川一丁目,897,786,852,1638
菊川二丁目,1352,1071,1166,2237
菊川三丁目,2174,1823,1977,3800
江東橋一丁目,916,696,733,1429
江東橋二丁目,1367,1155,1087,2242
江東橋三丁目,575,422,321,743
江東橋四丁目,1734,1239,1367,2606
江東橋五丁目,1667,1501,1516,3017
横網一丁目,137,158,148,306
横網二丁目,729,622,603,1225
亀沢一丁目,1246,1063,1083,2146
亀沢二丁目,956,846,954,1800
亀沢三丁目,1001,1032,976,2008
亀沢四丁目,1462,1291,1276,2567
石原一丁目,1517,1255,1265,2520
石原二丁目,1381,1235,1208,2443
石原三丁目,1651,1514,1331,2845
石原四丁目,1439,1343,1287,2630
本所一丁目,1634,1503,1479,2982
本所二丁目,911,808,852,1660
本所三丁目,1045,927,941,1868
本所四丁目,1290,1172,1125,2297
東駒形一丁目,764,613,619,1232
東駒形二丁目,842,761,774,1535
東駒形三丁目,837,727,732,1459
東駒形四丁目,1377,1206,1186,2392
吾妻橋一丁目,1293,1004,1091,2095
吾妻橋二丁目,871,679,704,1383
吾妻橋三丁目,862,800,850,1650
錦糸一丁目,1337,1014,990,2004
錦糸二丁目,460,372,306,678
錦糸三丁目,464,378,347,725
錦糸四丁目,996,872,924,1796
太平一丁目,1824,1742,1733,3475
太平二丁目,922,757,677,1434
太平三丁目,788,648,640,1288
太平四丁目,2624,2355,2484,4839
横川一丁目,752,813,718,1531
横川二丁目,883,771,663,1434
横川三丁目,647,580,551,1131
横川四丁目,762,692,604,1296
横川五丁目,1392,1212,1576,2788
業平一丁目,1489,1409,1554,2963
業平二丁目,818,687,663,1350
業平三丁目,867,668,680,1348
業平四丁目,1160,915,1022,1937
業平五丁目,1165,1086,1170,2256
向島一丁目,1290,1095,1075,2170
向島二丁目,1441,1247,1306,2553
向島三丁目,2327,2019,2023,4042
向島四丁目,1293,1263,1309,2572
向島五丁目,2433,2105,2034,4139
東向島一丁目,1646,1523,1484,3007
東向島二丁目,2747,2426,2544,4970
東向島三丁目,1647,1637,1703,3340
東向島四丁目,1915,1708,1772,3480
東向島五丁目,2105,1858,1998,3856
東向島六丁目,2842,2662,2720,5382
堤通一丁目,1153,1205,1156,2361
堤通二丁目,2082,1938,2399,4337
墨田一丁目,1291,1410,1524,2934
墨田二丁目,2013,1990,1951,3941
墨田三丁目,1941,1837,1824,3661
墨田四丁目,2473,2348,2496,4844
墨田五丁目,1532,1422,1386,2808
押上一丁目,1315,1054,1148,2202
押上二丁目,2076,1865,2014,3879
押上三丁目,2274,2209,2093,4302
京島一丁目,3604,3383,3682,7065
京島二丁目,1002,963,851,1814
京島三丁目,2360,2202,2101,4303
文花一丁目,2976,2622,3191,5813
文花二丁目,1208,1119,1176,2295
文花三丁目,1190,1361,1333,2694
八広一丁目,1780,1722,1623,3345
八広二丁目,2083,2108,2081,4189
八広三丁目,1837,1835,1719,3554
八広四丁目,2109,2115,2077,4192
八広五丁目,1572,1467,1481,2948
八広六丁目,2064,2062,1953,4015
立花一丁目,3358,3027,3213,6240
立花二丁目,875,776,745,1521
立花三丁目,1479,1385,1405,2790
立花四丁目,1849,1851,1850,3701
立花五丁目,1860,2118,2033,4151
立花六丁目,1173,1125,1235,2360
東墨田一丁目,82,96,63,159
東墨田二丁目,730,705,643,1348
東墨田三丁目,395,429,388,817
