町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,913,707,726,1433
両国二丁目,1252,1026,1006,2032
両国三丁目,1199,876,961,1837
両国四丁目,1201,943,963,1906
千歳一丁目,883,746,765,1511
千歳二丁目,582,509,454,963
千歳三丁目,1248,1007,1036,2043
緑一丁目,1692,1486,1346,2832
緑二丁目,1721,1621,1722,3343
緑三丁目,1424,1332,1236,2568
緑四丁目,2414,2052,1923,3975
立川一丁目,820,601,630,1231
立川二丁目,858,705,659,1364
立川三丁目,979,825,833,1658
立川四丁目,875,724,639,1363
菊川一丁目,842,752,809,1561
菊川二丁目,1335,1060,1153,2213
菊川三丁目,2062,1766,1894,3660
江東橋一丁目,936,717,730,1447
江東橋二丁目,1349,1142,1081,2223
江東橋三丁目,571,407,339,746
江東橋四丁目,1735,1241,1362,2603
江東橋五丁目,1660,1484,1510,2994
横網一丁目,139,162,151,313
横網二丁目,727,605,608,1213
亀沢一丁目,1225,1045,1066,2111
亀沢二丁目,945,831,932,1763
亀沢三丁目,974,1000,921,1921
亀沢四丁目,1400,1255,1247,2502
石原一丁目,1497,1238,1266,2504
石原二丁目,1302,1179,1158,2337
石原三丁目,1627,1499,1292,2791
石原四丁目,1434,1347,1284,2631
本所一丁目,1608,1488,1469,2957
本所二丁目,897,808,839,1647
本所三丁目,1022,913,937,1850
本所四丁目,1249,1147,1124,2271
東駒形一丁目,744,601,610,1211
東駒形二丁目,851,779,760,1539
東駒形三丁目,836,736,718,1454
東駒形四丁目,1390,1216,1200,2416
吾妻橋一丁目,1284,1014,1076,2090
吾妻橋二丁目,857,672,693,1365
吾妻橋三丁目,845,789,834,1623
錦糸一丁目,1306,975,980,1955
錦糸二丁目,437,357,321,678
錦糸三丁目,469,376,363,739
錦糸四丁目,985,867,911,1778
太平一丁目,1818,1723,1725,3448
太平二丁目,946,770,707,1477
太平三丁目,790,639,640,1279
太平四丁目,2606,2345,2484,4829
横川一丁目,755,825,715,1540
横川二丁目,869,752,655,1407
横川三丁目,643,584,545,1129
横川四丁目,769,684,620,1304
横川五丁目,1375,1218,1551,2769
業平一丁目,1500,1409,1561,2970
業平二丁目,801,685,648,1333
業平三丁目,867,670,690,1360
業平四丁目,1130,917,994,1911
業平五丁目,1152,1078,1180,2258
向島一丁目,1264,1089,1065,2154
向島二丁目,1386,1215,1274,2489
向島三丁目,2199,1949,1924,3873
向島四丁目,1303,1283,1328,2611
向島五丁目,2340,2043,2000,4043
東向島一丁目,1642,1518,1498,3016
東向島二丁目,2706,2398,2518,4916
東向島三丁目,1637,1612,1699,3311
東向島四丁目,1902,1715,1749,3464
東向島五丁目,2051,1853,1986,3839
東向島六丁目,2805,2651,2693,5344
堤通一丁目,1133,1238,1161,2399
堤通二丁目,2076,1943,2408,4351
墨田一丁目,1274,1401,1512,2913
墨田二丁目,2009,2005,1934,3939
墨田三丁目,1899,1842,1805,3647
墨田四丁目,2467,2355,2503,4858
墨田五丁目,1510,1426,1379,2805
押上一丁目,1296,1064,1164,2228
押上二丁目,2077,1866,2027,3893
押上三丁目,2246,2193,2074,4267
京島一丁目,3572,3380,3621,7001
京島二丁目,991,959,850,1809
京島三丁目,2368,2200,2120,4320
文花一丁目,2922,2584,3156,5740
文花二丁目,1176,1112,1130,2242
文花三丁目,1188,1356,1356,2712
八広一丁目,1763,1718,1620,3338
八広二丁目,2021,2072,2040,4112
八広三丁目,1762,1740,1677,3417
八広四丁目,2047,2095,2027,4122
八広五丁目,1576,1477,1472,2949
八広六丁目,2020,2039,1942,3981
立花一丁目,3350,3039,3208,6247
立花二丁目,884,776,751,1527
立花三丁目,1421,1348,1379,2727
立花四丁目,1795,1861,1808,3669
立花五丁目,1842,2080,2018,4098
立花六丁目,1161,1128,1243,2371
東墨田一丁目,84,98,63,161
東墨田二丁目,689,682,614,1296
東墨田三丁目,401,430,391,821
