町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,975,735,772,1507
両国二丁目,1269,1020,1015,2035
両国三丁目,1201,888,951,1839
両国四丁目,1260,963,1004,1967
千歳一丁目,962,810,820,1630
千歳二丁目,584,515,464,979
千歳三丁目,1255,1022,1031,2053
緑一丁目,1787,1535,1423,2958
緑二丁目,1715,1616,1675,3291
緑三丁目,1547,1417,1319,2736
緑四丁目,2590,2214,2064,4278
立川一丁目,876,635,681,1316
立川二丁目,861,693,677,1370
立川三丁目,990,828,826,1654
立川四丁目,896,725,685,1410
菊川一丁目,893,786,847,1633
菊川二丁目,1349,1068,1164,2232
菊川三丁目,2163,1822,1960,3782
江東橋一丁目,932,708,744,1452
江東橋二丁目,1377,1164,1090,2254
江東橋三丁目,574,423,319,742
江東橋四丁目,1735,1240,1366,2606
江東橋五丁目,1676,1501,1520,3021
横網一丁目,139,162,148,310
横網二丁目,732,625,602,1227
亀沢一丁目,1249,1062,1085,2147
亀沢二丁目,952,845,949,1794
亀沢三丁目,1004,1034,972,2006
亀沢四丁目,1463,1295,1277,2572
石原一丁目,1512,1252,1259,2511
石原二丁目,1368,1222,1200,2422
石原三丁目,1634,1499,1326,2825
石原四丁目,1442,1347,1283,2630
本所一丁目,1631,1496,1478,2974
本所二丁目,911,807,852,1659
本所三丁目,1058,933,951,1884
本所四丁目,1279,1166,1117,2283
東駒形一丁目,768,620,623,1243
東駒形二丁目,848,773,769,1542
東駒形三丁目,839,729,732,1461
東駒形四丁目,1386,1208,1190,2398
吾妻橋一丁目,1301,1009,1095,2104
吾妻橋二丁目,871,679,707,1386
吾妻橋三丁目,859,803,853,1656
錦糸一丁目,1343,1016,999,2015
錦糸二丁目,457,367,307,674
錦糸三丁目,467,379,346,725
錦糸四丁目,997,870,923,1793
太平一丁目,1823,1731,1736,3467
太平二丁目,930,760,686,1446
太平三丁目,789,646,639,1285
太平四丁目,2625,2346,2498,4844
横川一丁目,756,816,716,1532
横川二丁目,879,766,660,1426
横川三丁目,647,578,553,1131
横川四丁目,772,696,610,1306
横川五丁目,1383,1210,1567,2777
業平一丁目,1488,1408,1550,2958
業平二丁目,817,686,665,1351
業平三丁目,871,673,682,1355
業平四丁目,1169,925,1022,1947
業平五丁目,1163,1082,1164,2246
向島一丁目,1286,1095,1073,2168
向島二丁目,1431,1238,1302,2540
向島三丁目,2319,2011,2008,4019
向島四丁目,1290,1261,1310,2571
向島五丁目,2442,2109,2047,4156
東向島一丁目,1644,1519,1483,3002
東向島二丁目,2732,2424,2533,4957
東向島三丁目,1646,1628,1706,3334
東向島四丁目,1925,1721,1782,3503
東向島五丁目,2099,1861,1996,3857
東向島六丁目,2838,2660,2717,5377
堤通一丁目,1164,1223,1163,2386
堤通二丁目,2081,1932,2396,4328
墨田一丁目,1292,1413,1524,2937
墨田二丁目,2021,2000,1949,3949
墨田三丁目,1925,1836,1811,3647
墨田四丁目,2465,2346,2494,4840
墨田五丁目,1530,1422,1384,2806
押上一丁目,1315,1059,1151,2210
押上二丁目,2073,1860,2021,3881
押上三丁目,2275,2213,2089,4302
京島一丁目,3605,3389,3674,7063
京島二丁目,998,959,850,1809
京島三丁目,2362,2202,2109,4311
文花一丁目,2961,2608,3179,5787
文花二丁目,1202,1107,1177,2284
文花三丁目,1189,1364,1335,2699
八広一丁目,1779,1720,1624,3344
八広二丁目,2067,2094,2069,4163
八広三丁目,1811,1797,1696,3493
八広四丁目,2105,2120,2070,4190
八広五丁目,1579,1472,1489,2961
八広六丁目,2067,2060,1954,4014
立花一丁目,3359,3026,3225,6251
立花二丁目,885,779,753,1532
立花三丁目,1473,1381,1406,2787
立花四丁目,1848,1856,1843,3699
立花五丁目,1856,2115,2028,4143
立花六丁目,1169,1122,1234,2356
東墨田一丁目,83,97,63,160
東墨田二丁目,726,704,639,1343
東墨田三丁目,398,431,387,818
