町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1068,811,813,1624
両国二丁目,1325,1020,1055,2075
両国三丁目,1346,979,992,1971
両国四丁目,1369,1084,1088,2172
千歳一丁目,1024,816,863,1679
千歳二丁目,670,548,530,1078
千歳三丁目,1530,1249,1228,2477
緑一丁目,2053,1690,1615,3305
緑二丁目,1823,1659,1747,3406
緑三丁目,1758,1513,1516,3029
緑四丁目,2945,2467,2270,4737
立川一丁目,930,642,719,1361
立川二丁目,924,716,731,1447
立川三丁目,1127,877,936,1813
立川四丁目,1070,799,805,1604
菊川一丁目,1123,868,985,1853
菊川二丁目,1495,1114,1250,2364
菊川三丁目,2219,1868,1948,3816
江東橋一丁目,1016,762,750,1512
江東橋二丁目,1475,1201,1130,2331
江東橋三丁目,609,456,305,761
江東橋四丁目,1764,1259,1282,2541
江東橋五丁目,1728,1481,1538,3019
横網一丁目,138,156,151,307
横網二丁目,703,581,588,1169
亀沢一丁目,1245,1010,1063,2073
亀沢二丁目,1034,877,1014,1891
亀沢三丁目,1161,1122,1090,2212
亀沢四丁目,1617,1409,1404,2813
石原一丁目,1671,1304,1354,2658
石原二丁目,1463,1253,1298,2551
石原三丁目,1731,1528,1386,2914
石原四丁目,1644,1485,1471,2956
本所一丁目,1734,1485,1567,3052
本所二丁目,937,767,841,1608
本所三丁目,1085,895,957,1852
本所四丁目,1561,1303,1306,2609
東駒形一丁目,894,672,693,1365
東駒形二丁目,837,753,748,1501
東駒形三丁目,983,782,780,1562
東駒形四丁目,1509,1203,1276,2479
吾妻橋一丁目,1366,1053,1124,2177
吾妻橋二丁目,967,698,764,1462
吾妻橋三丁目,875,786,843,1629
錦糸一丁目,1431,1069,1006,2075
錦糸二丁目,459,346,323,669
錦糸三丁目,491,382,334,716
錦糸四丁目,1010,887,903,1790
太平一丁目,2005,1849,1790,3639
太平二丁目,928,748,642,1390
太平三丁目,906,714,698,1412
太平四丁目,2686,2348,2396,4744
横川一丁目,839,852,755,1607
横川二丁目,977,816,714,1530
横川三丁目,717,613,568,1181
横川四丁目,745,630,593,1223
横川五丁目,1451,1232,1591,2823
業平一丁目,1592,1407,1584,2991
業平二丁目,832,695,617,1312
業平三丁目,868,675,692,1367
業平四丁目,1262,956,998,1954
業平五丁目,1225,1077,1228,2305
向島一丁目,1445,1160,1189,2349
向島二丁目,1572,1273,1403,2676
向島三丁目,2746,2315,2339,4654
向島四丁目,1345,1256,1324,2580
向島五丁目,2614,2162,2163,4325
東向島一丁目,1792,1597,1546,3143
東向島二丁目,2852,2384,2610,4994
東向島三丁目,1767,1668,1786,3454
東向島四丁目,2065,1750,1817,3567
東向島五丁目,2226,1874,2029,3903
東向島六丁目,3042,2754,2774,5528
堤通一丁目,1113,1173,1136,2309
堤通二丁目,2069,1787,2325,4112
墨田一丁目,1431,1497,1661,3158
墨田二丁目,2062,1950,1958,3908
墨田三丁目,2024,1829,1827,3656
墨田四丁目,2462,2331,2411,4742
墨田五丁目,1551,1387,1396,2783
押上一丁目,1374,1088,1161,2249
押上二丁目,1991,1736,1877,3613
押上三丁目,2331,2172,2192,4364
京島一丁目,3622,3403,3723,7126
京島二丁目,987,945,819,1764
京島三丁目,2294,2145,2038,4183
文花一丁目,2972,2512,3011,5523
文花二丁目,1319,1146,1240,2386
文花三丁目,1221,1336,1340,2676
八広一丁目,1918,1774,1675,3449
八広二丁目,2324,2229,2133,4362
八広三丁目,1903,1824,1750,3574
八広四丁目,2449,2309,2248,4557
八広五丁目,1626,1463,1486,2949
八広六丁目,2123,2077,1994,4071
立花一丁目,3444,2941,3169,6110
立花二丁目,875,806,789,1595
立花三丁目,1674,1483,1515,2998
立花四丁目,1904,1847,1804,3651
立花五丁目,2028,2236,2186,4422
立花六丁目,1196,1100,1238,2338
東墨田一丁目,75,77,65,142
東墨田二丁目,817,726,697,1423
東墨田三丁目,400,414,401,815
