町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1003,746,773,1519
両国二丁目,1339,1065,1070,2135
両国三丁目,1195,890,958,1848
両国四丁目,1256,959,1001,1960
千歳一丁目,956,812,802,1614
千歳二丁目,562,497,458,955
千歳三丁目,1386,1170,1182,2352
緑一丁目,1775,1526,1418,2944
緑二丁目,1694,1588,1673,3261
緑三丁目,1541,1391,1322,2713
緑四丁目,2547,2179,2069,4248
立川一丁目,873,628,689,1317
立川二丁目,850,682,668,1350
立川三丁目,1002,839,840,1679
立川四丁目,917,741,694,1435
菊川一丁目,884,771,844,1615
菊川二丁目,1324,1052,1144,2196
菊川三丁目,2179,1838,1972,3810
江東橋一丁目,943,715,744,1459
江東橋二丁目,1381,1159,1089,2248
江東橋三丁目,580,428,316,744
江東橋四丁目,1763,1248,1386,2634
江東橋五丁目,1662,1513,1514,3027
横網一丁目,136,157,144,301
横網二丁目,715,604,601,1205
亀沢一丁目,1224,1055,1063,2118
亀沢二丁目,972,851,971,1822
亀沢三丁目,1006,1033,979,2012
亀沢四丁目,1487,1319,1289,2608
石原一丁目,1524,1246,1254,2500
石原二丁目,1392,1247,1228,2475
石原三丁目,1659,1525,1343,2868
石原四丁目,1461,1361,1296,2657
本所一丁目,1640,1502,1482,2984
本所二丁目,915,804,852,1656
本所三丁目,1048,933,940,1873
本所四丁目,1317,1191,1139,2330
東駒形一丁目,760,614,608,1222
東駒形二丁目,861,773,785,1558
東駒形三丁目,858,733,746,1479
東駒形四丁目,1370,1191,1186,2377
吾妻橋一丁目,1311,1013,1117,2130
吾妻橋二丁目,871,676,707,1383
吾妻橋三丁目,878,811,861,1672
錦糸一丁目,1351,1032,1010,2042
錦糸二丁目,454,354,308,662
錦糸三丁目,463,382,340,722
錦糸四丁目,1003,886,929,1815
太平一丁目,1832,1735,1730,3465
太平二丁目,933,761,678,1439
太平三丁目,797,649,645,1294
太平四丁目,2637,2357,2473,4830
横川一丁目,766,831,730,1561
横川二丁目,877,768,657,1425
横川三丁目,657,578,556,1134
横川四丁目,761,688,600,1288
横川五丁目,1449,1269,1627,2896
業平一丁目,1489,1408,1559,2967
業平二丁目,813,688,660,1348
業平三丁目,862,658,684,1342
業平四丁目,1165,909,1037,1946
業平五丁目,1164,1098,1171,2269
向島一丁目,1285,1080,1068,2148
向島二丁目,1452,1245,1322,2567
向島三丁目,2426,2092,2132,4224
向島四丁目,1299,1259,1315,2574
向島五丁目,2456,2106,2073,4179
東向島一丁目,1644,1528,1479,3007
東向島二丁目,2775,2444,2555,4999
東向島三丁目,1634,1632,1713,3345
東向島四丁目,1897,1691,1761,3452
東向島五丁目,2105,1861,1995,3856
東向島六丁目,2852,2674,2701,5375
堤通一丁目,1162,1203,1146,2349
堤通二丁目,2072,1921,2396,4317
墨田一丁目,1388,1485,1625,3110
墨田二丁目,2025,2008,1966,3974
墨田三丁目,1913,1810,1782,3592
墨田四丁目,2447,2347,2461,4808
墨田五丁目,1543,1420,1397,2817
押上一丁目,1313,1043,1144,2187
押上二丁目,2063,1843,1995,3838
押上三丁目,2266,2202,2092,4294
京島一丁目,3599,3381,3700,7081
京島二丁目,1006,957,857,1814
京島三丁目,2331,2185,2077,4262
文花一丁目,2972,2611,3169,5780
文花二丁目,1224,1118,1181,2299
文花三丁目,1195,1364,1341,2705
八広一丁目,1774,1711,1622,3333
八広二丁目,2097,2118,2071,4189
八広三丁目,1864,1853,1739,3592
八広四丁目,2102,2115,2082,4197
八広五丁目,1569,1451,1483,2934
八広六丁目,2053,2058,1941,3999
立花一丁目,3413,3064,3255,6319
立花二丁目,885,780,753,1533
立花三丁目,1498,1396,1413,2809
立花四丁目,1860,1850,1859,3709
立花五丁目,1852,2095,2027,4122
立花六丁目,1194,1152,1250,2402
東墨田一丁目,83,95,61,156
東墨田二丁目,734,718,641,1359
東墨田三丁目,415,449,391,840
