町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,903,703,722,1425
両国二丁目,1241,1027,984,2011
両国三丁目,1186,858,940,1798
両国四丁目,1203,963,960,1923
千歳一丁目,880,745,762,1507
千歳二丁目,595,517,447,964
千歳三丁目,1224,977,1013,1990
緑一丁目,1689,1485,1355,2840
緑二丁目,1704,1621,1684,3305
緑三丁目,1385,1303,1201,2504
緑四丁目,2418,2058,1924,3982
立川一丁目,792,604,609,1213
立川二丁目,836,685,659,1344
立川三丁目,979,815,828,1643
立川四丁目,846,697,609,1306
菊川一丁目,846,759,799,1558
菊川二丁目,1324,1053,1151,2204
菊川三丁目,2084,1777,1898,3675
江東橋一丁目,936,713,736,1449
江東橋二丁目,1354,1156,1070,2226
江東橋三丁目,563,390,344,734
江東橋四丁目,1743,1237,1373,2610
江東橋五丁目,1627,1460,1513,2973
横網一丁目,129,151,140,291
横網二丁目,709,598,577,1175
亀沢一丁目,1181,1021,1023,2044
亀沢二丁目,917,805,911,1716
亀沢三丁目,971,990,915,1905
亀沢四丁目,1409,1261,1238,2499
石原一丁目,1497,1244,1263,2507
石原二丁目,1296,1181,1170,2351
石原三丁目,1642,1509,1302,2811
石原四丁目,1418,1354,1268,2622
本所一丁目,1507,1438,1404,2842
本所二丁目,889,809,846,1655
本所三丁目,1006,908,937,1845
本所四丁目,1237,1143,1121,2264
東駒形一丁目,775,618,628,1246
東駒形二丁目,870,793,770,1563
東駒形三丁目,841,741,730,1471
東駒形四丁目,1397,1227,1193,2420
吾妻橋一丁目,1267,987,1075,2062
吾妻橋二丁目,861,684,692,1376
吾妻橋三丁目,844,786,846,1632
錦糸一丁目,1286,977,957,1934
錦糸二丁目,458,369,338,707
錦糸三丁目,477,373,376,749
錦糸四丁目,991,871,902,1773
太平一丁目,1796,1718,1705,3423
太平二丁目,972,789,713,1502
太平三丁目,783,633,629,1262
太平四丁目,2563,2320,2464,4784
横川一丁目,758,824,712,1536
横川二丁目,872,743,648,1391
横川三丁目,646,590,542,1132
横川四丁目,763,682,631,1313
横川五丁目,1372,1232,1546,2778
業平一丁目,1500,1412,1554,2966
業平二丁目,806,690,641,1331
業平三丁目,861,671,689,1360
業平四丁目,1128,930,987,1917
業平五丁目,1169,1082,1193,2275
向島一丁目,1249,1088,1027,2115
向島二丁目,1387,1221,1262,2483
向島三丁目,2152,1895,1852,3747
向島四丁目,1311,1296,1317,2613
向島五丁目,2342,2061,2006,4067
東向島一丁目,1640,1505,1500,3005
東向島二丁目,2709,2409,2512,4921
東向島三丁目,1625,1605,1704,3309
東向島四丁目,1882,1704,1745,3449
東向島五丁目,2047,1855,1980,3835
東向島六丁目,2784,2643,2661,5304
堤通一丁目,1137,1255,1156,2411
堤通二丁目,2092,1966,2435,4401
墨田一丁目,1257,1393,1509,2902
墨田二丁目,2016,2020,1940,3960
墨田三丁目,1890,1852,1817,3669
墨田四丁目,2464,2352,2520,4872
墨田五丁目,1505,1433,1383,2816
押上一丁目,1292,1061,1172,2233
押上二丁目,2069,1885,2010,3895
押上三丁目,2237,2172,2055,4227
京島一丁目,3468,3302,3519,6821
京島二丁目,1008,974,869,1843
京島三丁目,2371,2211,2150,4361
文花一丁目,2935,2606,3167,5773
文花二丁目,1170,1118,1116,2234
文花三丁目,1189,1358,1365,2723
八広一丁目,1752,1715,1611,3326
八広二丁目,2036,2095,2047,4142
八広三丁目,1760,1736,1687,3423
八広四丁目,2019,2075,1976,4051
八広五丁目,1543,1464,1462,2926
八広六丁目,1999,2022,1937,3959
立花一丁目,3346,3047,3192,6239
立花二丁目,876,795,744,1539
立花三丁目,1424,1347,1376,2723
立花四丁目,1801,1872,1814,3686
立花五丁目,1836,2078,2018,4096
立花六丁目,1162,1143,1244,2387
東墨田一丁目,82,93,66,159
東墨田二丁目,667,657,601,1258
東墨田三丁目,413,445,388,833
