町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,966,739,747,1486
両国二丁目,1369,1080,1087,2167
両国三丁目,1303,957,1025,1982
両国四丁目,1357,1079,1054,2133
千歳一丁目,993,818,861,1679
千歳二丁目,627,549,495,1044
千歳三丁目,1440,1215,1191,2406
緑一丁目,1830,1549,1467,3016
緑二丁目,1802,1643,1735,3378
緑三丁目,1707,1469,1444,2913
緑四丁目,2831,2407,2265,4672
立川一丁目,891,642,694,1336
立川二丁目,872,713,675,1388
立川三丁目,1031,848,852,1700
立川四丁目,1051,796,811,1607
菊川一丁目,994,825,905,1730
菊川二丁目,1474,1092,1261,2353
菊川三丁目,2249,1902,1974,3876
江東橋一丁目,980,745,742,1487
江東橋二丁目,1439,1187,1144,2331
江東橋三丁目,634,465,327,792
江東橋四丁目,1790,1303,1296,2599
江東橋五丁目,1670,1489,1517,3006
横網一丁目,155,171,152,323
横網二丁目,713,600,603,1203
亀沢一丁目,1228,1040,1057,2097
亀沢二丁目,1049,886,1028,1914
亀沢三丁目,1045,1072,1030,2102
亀沢四丁目,1527,1357,1336,2693
石原一丁目,1562,1244,1286,2530
石原二丁目,1465,1287,1291,2578
石原三丁目,1740,1572,1399,2971
石原四丁目,1492,1352,1319,2671
本所一丁目,1620,1457,1472,2929
本所二丁目,915,783,850,1633
本所三丁目,1047,908,924,1832
本所四丁目,1418,1269,1219,2488
東駒形一丁目,853,659,687,1346
東駒形二丁目,861,767,769,1536
東駒形三丁目,936,770,761,1531
東駒形四丁目,1460,1190,1251,2441
吾妻橋一丁目,1366,1045,1161,2206
吾妻橋二丁目,915,685,746,1431
吾妻橋三丁目,881,801,861,1662
錦糸一丁目,1424,1059,1077,2136
錦糸二丁目,484,378,327,705
錦糸三丁目,491,382,359,741
錦糸四丁目,1017,891,928,1819
太平一丁目,1943,1800,1790,3590
太平二丁目,952,787,658,1445
太平三丁目,861,691,677,1368
太平四丁目,2669,2359,2486,4845
横川一丁目,819,855,756,1611
横川二丁目,933,788,712,1500
横川三丁目,658,575,553,1128
横川四丁目,759,663,611,1274
横川五丁目,1465,1250,1635,2885
業平一丁目,1554,1431,1596,3027
業平二丁目,834,726,629,1355
業平三丁目,862,693,686,1379
業平四丁目,1218,931,1054,1985
業平五丁目,1200,1098,1216,2314
向島一丁目,1380,1127,1131,2258
向島二丁目,1569,1288,1416,2704
向島三丁目,2587,2240,2243,4483
向島四丁目,1359,1284,1341,2625
向島五丁目,2598,2193,2153,4346
東向島一丁目,1777,1599,1563,3162
東向島二丁目,2880,2449,2627,5076
東向島三丁目,1658,1653,1705,3358
東向島四丁目,1993,1748,1819,3567
東向島五丁目,2141,1857,2006,3863
東向島六丁目,3017,2754,2788,5542
堤通一丁目,1123,1164,1110,2274
堤通二丁目,2105,1883,2400,4283
墨田一丁目,1477,1522,1693,3215
墨田二丁目,2039,1969,1963,3932
墨田三丁目,2040,1856,1853,3709
墨田四丁目,2464,2349,2429,4778
墨田五丁目,1571,1421,1422,2843
押上一丁目,1361,1065,1173,2238
押上二丁目,2037,1793,1955,3748
押上三丁目,2328,2197,2195,4392
京島一丁目,3621,3421,3701,7122
京島二丁目,986,949,852,1801
京島三丁目,2317,2142,2068,4210
文花一丁目,3030,2600,3142,5742
文花二丁目,1300,1145,1225,2370
文花三丁目,1203,1360,1321,2681
八広一丁目,1855,1733,1664,3397
八広二丁目,2122,2103,2061,4164
八広三丁目,1852,1851,1721,3572
八広四丁目,2261,2218,2166,4384
八広五丁目,1582,1454,1475,2929
八広六丁目,2109,2069,1993,4062
立花一丁目,3489,3072,3262,6334
立花二丁目,943,843,824,1667
立花三丁目,1644,1488,1546,3034
立花四丁目,1861,1861,1810,3671
立花五丁目,1866,2123,2075,4198
立花六丁目,1175,1113,1229,2342
東墨田一丁目,76,81,60,141
東墨田二丁目,741,695,647,1342
東墨田三丁目,399,425,398,823
