町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,980,737,771,1508
両国二丁目,1264,1012,1020,2032
両国三丁目,1196,876,945,1821
両国四丁目,1265,970,995,1965
千歳一丁目,957,799,817,1616
千歳二丁目,584,514,454,968
千歳三丁目,1254,1014,1031,2045
緑一丁目,1752,1511,1396,2907
緑二丁目,1704,1609,1671,3280
緑三丁目,1527,1397,1293,2690
緑四丁目,2566,2179,2065,4244
立川一丁目,840,616,650,1266
立川二丁目,856,696,673,1369
立川三丁目,994,829,832,1661
立川四丁目,901,741,685,1426
菊川一丁目,877,775,844,1619
菊川二丁目,1345,1067,1164,2231
菊川三丁目,2155,1805,1964,3769
江東橋一丁目,931,706,743,1449
江東橋二丁目,1374,1160,1091,2251
江東橋三丁目,569,417,313,730
江東橋四丁目,1753,1246,1378,2624
江東橋五丁目,1663,1495,1516,3011
横網一丁目,140,162,148,310
横網二丁目,742,627,606,1233
亀沢一丁目,1234,1043,1073,2116
亀沢二丁目,956,848,950,1798
亀沢三丁目,974,999,936,1935
亀沢四丁目,1458,1294,1276,2570
石原一丁目,1514,1246,1272,2518
石原二丁目,1354,1213,1184,2397
石原三丁目,1604,1476,1306,2782
石原四丁目,1451,1358,1287,2645
本所一丁目,1648,1512,1498,3010
本所二丁目,908,802,852,1654
本所三丁目,1051,925,952,1877
本所四丁目,1272,1150,1121,2271
東駒形一丁目,758,612,615,1227
東駒形二丁目,864,783,769,1552
東駒形三丁目,851,738,733,1471
東駒形四丁目,1379,1204,1187,2391
吾妻橋一丁目,1297,1009,1088,2097
吾妻橋二丁目,873,683,706,1389
吾妻橋三丁目,850,798,842,1640
錦糸一丁目,1344,1007,997,2004
錦糸二丁目,448,362,311,673
錦糸三丁目,467,384,343,727
錦糸四丁目,993,869,917,1786
太平一丁目,1826,1739,1731,3470
太平二丁目,933,762,693,1455
太平三丁目,793,641,649,1290
太平四丁目,2609,2332,2480,4812
横川一丁目,757,818,719,1537
横川二丁目,875,763,658,1421
横川三丁目,643,578,545,1123
横川四丁目,772,689,613,1302
横川五丁目,1372,1208,1552,2760
業平一丁目,1488,1409,1553,2962
業平二丁目,827,698,669,1367
業平三丁目,876,674,680,1354
業平四丁目,1170,934,1023,1957
業平五丁目,1162,1085,1176,2261
向島一丁目,1295,1107,1080,2187
向島二丁目,1421,1230,1300,2530
向島三丁目,2279,1991,1990,3981
向島四丁目,1296,1270,1313,2583
向島五丁目,2425,2101,2033,4134
東向島一丁目,1639,1514,1485,2999
東向島二丁目,2721,2408,2521,4929
東向島三丁目,1645,1623,1710,3333
東向島四丁目,1927,1720,1783,3503
東向島五丁目,2082,1856,1986,3842
東向島六丁目,2846,2675,2720,5395
堤通一丁目,1157,1227,1166,2393
堤通二丁目,2073,1919,2389,4308
墨田一丁目,1285,1410,1513,2923
墨田二丁目,2023,2008,1955,3963
墨田三丁目,1938,1855,1821,3676
墨田四丁目,2473,2354,2499,4853
墨田五丁目,1518,1420,1379,2799
押上一丁目,1311,1060,1159,2219
押上二丁目,2072,1859,2013,3872
押上三丁目,2278,2218,2079,4297
京島一丁目,3596,3387,3654,7041
京島二丁目,988,953,847,1800
京島三丁目,2354,2186,2105,4291
文花一丁目,2958,2619,3170,5789
文花二丁目,1195,1107,1162,2269
文花三丁目,1191,1362,1337,2699
八広一丁目,1778,1713,1627,3340
八広二丁目,2042,2083,2048,4131
八広三丁目,1813,1789,1700,3489
八広四丁目,2105,2126,2071,4197
八広五丁目,1582,1470,1478,2948
八広六丁目,2037,2035,1928,3963
立花一丁目,3346,3012,3209,6221
立花二丁目,895,783,757,1540
立花三丁目,1465,1375,1405,2780
立花四丁目,1833,1849,1826,3675
立花五丁目,1865,2111,2038,4149
立花六丁目,1180,1138,1247,2385
東墨田一丁目,83,97,63,160
東墨田二丁目,724,705,630,1335
東墨田三丁目,393,426,385,811
