町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,871,700,720,1420
両国二丁目,1234,1011,985,1996
両国三丁目,1107,828,891,1719
両国四丁目,1150,912,913,1825
千歳一丁目,854,717,753,1470
千歳二丁目,570,506,429,935
千歳三丁目,1214,978,1002,1980
緑一丁目,1631,1446,1341,2787
緑二丁目,1656,1578,1647,3225
緑三丁目,1359,1284,1191,2475
緑四丁目,2308,2000,1859,3859
立川一丁目,734,576,564,1140
立川二丁目,838,688,661,1349
立川三丁目,932,775,796,1571
立川四丁目,812,661,627,1288
菊川一丁目,824,745,796,1541
菊川二丁目,1225,1013,1088,2101
菊川三丁目,2049,1772,1869,3641
江東橋一丁目,910,702,717,1419
江東橋二丁目,1337,1141,1059,2200
江東橋三丁目,549,382,337,719
江東橋四丁目,1743,1238,1379,2617
江東橋五丁目,1627,1457,1516,2973
横網一丁目,128,149,138,287
横網二丁目,720,606,583,1189
亀沢一丁目,1160,1017,1001,2018
亀沢二丁目,918,819,902,1721
亀沢三丁目,959,983,917,1900
亀沢四丁目,1388,1245,1229,2474
石原一丁目,1479,1248,1243,2491
石原二丁目,1276,1169,1150,2319
石原三丁目,1637,1509,1292,2801
石原四丁目,1418,1373,1264,2637
本所一丁目,1508,1428,1408,2836
本所二丁目,860,795,841,1636
本所三丁目,984,892,929,1821
本所四丁目,1226,1141,1117,2258
東駒形一丁目,768,612,627,1239
東駒形二丁目,851,789,759,1548
東駒形三丁目,837,738,728,1466
東駒形四丁目,1388,1220,1186,2406
吾妻橋一丁目,1232,967,1060,2027
吾妻橋二丁目,835,678,674,1352
吾妻橋三丁目,836,775,830,1605
錦糸一丁目,1278,982,954,1936
錦糸二丁目,459,372,332,704
錦糸三丁目,476,369,379,748
錦糸四丁目,995,871,900,1771
太平一丁目,1805,1730,1701,3431
太平二丁目,987,821,718,1539
太平三丁目,683,556,561,1117
太平四丁目,2542,2329,2461,4790
横川一丁目,727,794,693,1487
横川二丁目,875,743,656,1399
横川三丁目,646,583,541,1124
横川四丁目,762,689,624,1313
横川五丁目,1378,1248,1548,2796
業平一丁目,1476,1393,1535,2928
業平二丁目,820,708,639,1347
業平三丁目,847,678,680,1358
業平四丁目,1127,945,985,1930
業平五丁目,1130,1040,1154,2194
向島一丁目,1214,1067,1017,2084
向島二丁目,1373,1222,1264,2486
向島三丁目,2123,1891,1827,3718
向島四丁目,1284,1277,1298,2575
向島五丁目,2346,2083,2006,4089
東向島一丁目,1657,1529,1496,3025
東向島二丁目,2678,2388,2490,4878
東向島三丁目,1607,1603,1712,3315
東向島四丁目,1870,1698,1756,3454
東向島五丁目,1996,1843,1948,3791
東向島六丁目,2703,2591,2631,5222
堤通一丁目,1113,1239,1139,2378
堤通二丁目,2101,1971,2449,4420
墨田一丁目,1239,1394,1506,2900
墨田二丁目,1968,2001,1921,3922
墨田三丁目,1850,1821,1764,3585
墨田四丁目,2434,2335,2505,4840
墨田五丁目,1504,1446,1382,2828
押上一丁目,1252,1056,1133,2189
押上二丁目,2011,1845,1977,3822
押上三丁目,2163,2104,1979,4083
京島一丁目,3361,3225,3438,6663
京島二丁目,996,963,868,1831
京島三丁目,2383,2233,2164,4397
文花一丁目,2918,2620,3155,5775
文花二丁目,1158,1114,1114,2228
文花三丁目,1179,1341,1343,2684
八広一丁目,1740,1715,1615,3330
八広二丁目,2016,2080,2035,4115
八広三丁目,1765,1740,1681,3421
八広四丁目,1976,2047,1939,3986
八広五丁目,1526,1463,1469,2932
八広六丁目,1997,2036,1946,3982
立花一丁目,3344,3072,3187,6259
立花二丁目,872,795,745,1540
立花三丁目,1418,1338,1367,2705
立花四丁目,1779,1872,1786,3658
立花五丁目,1816,2047,2007,4054
立花六丁目,1159,1151,1249,2400
東墨田一丁目,84,94,67,161
東墨田二丁目,668,656,597,1253
東墨田三丁目,408,437,385,822
