町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,977,741,757,1498
両国二丁目,1359,1077,1083,2160
両国三丁目,1267,927,1008,1935
両国四丁目,1328,1038,990,2028
千歳一丁目,1009,835,863,1698
千歳二丁目,623,533,497,1030
千歳三丁目,1435,1200,1208,2408
緑一丁目,1852,1562,1459,3021
緑二丁目,1799,1647,1738,3385
緑三丁目,1606,1428,1375,2803
緑四丁目,2791,2359,2240,4599
立川一丁目,890,632,702,1334
立川二丁目,891,714,693,1407
立川三丁目,1024,835,851,1686
立川四丁目,1041,797,796,1593
菊川一丁目,985,820,898,1718
菊川二丁目,1448,1082,1240,2322
菊川三丁目,2246,1892,1978,3870
江東橋一丁目,969,746,741,1487
江東橋二丁目,1437,1187,1149,2336
江東橋三丁目,630,455,325,780
江東橋四丁目,1798,1295,1319,2614
江東橋五丁目,1688,1517,1534,3051
横網一丁目,145,164,149,313
横網二丁目,716,609,598,1207
亀沢一丁目,1230,1040,1078,2118
亀沢二丁目,1044,880,1038,1918
亀沢三丁目,1049,1087,1019,2106
亀沢四丁目,1510,1337,1325,2662
石原一丁目,1568,1246,1295,2541
石原二丁目,1464,1292,1273,2565
石原三丁目,1742,1581,1392,2973
石原四丁目,1503,1367,1327,2694
本所一丁目,1620,1476,1461,2937
本所二丁目,912,789,850,1639
本所三丁目,1047,922,922,1844
本所四丁目,1399,1259,1194,2453
東駒形一丁目,817,645,648,1293
東駒形二丁目,851,762,763,1525
東駒形三丁目,928,763,762,1525
東駒形四丁目,1438,1191,1247,2438
吾妻橋一丁目,1356,1028,1139,2167
吾妻橋二丁目,929,688,759,1447
吾妻橋三丁目,876,796,864,1660
錦糸一丁目,1404,1053,1053,2106
錦糸二丁目,468,372,308,680
錦糸三丁目,491,388,352,740
錦糸四丁目,1023,899,934,1833
太平一丁目,1908,1765,1780,3545
太平二丁目,948,788,662,1450
太平三丁目,879,697,691,1388
太平四丁目,2691,2370,2495,4865
横川一丁目,814,863,756,1619
横川二丁目,936,797,707,1504
横川三丁目,675,584,560,1144
横川四丁目,766,668,619,1287
横川五丁目,1455,1260,1632,2892
業平一丁目,1552,1441,1591,3032
業平二丁目,806,697,637,1334
業平三丁目,857,680,686,1366
業平四丁目,1202,923,1030,1953
業平五丁目,1172,1089,1197,2286
向島一丁目,1333,1088,1095,2183
向島二丁目,1577,1304,1424,2728
向島三丁目,2577,2228,2250,4478
向島四丁目,1355,1286,1341,2627
向島五丁目,2589,2203,2140,4343
東向島一丁目,1693,1559,1495,3054
東向島二丁目,2877,2453,2614,5067
東向島三丁目,1654,1657,1709,3366
東向島四丁目,1969,1729,1819,3548
東向島五丁目,2132,1848,2011,3859
東向島六丁目,2961,2712,2748,5460
堤通一丁目,1190,1207,1152,2359
堤通二丁目,2085,1889,2374,4263
墨田一丁目,1460,1520,1679,3199
墨田二丁目,2003,1933,1969,3902
墨田三丁目,2042,1857,1851,3708
墨田四丁目,2461,2357,2446,4803
墨田五丁目,1584,1433,1435,2868
押上一丁目,1355,1061,1169,2230
押上二丁目,2020,1798,1955,3753
押上三丁目,2322,2199,2173,4372
京島一丁目,3633,3413,3700,7113
京島二丁目,991,947,851,1798
京島三丁目,2347,2173,2068,4241
文花一丁目,2986,2576,3121,5697
文花二丁目,1307,1161,1232,2393
文花三丁目,1212,1374,1338,2712
八広一丁目,1836,1725,1661,3386
八広二丁目,2112,2089,2065,4154
八広三丁目,1870,1856,1722,3578
八広四丁目,2165,2156,2129,4285
八広五丁目,1605,1471,1487,2958
八広六丁目,2101,2069,1975,4044
立花一丁目,3479,3076,3280,6356
立花二丁目,887,786,767,1553
立花三丁目,1626,1483,1523,3006
立花四丁目,1873,1863,1816,3679
立花五丁目,1887,2123,2076,4199
立花六丁目,1187,1122,1249,2371
東墨田一丁目,81,89,60,149
東墨田二丁目,743,709,646,1355
東墨田三丁目,399,427,396,823
