町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,916,708,731,1439
両国二丁目,1243,1012,995,2007
両国三丁目,1202,872,966,1838
両国四丁目,1196,949,957,1906
千歳一丁目,880,751,759,1510
千歳二丁目,596,522,457,979
千歳三丁目,1249,1003,1039,2042
緑一丁目,1695,1484,1356,2840
緑二丁目,1712,1616,1700,3316
緑三丁目,1408,1327,1212,2539
緑四丁目,2430,2073,1922,3995
立川一丁目,807,599,620,1219
立川二丁目,851,694,666,1360
立川三丁目,986,825,842,1667
立川四丁目,879,715,635,1350
菊川一丁目,827,744,801,1545
菊川二丁目,1348,1060,1152,2212
菊川三丁目,2084,1783,1909,3692
江東橋一丁目,932,714,733,1447
江東橋二丁目,1367,1145,1093,2238
江東橋三丁目,576,403,341,744
江東橋四丁目,1745,1230,1363,2593
江東橋五丁目,1654,1484,1517,3001
横網一丁目,133,156,146,302
横網二丁目,730,604,599,1203
亀沢一丁目,1212,1040,1050,2090
亀沢二丁目,921,809,922,1731
亀沢三丁目,974,998,912,1910
亀沢四丁目,1405,1256,1237,2493
石原一丁目,1495,1233,1268,2501
石原二丁目,1296,1178,1158,2336
石原三丁目,1627,1507,1298,2805
石原四丁目,1434,1357,1281,2638
本所一丁目,1588,1473,1457,2930
本所二丁目,898,812,842,1654
本所三丁目,1029,910,946,1856
本所四丁目,1231,1141,1103,2244
東駒形一丁目,767,616,622,1238
東駒形二丁目,866,791,774,1565
東駒形三丁目,850,745,734,1479
東駒形四丁目,1394,1222,1198,2420
吾妻橋一丁目,1280,1002,1072,2074
吾妻橋二丁目,858,672,690,1362
吾妻橋三丁目,848,797,840,1637
錦糸一丁目,1305,978,977,1955
錦糸二丁目,448,360,321,681
錦糸三丁目,471,376,365,741
錦糸四丁目,992,880,916,1796
太平一丁目,1809,1716,1720,3436
太平二丁目,958,784,702,1486
太平三丁目,790,644,633,1277
太平四丁目,2594,2327,2487,4814
横川一丁目,761,830,718,1548
横川二丁目,878,755,655,1410
横川三丁目,645,588,542,1130
横川四丁目,771,678,631,1309
横川五丁目,1369,1222,1551,2773
業平一丁目,1500,1401,1554,2955
業平二丁目,819,694,648,1342
業平三丁目,867,671,692,1363
業平四丁目,1119,909,984,1893
業平五丁目,1163,1084,1199,2283
向島一丁目,1254,1089,1040,2129
向島二丁目,1386,1215,1270,2485
向島三丁目,2185,1944,1910,3854
向島四丁目,1302,1282,1321,2603
向島五丁目,2344,2065,2001,4066
東向島一丁目,1637,1510,1498,3008
東向島二丁目,2721,2418,2527,4945
東向島三丁目,1633,1601,1697,3298
東向島四丁目,1900,1709,1753,3462
東向島五丁目,2044,1842,1983,3825
東向島六丁目,2807,2664,2685,5349
堤通一丁目,1138,1250,1159,2409
堤通二丁目,2083,1941,2422,4363
墨田一丁目,1271,1403,1524,2927
墨田二丁目,2012,2012,1935,3947
墨田三丁目,1902,1850,1825,3675
墨田四丁目,2470,2348,2502,4850
墨田五丁目,1509,1434,1386,2820
押上一丁目,1289,1053,1155,2208
押上二丁目,2079,1886,2016,3902
押上三丁目,2240,2185,2058,4243
京島一丁目,3553,3363,3598,6961
京島二丁目,1004,970,861,1831
京島三丁目,2366,2207,2127,4334
文花一丁目,2934,2605,3172,5777
文花二丁目,1168,1106,1121,2227
文花三丁目,1190,1363,1369,2732
八広一丁目,1761,1718,1621,3339
八広二丁目,2031,2081,2037,4118
八広三丁目,1769,1741,1691,3432
八広四丁目,2019,2085,1991,4076
八広五丁目,1562,1469,1469,2938
八広六丁目,2004,2024,1927,3951
立花一丁目,3349,3031,3198,6229
立花二丁目,896,792,752,1544
立花三丁目,1415,1338,1372,2710
立花四丁目,1795,1862,1810,3672
立花五丁目,1834,2069,2012,4081
立花六丁目,1157,1134,1237,2371
東墨田一丁目,83,96,65,161
東墨田二丁目,677,663,602,1265
東墨田三丁目,406,433,389,822
