町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,908,704,726,1430
両国二丁目,1250,1024,998,2022
両国三丁目,1205,882,967,1849
両国四丁目,1188,938,955,1893
千歳一丁目,889,756,767,1523
千歳二丁目,589,518,452,970
千歳三丁目,1251,1011,1038,2049
緑一丁目,1694,1480,1351,2831
緑二丁目,1708,1606,1701,3307
緑三丁目,1425,1340,1227,2567
緑四丁目,2446,2061,1949,4010
立川一丁目,808,601,620,1221
立川二丁目,865,706,670,1376
立川三丁目,980,820,835,1655
立川四丁目,872,716,633,1349
菊川一丁目,832,742,804,1546
菊川二丁目,1343,1062,1154,2216
菊川三丁目,2075,1778,1900,3678
江東橋一丁目,934,715,734,1449
江東橋二丁目,1357,1142,1090,2232
江東橋三丁目,574,407,341,748
江東橋四丁目,1729,1227,1356,2583
江東橋五丁目,1651,1483,1514,2997
横網一丁目,136,160,148,308
横網二丁目,731,609,605,1214
亀沢一丁目,1225,1043,1060,2103
亀沢二丁目,929,818,922,1740
亀沢三丁目,979,1004,918,1922
亀沢四丁目,1405,1250,1244,2494
石原一丁目,1495,1231,1272,2503
石原二丁目,1282,1169,1143,2312
石原三丁目,1632,1505,1294,2799
石原四丁目,1437,1358,1286,2644
本所一丁目,1605,1487,1464,2951
本所二丁目,896,811,840,1651
本所三丁目,1034,912,951,1863
本所四丁目,1237,1134,1113,2247
東駒形一丁目,754,606,619,1225
東駒形二丁目,864,787,767,1554
東駒形三丁目,843,744,724,1468
東駒形四丁目,1392,1218,1197,2415
吾妻橋一丁目,1287,1009,1079,2088
吾妻橋二丁目,868,679,696,1375
吾妻橋三丁目,853,797,841,1638
錦糸一丁目,1311,977,978,1955
錦糸二丁目,445,361,322,683
錦糸三丁目,471,376,364,740
錦糸四丁目,991,879,914,1793
太平一丁目,1821,1722,1724,3446
太平二丁目,950,777,707,1484
太平三丁目,794,647,643,1290
太平四丁目,2607,2343,2493,4836
横川一丁目,761,830,722,1552
横川二丁目,879,758,658,1416
横川三丁目,645,588,541,1129
横川四丁目,772,684,628,1312
横川五丁目,1371,1219,1550,2769
業平一丁目,1501,1404,1561,2965
業平二丁目,803,684,644,1328
業平三丁目,869,674,687,1361
業平四丁目,1134,920,996,1916
業平五丁目,1165,1089,1200,2289
向島一丁目,1263,1089,1048,2137
向島二丁目,1384,1219,1270,2489
向島三丁目,2191,1949,1909,3858
向島四丁目,1304,1287,1326,2613
向島五丁目,2344,2063,2006,4069
東向島一丁目,1639,1518,1495,3013
東向島二丁目,2718,2411,2525,4936
東向島三丁目,1643,1619,1708,3327
東向島四丁目,1895,1708,1740,3448
東向島五丁目,2046,1848,1984,3832
東向島六丁目,2809,2659,2691,5350
堤通一丁目,1137,1253,1166,2419
堤通二丁目,2079,1946,2422,4368
墨田一丁目,1278,1410,1531,2941
墨田二丁目,2011,2013,1935,3948
墨田三丁目,1899,1847,1817,3664
墨田四丁目,2467,2354,2499,4853
墨田五丁目,1513,1433,1386,2819
押上一丁目,1294,1056,1169,2225
押上二丁目,2080,1881,2018,3899
押上三丁目,2245,2196,2073,4269
京島一丁目,3560,3367,3606,6973
京島二丁目,1001,966,861,1827
京島三丁目,2376,2209,2125,4334
文花一丁目,2938,2608,3174,5782
文花二丁目,1171,1106,1118,2224
文花三丁目,1185,1356,1359,2715
八広一丁目,1764,1720,1620,3340
八広二丁目,2028,2081,2038,4119
八広三丁目,1770,1738,1686,3424
八広四丁目,2042,2093,2018,4111
八広五丁目,1569,1470,1468,2938
八広六丁目,2000,2022,1929,3951
立花一丁目,3352,3033,3213,6246
立花二丁目,893,791,749,1540
立花三丁目,1419,1346,1382,2728
立花四丁目,1791,1857,1801,3658
立花五丁目,1845,2077,2016,4093
立花六丁目,1155,1130,1245,2375
東墨田一丁目,84,98,64,162
東墨田二丁目,678,666,604,1270
東墨田三丁目,408,434,391,825
