町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,984,743,758,1501
両国二丁目,1373,1078,1092,2170
両国三丁目,1305,954,1025,1979
両国四丁目,1360,1084,1054,2138
千歳一丁目,979,810,856,1666
千歳二丁目,630,554,496,1050
千歳三丁目,1437,1212,1188,2400
緑一丁目,1826,1545,1470,3015
緑二丁目,1806,1650,1735,3385
緑三丁目,1716,1475,1460,2935
緑四丁目,2820,2408,2255,4663
立川一丁目,890,637,696,1333
立川二丁目,878,721,678,1399
立川三丁目,1054,853,872,1725
立川四丁目,1048,796,812,1608
菊川一丁目,989,819,905,1724
菊川二丁目,1471,1089,1262,2351
菊川三丁目,2238,1897,1967,3864
江東橋一丁目,973,742,739,1481
江東橋二丁目,1434,1185,1142,2327
江東橋三丁目,632,466,327,793
江東橋四丁目,1790,1304,1297,2601
江東橋五丁目,1674,1494,1510,3004
横網一丁目,153,171,148,319
横網二丁目,714,597,606,1203
亀沢一丁目,1229,1045,1060,2105
亀沢二丁目,1062,900,1040,1940
亀沢三丁目,1046,1072,1031,2103
亀沢四丁目,1522,1357,1340,2697
石原一丁目,1573,1251,1293,2544
石原二丁目,1469,1290,1293,2583
石原三丁目,1735,1565,1399,2964
石原四丁目,1483,1350,1312,2662
本所一丁目,1610,1457,1467,2924
本所二丁目,913,783,850,1633
本所三丁目,1038,907,918,1825
本所四丁目,1410,1264,1203,2467
東駒形一丁目,858,666,687,1353
東駒形二丁目,867,767,771,1538
東駒形三丁目,938,771,764,1535
東駒形四丁目,1453,1187,1254,2441
吾妻橋一丁目,1365,1049,1162,2211
吾妻橋二丁目,912,678,744,1422
吾妻橋三丁目,883,808,863,1671
錦糸一丁目,1423,1058,1072,2130
錦糸二丁目,475,369,322,691
錦糸三丁目,490,384,359,743
錦糸四丁目,1020,892,930,1822
太平一丁目,1950,1807,1794,3601
太平二丁目,951,785,662,1447
太平三丁目,857,693,667,1360
太平四丁目,2672,2367,2489,4856
横川一丁目,822,858,760,1618
横川二丁目,940,798,713,1511
横川三丁目,665,583,563,1146
横川四丁目,768,667,615,1282
横川五丁目,1471,1249,1639,2888
業平一丁目,1560,1435,1597,3032
業平二丁目,840,725,630,1355
業平三丁目,868,697,684,1381
業平四丁目,1212,928,1052,1980
業平五丁目,1210,1101,1226,2327
向島一丁目,1378,1125,1131,2256
向島二丁目,1574,1295,1417,2712
向島三丁目,2583,2244,2238,4482
向島四丁目,1354,1274,1346,2620
向島五丁目,2584,2184,2149,4333
東向島一丁目,1774,1592,1564,3156
東向島二丁目,2889,2456,2639,5095
東向島三丁目,1660,1658,1701,3359
東向島四丁目,1994,1742,1824,3566
東向島五丁目,2139,1851,2004,3855
東向島六丁目,3027,2762,2789,5551
堤通一丁目,1126,1165,1114,2279
堤通二丁目,2104,1881,2394,4275
墨田一丁目,1477,1518,1690,3208
墨田二丁目,2036,1977,1956,3933
墨田三丁目,2040,1854,1853,3707
墨田四丁目,2459,2349,2429,4778
墨田五丁目,1569,1417,1419,2836
押上一丁目,1357,1061,1170,2231
押上二丁目,2029,1794,1952,3746
押上三丁目,2317,2190,2176,4366
京島一丁目,3620,3413,3711,7124
京島二丁目,984,947,853,1800
京島三丁目,2314,2147,2067,4214
文花一丁目,3026,2603,3135,5738
文花二丁目,1298,1142,1227,2369
文花三丁目,1203,1364,1322,2686
八広一丁目,1845,1732,1658,3390
八広二丁目,2138,2115,2064,4179
八広三丁目,1852,1848,1713,3561
八広四丁目,2261,2218,2167,4385
八広五丁目,1582,1451,1473,2924
八広六丁目,2104,2062,1993,4055
立花一丁目,3506,3084,3273,6357
立花二丁目,920,836,810,1646
立花三丁目,1643,1488,1551,3039
立花四丁目,1853,1857,1809,3666
立花五丁目,1874,2129,2082,4211
立花六丁目,1176,1114,1225,2339
東墨田一丁目,75,80,62,142
東墨田二丁目,745,702,649,1351
東墨田三丁目,397,422,398,820
