町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1012,751,773,1524
両国二丁目,1341,1069,1055,2124
両国三丁目,1236,914,978,1892
両国四丁目,1307,989,1027,2016
千歳一丁目,983,825,831,1656
千歳二丁目,583,511,461,972
千歳三丁目,1426,1193,1194,2387
緑一丁目,1772,1537,1412,2949
緑二丁目,1710,1598,1696,3294
緑三丁目,1541,1393,1336,2729
緑四丁目,2606,2242,2059,4301
立川一丁目,874,632,683,1315
立川二丁目,876,702,689,1391
立川三丁目,1004,824,834,1658
立川四丁目,940,756,718,1474
菊川一丁目,955,802,885,1687
菊川二丁目,1393,1081,1193,2274
菊川三丁目,2198,1868,1956,3824
江東橋一丁目,960,723,751,1474
江東橋二丁目,1440,1204,1121,2325
江東橋三丁目,594,433,313,746
江東橋四丁目,1788,1252,1381,2633
江東橋五丁目,1675,1510,1539,3049
横網一丁目,140,165,149,314
横網二丁目,736,619,616,1235
亀沢一丁目,1240,1062,1075,2137
亀沢二丁目,1002,853,1004,1857
亀沢三丁目,1009,1046,990,2036
亀沢四丁目,1499,1317,1300,2617
石原一丁目,1555,1260,1271,2531
石原二丁目,1423,1277,1252,2529
石原三丁目,1664,1515,1346,2861
石原四丁目,1472,1366,1300,2666
本所一丁目,1640,1511,1483,2994
本所二丁目,924,811,851,1662
本所三丁目,1033,914,930,1844
本所四丁目,1347,1225,1148,2373
東駒形一丁目,780,623,618,1241
東駒形二丁目,861,773,778,1551
東駒形三丁目,881,745,749,1494
東駒形四丁目,1428,1206,1243,2449
吾妻橋一丁目,1303,1012,1097,2109
吾妻橋二丁目,909,688,745,1433
吾妻橋三丁目,883,805,875,1680
錦糸一丁目,1379,1031,1028,2059
錦糸二丁目,462,359,315,674
錦糸三丁目,465,369,343,712
錦糸四丁目,1002,881,936,1817
太平一丁目,1843,1733,1734,3467
太平二丁目,930,761,674,1435
太平三丁目,827,665,664,1329
太平四丁目,2674,2382,2480,4862
横川一丁目,797,856,741,1597
横川二丁目,897,777,674,1451
横川三丁目,680,591,566,1157
横川四丁目,773,684,616,1300
横川五丁目,1464,1280,1657,2937
業平一丁目,1512,1422,1572,2994
業平二丁目,827,703,663,1366
業平三丁目,869,679,690,1369
業平四丁目,1184,927,1034,1961
業平五丁目,1151,1082,1175,2257
向島一丁目,1320,1098,1089,2187
向島二丁目,1503,1282,1361,2643
向島三丁目,2508,2157,2187,4344
向島四丁目,1323,1270,1325,2595
向島五丁目,2549,2172,2128,4300
東向島一丁目,1628,1525,1455,2980
東向島二丁目,2851,2461,2614,5075
東向島三丁目,1632,1651,1704,3355
東向島四丁目,1923,1708,1772,3480
東向島五丁目,2137,1860,2016,3876
東向島六丁目,2915,2689,2727,5416
堤通一丁目,1164,1210,1140,2350
堤通二丁目,2090,1923,2402,4325
墨田一丁目,1443,1514,1679,3193
墨田二丁目,2024,1992,1955,3947
墨田三丁目,1945,1832,1806,3638
墨田四丁目,2455,2351,2460,4811
墨田五丁目,1548,1411,1397,2808
押上一丁目,1333,1068,1142,2210
押上二丁目,2058,1828,1994,3822
押上三丁目,2306,2221,2128,4349
京島一丁目,3621,3398,3695,7093
京島二丁目,1003,965,854,1819
京島三丁目,2320,2168,2058,4226
文花一丁目,2937,2580,3118,5698
文花二丁目,1284,1153,1217,2370
文花三丁目,1194,1358,1330,2688
八広一丁目,1847,1745,1645,3390
八広二丁目,2079,2085,2076,4161
八広三丁目,1865,1852,1742,3594
八広四丁目,2136,2138,2104,4242
八広五丁目,1577,1451,1483,2934
八広六丁目,2086,2063,1971,4034
立花一丁目,3463,3085,3256,6341
立花二丁目,891,776,771,1547
立花三丁目,1576,1447,1494,2941
立花四丁目,1884,1859,1862,3721
立花五丁目,1864,2111,2037,4148
立花六丁目,1189,1144,1255,2399
東墨田一丁目,82,91,60,151
東墨田二丁目,737,713,648,1361
東墨田三丁目,413,445,400,845
