町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1077,815,818,1633
両国二丁目,1332,1018,1063,2081
両国三丁目,1337,982,985,1967
両国四丁目,1361,1087,1079,2166
千歳一丁目,1028,822,860,1682
千歳二丁目,675,554,536,1090
千歳三丁目,1509,1233,1221,2454
緑一丁目,2066,1704,1623,3327
緑二丁目,1844,1669,1762,3431
緑三丁目,1768,1523,1519,3042
緑四丁目,2990,2503,2296,4799
立川一丁目,928,641,717,1358
立川二丁目,930,726,734,1460
立川三丁目,1115,864,930,1794
立川四丁目,1077,805,811,1616
菊川一丁目,1136,878,986,1864
菊川二丁目,1502,1115,1254,2369
菊川三丁目,2257,1889,1983,3872
江東橋一丁目,1031,773,755,1528
江東橋二丁目,1473,1200,1133,2333
江東橋三丁目,607,454,307,761
江東橋四丁目,1769,1264,1281,2545
江東橋五丁目,1745,1493,1556,3049
横網一丁目,137,154,151,305
横網二丁目,719,588,605,1193
亀沢一丁目,1259,1017,1081,2098
亀沢二丁目,1032,872,1019,1891
亀沢三丁目,1158,1121,1091,2212
亀沢四丁目,1658,1442,1422,2864
石原一丁目,1662,1301,1337,2638
石原二丁目,1466,1255,1297,2552
石原三丁目,1733,1538,1382,2920
石原四丁目,1631,1474,1466,2940
本所一丁目,1729,1471,1563,3034
本所二丁目,946,780,841,1621
本所三丁目,1076,895,947,1842
本所四丁目,1566,1307,1306,2613
東駒形一丁目,896,664,701,1365
東駒形二丁目,845,761,747,1508
東駒形三丁目,983,788,779,1567
東駒形四丁目,1533,1218,1291,2509
吾妻橋一丁目,1362,1043,1117,2160
吾妻橋二丁目,955,698,751,1449
吾妻橋三丁目,879,793,844,1637
錦糸一丁目,1429,1067,1010,2077
錦糸二丁目,453,341,318,659
錦糸三丁目,490,379,339,718
錦糸四丁目,1014,888,902,1790
太平一丁目,2007,1848,1802,3650
太平二丁目,932,755,645,1400
太平三丁目,901,706,700,1406
太平四丁目,2682,2339,2388,4727
横川一丁目,831,842,752,1594
横川二丁目,994,821,721,1542
横川三丁目,730,623,570,1193
横川四丁目,751,636,594,1230
横川五丁目,1455,1226,1599,2825
業平一丁目,1581,1396,1566,2962
業平二丁目,805,670,616,1286
業平三丁目,859,670,685,1355
業平四丁目,1272,964,1012,1976
業平五丁目,1212,1065,1222,2287
向島一丁目,1447,1159,1187,2346
向島二丁目,1565,1265,1403,2668
向島三丁目,2742,2315,2335,4650
向島四丁目,1353,1267,1335,2602
向島五丁目,2618,2156,2166,4322
東向島一丁目,1790,1601,1549,3150
東向島二丁目,2851,2378,2610,4988
東向島三丁目,1788,1671,1800,3471
東向島四丁目,2070,1760,1813,3573
東向島五丁目,2201,1851,2015,3866
東向島六丁目,3047,2755,2774,5529
堤通一丁目,1100,1149,1151,2300
堤通二丁目,2067,1779,2315,4094
墨田一丁目,1437,1502,1667,3169
墨田二丁目,2054,1953,1944,3897
墨田三丁目,2030,1824,1837,3661
墨田四丁目,2465,2325,2414,4739
墨田五丁目,1556,1389,1400,2789
押上一丁目,1389,1084,1160,2244
押上二丁目,2011,1745,1879,3624
押上三丁目,2338,2178,2191,4369
京島一丁目,3607,3386,3725,7111
京島二丁目,995,949,823,1772
京島三丁目,2298,2139,2049,4188
文花一丁目,2977,2506,3021,5527
文花二丁目,1317,1142,1232,2374
文花三丁目,1220,1333,1342,2675
八広一丁目,1921,1775,1677,3452
八広二丁目,2356,2257,2147,4404
八広三丁目,1883,1804,1737,3541
八広四丁目,2442,2314,2235,4549
八広五丁目,1632,1464,1491,2955
八広六丁目,2127,2088,2001,4089
立花一丁目,3436,2937,3165,6102
立花二丁目,875,805,788,1593
立花三丁目,1673,1476,1523,2999
立花四丁目,1922,1852,1822,3674
立花五丁目,2010,2211,2179,4390
立花六丁目,1186,1087,1229,2316
東墨田一丁目,73,75,64,139
東墨田二丁目,819,729,701,1430
東墨田三丁目,396,411,397,808
