町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,948,723,753,1476
両国二丁目,1277,1028,1025,2053
両国三丁目,1185,859,953,1812
両国四丁目,1226,960,967,1927
千歳一丁目,910,766,772,1538
千歳二丁目,576,497,454,951
千歳三丁目,1248,1014,1023,2037
緑一丁目,1700,1475,1362,2837
緑二丁目,1714,1608,1694,3302
緑三丁目,1518,1383,1282,2665
緑四丁目,2506,2135,2009,4144
立川一丁目,825,605,634,1239
立川二丁目,852,697,651,1348
立川三丁目,1004,838,844,1682
立川四丁目,895,739,668,1407
菊川一丁目,866,768,829,1597
菊川二丁目,1337,1070,1150,2220
菊川三丁目,2116,1788,1932,3720
江東橋一丁目,948,724,747,1471
江東橋二丁目,1385,1168,1091,2259
江東橋三丁目,568,414,320,734
江東橋四丁目,1760,1258,1376,2634
江東橋五丁目,1677,1503,1521,3024
横網一丁目,140,165,150,315
横網二丁目,736,622,607,1229
亀沢一丁目,1237,1045,1072,2117
亀沢二丁目,950,833,942,1775
亀沢三丁目,976,996,932,1928
亀沢四丁目,1432,1273,1271,2544
石原一丁目,1496,1235,1260,2495
石原二丁目,1313,1177,1157,2334
石原三丁目,1623,1484,1303,2787
石原四丁目,1447,1359,1289,2648
本所一丁目,1621,1489,1481,2970
本所二丁目,899,807,840,1647
本所三丁目,1021,918,924,1842
本所四丁目,1271,1156,1134,2290
東駒形一丁目,740,606,605,1211
東駒形二丁目,859,779,759,1538
東駒形三丁目,853,744,728,1472
東駒形四丁目,1380,1206,1198,2404
吾妻橋一丁目,1286,1006,1092,2098
吾妻橋二丁目,872,686,706,1392
吾妻橋三丁目,854,798,841,1639
錦糸一丁目,1322,989,991,1980
錦糸二丁目,444,362,316,678
錦糸三丁目,458,373,347,720
錦糸四丁目,983,862,916,1778
太平一丁目,1818,1732,1722,3454
太平二丁目,943,768,704,1472
太平三丁目,783,632,638,1270
太平四丁目,2611,2341,2485,4826
横川一丁目,751,816,711,1527
横川二丁目,878,765,659,1424
横川三丁目,640,576,543,1119
横川四丁目,775,693,619,1312
横川五丁目,1366,1206,1548,2754
業平一丁目,1496,1402,1563,2965
業平二丁目,811,685,656,1341
業平三丁目,868,668,688,1356
業平四丁目,1150,925,1011,1936
業平五丁目,1151,1074,1168,2242
向島一丁目,1273,1088,1073,2161
向島二丁目,1385,1210,1276,2486
向島三丁目,2274,1991,1978,3969
向島四丁目,1305,1281,1318,2599
向島五丁目,2391,2066,2034,4100
東向島一丁目,1640,1524,1494,3018
東向島二丁目,2716,2400,2513,4913
東向島三丁目,1642,1620,1712,3332
東向島四丁目,1909,1711,1764,3475
東向島五丁目,2078,1852,1992,3844
東向島六丁目,2826,2658,2698,5356
堤通一丁目,1148,1225,1161,2386
堤通二丁目,2073,1925,2396,4321
墨田一丁目,1282,1400,1514,2914
墨田二丁目,2028,2013,1955,3968
墨田三丁目,1920,1839,1827,3666
墨田四丁目,2470,2355,2500,4855
墨田五丁目,1516,1428,1382,2810
押上一丁目,1320,1079,1168,2247
押上二丁目,2068,1855,2018,3873
押上三丁目,2262,2208,2077,4285
京島一丁目,3583,3382,3637,7019
京島二丁目,980,953,846,1799
京島三丁目,2378,2206,2117,4323
文花一丁目,2946,2610,3167,5777
文花二丁目,1208,1112,1156,2268
文花三丁目,1180,1352,1340,2692
八広一丁目,1782,1718,1635,3353
八広二丁目,2030,2080,2036,4116
八広三丁目,1795,1769,1694,3463
八広四丁目,2073,2106,2056,4162
八広五丁目,1576,1474,1460,2934
八広六丁目,2043,2036,1942,3978
立花一丁目,3346,3025,3207,6232
立花二丁目,884,779,752,1531
立花三丁目,1445,1360,1392,2752
立花四丁目,1805,1843,1822,3665
立花五丁目,1852,2098,2031,4129
立花六丁目,1169,1138,1246,2384
東墨田一丁目,85,99,63,162
東墨田二丁目,710,696,620,1316
東墨田三丁目,397,429,388,817
