町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1072,816,812,1628
両国二丁目,1339,1036,1058,2094
両国三丁目,1337,986,1006,1992
両国四丁目,1355,1079,1051,2130
千歳一丁目,977,799,850,1649
千歳二丁目,644,539,516,1055
千歳三丁目,1504,1255,1212,2467
緑一丁目,2019,1683,1585,3268
緑二丁目,1781,1647,1716,3363
緑三丁目,1674,1456,1476,2932
緑四丁目,2932,2461,2301,4762
立川一丁目,890,635,697,1332
立川二丁目,900,722,699,1421
立川三丁目,1102,884,919,1803
立川四丁目,1049,790,805,1595
菊川一丁目,1075,865,948,1813
菊川二丁目,1472,1097,1257,2354
菊川三丁目,2221,1867,1978,3845
江東橋一丁目,1014,770,756,1526
江東橋二丁目,1428,1161,1121,2282
江東橋三丁目,614,451,316,767
江東橋四丁目,1738,1250,1269,2519
江東橋五丁目,1718,1499,1530,3029
横網一丁目,140,160,148,308
横網二丁目,695,587,589,1176
亀沢一丁目,1238,1036,1068,2104
亀沢二丁目,1045,891,1032,1923
亀沢三丁目,1052,1073,1046,2119
亀沢四丁目,1509,1350,1353,2703
石原一丁目,1647,1287,1331,2618
石原二丁目,1458,1264,1288,2552
石原三丁目,1737,1543,1408,2951
石原四丁目,1605,1466,1453,2919
本所一丁目,1638,1437,1480,2917
本所二丁目,932,779,854,1633
本所三丁目,1067,883,939,1822
本所四丁目,1493,1265,1253,2518
東駒形一丁目,885,684,699,1383
東駒形二丁目,861,753,777,1530
東駒形三丁目,958,772,776,1548
東駒形四丁目,1463,1184,1253,2437
吾妻橋一丁目,1342,1044,1109,2153
吾妻橋二丁目,920,691,753,1444
吾妻橋三丁目,871,794,842,1636
錦糸一丁目,1439,1066,1046,2112
錦糸二丁目,473,358,330,688
錦糸三丁目,471,379,324,703
錦糸四丁目,1020,905,914,1819
太平一丁目,2003,1839,1827,3666
太平二丁目,954,766,661,1427
太平三丁目,899,718,690,1408
太平四丁目,2667,2345,2443,4788
横川一丁目,819,841,771,1612
横川二丁目,972,823,722,1545
横川三丁目,714,611,589,1200
横川四丁目,770,654,604,1258
横川五丁目,1457,1238,1622,2860
業平一丁目,1579,1389,1601,2990
業平二丁目,813,682,612,1294
業平三丁目,866,668,703,1371
業平四丁目,1237,928,1023,1951
業平五丁目,1220,1110,1226,2336
向島一丁目,1452,1183,1190,2373
向島二丁目,1574,1286,1416,2702
向島三丁目,2732,2338,2334,4672
向島四丁目,1340,1256,1332,2588
向島五丁目,2610,2170,2163,4333
東向島一丁目,1783,1601,1557,3158
東向島二丁目,2855,2408,2618,5026
東向島三丁目,1746,1690,1766,3456
東向島四丁目,1992,1724,1767,3491
東向島五丁目,2207,1878,2038,3916
東向島六丁目,2994,2741,2758,5499
堤通一丁目,1143,1199,1106,2305
堤通二丁目,2092,1835,2381,4216
墨田一丁目,1444,1490,1667,3157
墨田二丁目,2058,1959,1948,3907
墨田三丁目,2039,1853,1859,3712
墨田四丁目,2461,2340,2427,4767
墨田五丁目,1553,1393,1399,2792
押上一丁目,1303,1027,1122,2149
押上二丁目,2010,1766,1908,3674
押上三丁目,2361,2203,2210,4413
京島一丁目,3621,3406,3713,7119
京島二丁目,1000,958,835,1793
京島三丁目,2304,2130,2066,4196
文花一丁目,2997,2565,3067,5632
文花二丁目,1331,1169,1253,2422
文花三丁目,1190,1323,1299,2622
八広一丁目,1879,1756,1652,3408
八広二丁目,2239,2183,2082,4265
八広三丁目,1853,1819,1724,3543
八広四丁目,2387,2283,2255,4538
八広五丁目,1619,1445,1486,2931
八広六丁目,2113,2072,2004,4076
立花一丁目,3474,3008,3193,6201
立花二丁目,890,809,804,1613
立花三丁目,1636,1499,1495,2994
立花四丁目,1864,1847,1789,3636
立花五丁目,2040,2242,2184,4426
立花六丁目,1209,1108,1255,2363
東墨田一丁目,85,88,64,152
東墨田二丁目,780,716,672,1388
東墨田三丁目,404,424,396,820
