町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1001,747,771,1518
両国二丁目,1337,1061,1068,2129
両国三丁目,1190,889,952,1841
両国四丁目,1251,960,996,1956
千歳一丁目,956,813,802,1615
千歳二丁目,566,501,460,961
千歳三丁目,1380,1166,1175,2341
緑一丁目,1779,1529,1422,2951
緑二丁目,1692,1587,1667,3254
緑三丁目,1542,1393,1316,2709
緑四丁目,2562,2189,2080,4269
立川一丁目,873,629,689,1318
立川二丁目,853,683,669,1352
立川三丁目,1012,840,850,1690
立川四丁目,909,738,685,1423
菊川一丁目,891,779,843,1622
菊川二丁目,1323,1045,1143,2188
菊川三丁目,2187,1836,1980,3816
江東橋一丁目,942,716,744,1460
江東橋二丁目,1376,1163,1092,2255
江東橋三丁目,576,428,314,742
江東橋四丁目,1759,1244,1395,2639
江東橋五丁目,1662,1511,1513,3024
横網一丁目,136,158,143,301
横網二丁目,713,603,598,1201
亀沢一丁目,1230,1058,1071,2129
亀沢二丁目,962,846,958,1804
亀沢三丁目,1010,1036,982,2018
亀沢四丁目,1474,1314,1283,2597
石原一丁目,1524,1249,1251,2500
石原二丁目,1398,1249,1229,2478
石原三丁目,1655,1524,1336,2860
石原四丁目,1457,1358,1299,2657
本所一丁目,1637,1509,1483,2992
本所二丁目,917,807,849,1656
本所三丁目,1052,931,940,1871
本所四丁目,1322,1195,1143,2338
東駒形一丁目,763,611,613,1224
東駒形二丁目,853,769,779,1548
東駒形三丁目,856,728,751,1479
東駒形四丁目,1379,1197,1189,2386
吾妻橋一丁目,1305,1008,1109,2117
吾妻橋二丁目,870,676,704,1380
吾妻橋三丁目,875,807,858,1665
錦糸一丁目,1342,1024,1000,2024
錦糸二丁目,459,361,314,675
錦糸三丁目,466,386,341,727
錦糸四丁目,999,885,921,1806
太平一丁目,1817,1731,1718,3449
太平二丁目,926,756,676,1432
太平三丁目,795,649,641,1290
太平四丁目,2624,2352,2470,4822
横川一丁目,761,826,724,1550
横川二丁目,874,768,652,1420
横川三丁目,658,582,555,1137
横川四丁目,761,687,602,1289
横川五丁目,1434,1259,1610,2869
業平一丁目,1484,1406,1550,2956
業平二丁目,825,696,668,1364
業平三丁目,863,660,684,1344
業平四丁目,1166,915,1031,1946
業平五丁目,1177,1101,1177,2278
向島一丁目,1278,1085,1064,2149
向島二丁目,1455,1247,1319,2566
向島三丁目,2427,2095,2132,4227
向島四丁目,1302,1264,1321,2585
向島五丁目,2463,2116,2071,4187
東向島一丁目,1639,1528,1479,3007
東向島二丁目,2764,2441,2550,4991
東向島三丁目,1626,1632,1696,3328
東向島四丁目,1908,1692,1771,3463
東向島五丁目,2093,1859,1981,3840
東向島六丁目,2847,2673,2702,5375
堤通一丁目,1163,1202,1150,2352
堤通二丁目,2078,1927,2404,4331
墨田一丁目,1387,1490,1626,3116
墨田二丁目,2017,2003,1960,3963
墨田三丁目,1915,1816,1789,3605
墨田四丁目,2452,2347,2472,4819
墨田五丁目,1536,1409,1395,2804
押上一丁目,1314,1046,1145,2191
押上二丁目,2063,1850,1998,3848
押上三丁目,2273,2205,2101,4306
京島一丁目,3595,3374,3688,7062
京島二丁目,1008,962,859,1821
京島三丁目,2337,2194,2074,4268
文花一丁目,2971,2605,3169,5774
文花二丁目,1219,1118,1181,2299
文花三丁目,1196,1366,1342,2708
八広一丁目,1777,1712,1623,3335
八広二丁目,2095,2116,2078,4194
八広三丁目,1861,1851,1731,3582
八広四丁目,2107,2119,2084,4203
八広五丁目,1560,1450,1475,2925
八広六丁目,2054,2063,1945,4008
立花一丁目,3401,3055,3240,6295
立花二丁目,897,783,759,1542
立花三丁目,1498,1392,1414,2806
立花四丁目,1865,1863,1861,3724
立花五丁目,1849,2096,2023,4119
立花六丁目,1189,1149,1250,2399
東墨田一丁目,80,92,61,153
東墨田二丁目,735,718,642,1360
東墨田三丁目,413,449,389,838
