町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1014,752,778,1530
両国二丁目,1350,1072,1072,2144
両国三丁目,1247,918,989,1907
両国四丁目,1291,993,999,1992
千歳一丁目,985,829,836,1665
千歳二丁目,603,528,479,1007
千歳三丁目,1425,1178,1195,2373
緑一丁目,1803,1553,1416,2969
緑二丁目,1735,1605,1696,3301
緑三丁目,1573,1421,1343,2764
緑四丁目,2597,2220,2075,4295
立川一丁目,872,632,678,1310
立川二丁目,874,698,682,1380
立川三丁目,998,818,847,1665
立川四丁目,947,752,723,1475
菊川一丁目,958,804,879,1683
菊川二丁目,1406,1080,1199,2279
菊川三丁目,2223,1882,1989,3871
江東橋一丁目,965,731,750,1481
江東橋二丁目,1417,1190,1111,2301
江東橋三丁目,610,439,322,761
江東橋四丁目,1758,1243,1349,2592
江東橋五丁目,1660,1495,1529,3024
横網一丁目,142,166,147,313
横網二丁目,726,620,608,1228
亀沢一丁目,1247,1071,1074,2145
亀沢二丁目,1011,860,1004,1864
亀沢三丁目,1039,1074,1019,2093
亀沢四丁目,1499,1332,1306,2638
石原一丁目,1571,1250,1279,2529
石原二丁目,1435,1276,1269,2545
石原三丁目,1692,1536,1367,2903
石原四丁目,1483,1362,1306,2668
本所一丁目,1640,1517,1474,2991
本所二丁目,923,804,848,1652
本所三丁目,1035,919,926,1845
本所四丁目,1323,1208,1135,2343
東駒形一丁目,787,630,621,1251
東駒形二丁目,851,762,774,1536
東駒形三丁目,893,755,748,1503
東駒形四丁目,1419,1206,1241,2447
吾妻橋一丁目,1326,1017,1119,2136
吾妻橋二丁目,920,687,754,1441
吾妻橋三丁目,881,799,868,1667
錦糸一丁目,1396,1048,1039,2087
錦糸二丁目,468,370,314,684
錦糸三丁目,465,369,342,711
錦糸四丁目,1007,883,932,1815
太平一丁目,1852,1733,1756,3489
太平二丁目,931,759,667,1426
太平三丁目,851,675,680,1355
太平四丁目,2665,2376,2466,4842
横川一丁目,800,859,749,1608
横川二丁目,919,780,689,1469
横川三丁目,671,579,571,1150
横川四丁目,777,676,624,1300
横川五丁目,1454,1275,1648,2923
業平一丁目,1518,1420,1578,2998
業平二丁目,826,710,652,1362
業平三丁目,864,683,687,1370
業平四丁目,1172,909,1025,1934
業平五丁目,1159,1084,1188,2272
向島一丁目,1333,1094,1103,2197
向島二丁目,1555,1303,1400,2703
向島三丁目,2512,2178,2201,4379
向島四丁目,1329,1271,1306,2577
向島五丁目,2576,2193,2138,4331
東向島一丁目,1634,1528,1444,2972
東向島二丁目,2855,2470,2610,5080
東向島三丁目,1649,1656,1713,3369
東向島四丁目,1902,1696,1776,3472
東向島五丁目,2127,1859,2011,3870
東向島六丁目,2990,2751,2751,5502
堤通一丁目,1144,1194,1135,2329
堤通二丁目,2081,1914,2378,4292
墨田一丁目,1445,1509,1667,3176
墨田二丁目,1988,1939,1961,3900
墨田三丁目,1994,1849,1839,3688
墨田四丁目,2445,2341,2449,4790
墨田五丁目,1549,1399,1404,2803
押上一丁目,1313,1039,1151,2190
押上二丁目,2043,1817,1978,3795
押上三丁目,2311,2207,2147,4354
京島一丁目,3602,3384,3677,7061
京島二丁目,994,957,852,1809
京島三丁目,2312,2148,2058,4206
文花一丁目,2943,2585,3118,5703
文花二丁目,1293,1164,1217,2381
文花三丁目,1199,1370,1332,2702
八広一丁目,1824,1715,1643,3358
八広二丁目,2082,2073,2068,4141
八広三丁目,1865,1855,1738,3593
八広四丁目,2131,2131,2113,4244
八広五丁目,1577,1445,1493,2938
八広六丁目,2077,2054,1974,4028
立花一丁目,3439,3053,3260,6313
立花二丁目,906,794,765,1559
立花三丁目,1632,1494,1527,3021
立花四丁目,1875,1851,1833,3684
立花五丁目,1876,2133,2061,4194
立花六丁目,1179,1131,1241,2372
東墨田一丁目,78,88,59,147
東墨田二丁目,737,717,642,1359
東墨田三丁目,408,435,400,835
