町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1089,828,822,1650
両国二丁目,1349,1038,1066,2104
両国三丁目,1334,972,1004,1976
両国四丁目,1359,1077,1058,2135
千歳一丁目,988,805,850,1655
千歳二丁目,645,537,517,1054
千歳三丁目,1509,1255,1204,2459
緑一丁目,2057,1698,1610,3308
緑二丁目,1796,1657,1710,3367
緑三丁目,1682,1455,1477,2932
緑四丁目,2955,2480,2307,4787
立川一丁目,907,640,704,1344
立川二丁目,903,718,699,1417
立川三丁目,1106,877,927,1804
立川四丁目,1068,801,810,1611
菊川一丁目,1102,874,961,1835
菊川二丁目,1490,1106,1267,2373
菊川三丁目,2234,1869,1982,3851
江東橋一丁目,1026,771,758,1529
江東橋二丁目,1446,1161,1115,2276
江東橋三丁目,620,451,324,775
江東橋四丁目,1746,1244,1280,2524
江東橋五丁目,1744,1513,1547,3060
横網一丁目,145,163,150,313
横網二丁目,701,588,585,1173
亀沢一丁目,1237,1022,1059,2081
亀沢二丁目,1049,893,1028,1921
亀沢三丁目,1110,1100,1073,2173
亀沢四丁目,1507,1340,1348,2688
石原一丁目,1663,1293,1341,2634
石原二丁目,1464,1264,1286,2550
石原三丁目,1752,1552,1409,2961
石原四丁目,1641,1493,1474,2967
本所一丁目,1647,1449,1486,2935
本所二丁目,939,780,856,1636
本所三丁目,1067,883,939,1822
本所四丁目,1505,1271,1261,2532
東駒形一丁目,902,687,709,1396
東駒形二丁目,868,755,779,1534
東駒形三丁目,971,782,780,1562
東駒形四丁目,1481,1190,1254,2444
吾妻橋一丁目,1355,1046,1118,2164
吾妻橋二丁目,943,704,761,1465
吾妻橋三丁目,870,792,845,1637
錦糸一丁目,1452,1072,1037,2109
錦糸二丁目,470,356,336,692
錦糸三丁目,475,383,319,702
錦糸四丁目,1017,903,910,1813
太平一丁目,1995,1834,1817,3651
太平二丁目,952,765,662,1427
太平三丁目,914,723,696,1419
太平四丁目,2688,2358,2446,4804
横川一丁目,829,845,765,1610
横川二丁目,982,830,727,1557
横川三丁目,718,613,584,1197
横川四丁目,775,660,607,1267
横川五丁目,1456,1239,1619,2858
業平一丁目,1572,1385,1596,2981
業平二丁目,821,687,616,1303
業平三丁目,879,675,703,1378
業平四丁目,1255,947,1027,1974
業平五丁目,1222,1103,1225,2328
向島一丁目,1451,1183,1194,2377
向島二丁目,1573,1292,1413,2705
向島三丁目,2761,2348,2357,4705
向島四丁目,1341,1254,1336,2590
向島五丁目,2621,2165,2162,4327
東向島一丁目,1800,1601,1569,3170
東向島二丁目,2856,2403,2620,5023
東向島三丁目,1728,1668,1753,3421
東向島四丁目,2005,1724,1775,3499
東向島五丁目,2209,1875,2045,3920
東向島六丁目,3021,2746,2770,5516
堤通一丁目,1135,1196,1115,2311
堤通二丁目,2088,1825,2371,4196
墨田一丁目,1429,1476,1647,3123
墨田二丁目,2061,1963,1952,3915
墨田三丁目,2050,1848,1864,3712
墨田四丁目,2456,2335,2419,4754
墨田五丁目,1559,1399,1399,2798
押上一丁目,1317,1037,1133,2170
押上二丁目,2007,1753,1911,3664
押上三丁目,2362,2192,2218,4410
京島一丁目,3615,3389,3706,7095
京島二丁目,1002,958,838,1796
京島三丁目,2303,2126,2057,4183
文花一丁目,2992,2557,3060,5617
文花二丁目,1331,1165,1250,2415
文花三丁目,1199,1332,1311,2643
八広一丁目,1888,1758,1651,3409
八広二丁目,2251,2174,2094,4268
八広三丁目,1859,1822,1726,3548
八広四丁目,2428,2305,2277,4582
八広五丁目,1625,1449,1480,2929
八広六丁目,2140,2096,2023,4119
立花一丁目,3461,2989,3187,6176
立花二丁目,882,802,803,1605
立花三丁目,1642,1499,1488,2987
立花四丁目,1892,1859,1803,3662
立花五丁目,2051,2250,2185,4435
立花六丁目,1206,1110,1244,2354
東墨田一丁目,85,88,64,152
東墨田二丁目,785,718,677,1395
東墨田三丁目,398,420,395,815
