町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1085,827,821,1648
両国二丁目,1356,1043,1066,2109
両国三丁目,1331,967,1000,1967
両国四丁目,1365,1083,1071,2154
千歳一丁目,989,805,851,1656
千歳二丁目,650,535,520,1055
千歳三丁目,1517,1253,1209,2462
緑一丁目,2055,1700,1611,3311
緑二丁目,1804,1665,1714,3379
緑三丁目,1688,1461,1474,2935
緑四丁目,2976,2491,2304,4795
立川一丁目,919,642,708,1350
立川二丁目,904,719,699,1418
立川三丁目,1105,877,926,1803
立川四丁目,1081,808,815,1623
菊川一丁目,1106,868,960,1828
菊川二丁目,1491,1110,1265,2375
菊川三丁目,2230,1878,1973,3851
江東橋一丁目,1030,775,754,1529
江東橋二丁目,1451,1162,1122,2284
江東橋三丁目,610,447,313,760
江東橋四丁目,1727,1233,1269,2502
江東橋五丁目,1755,1518,1553,3071
横網一丁目,142,162,151,313
横網二丁目,698,588,581,1169
亀沢一丁目,1250,1032,1063,2095
亀沢二丁目,1043,885,1024,1909
亀沢三丁目,1105,1095,1065,2160
亀沢四丁目,1524,1357,1358,2715
石原一丁目,1675,1299,1350,2649
石原二丁目,1469,1266,1289,2555
石原三丁目,1749,1546,1404,2950
石原四丁目,1664,1498,1495,2993
本所一丁目,1655,1455,1489,2944
本所二丁目,939,778,853,1631
本所三丁目,1071,885,942,1827
本所四丁目,1513,1275,1271,2546
東駒形一丁目,907,690,708,1398
東駒形二丁目,864,756,770,1526
東駒形三丁目,960,771,773,1544
東駒形四丁目,1478,1188,1250,2438
吾妻橋一丁目,1349,1039,1118,2157
吾妻橋二丁目,959,712,770,1482
吾妻橋三丁目,869,790,845,1635
錦糸一丁目,1447,1065,1034,2099
錦糸二丁目,466,358,329,687
錦糸三丁目,465,376,313,689
錦糸四丁目,1018,902,909,1811
太平一丁目,2000,1841,1808,3649
太平二丁目,954,768,656,1424
太平三丁目,919,722,698,1420
太平四丁目,2686,2351,2447,4798
横川一丁目,835,849,769,1618
横川二丁目,985,826,728,1554
横川三丁目,723,614,589,1203
横川四丁目,774,664,604,1268
横川五丁目,1460,1241,1618,2859
業平一丁目,1575,1387,1589,2976
業平二丁目,823,690,617,1307
業平三丁目,876,675,701,1376
業平四丁目,1250,947,1026,1973
業平五丁目,1218,1099,1221,2320
向島一丁目,1453,1181,1196,2377
向島二丁目,1565,1283,1396,2679
向島三丁目,2764,2351,2344,4695
向島四丁目,1351,1265,1334,2599
向島五丁目,2612,2157,2161,4318
東向島一丁目,1809,1604,1574,3178
東向島二丁目,2859,2405,2630,5035
東向島三丁目,1732,1670,1759,3429
東向島四丁目,2022,1732,1786,3518
東向島五丁目,2214,1873,2032,3905
東向島六丁目,3020,2745,2763,5508
堤通一丁目,1133,1199,1124,2323
堤通二丁目,2085,1816,2359,4175
墨田一丁目,1424,1475,1649,3124
墨田二丁目,2072,1969,1966,3935
墨田三丁目,2037,1841,1856,3697
墨田四丁目,2449,2327,2407,4734
墨田五丁目,1565,1397,1403,2800
押上一丁目,1325,1049,1129,2178
押上二丁目,1995,1744,1900,3644
押上三丁目,2354,2191,2214,4405
京島一丁目,3612,3387,3711,7098
京島二丁目,1004,956,840,1796
京島三丁目,2299,2135,2050,4185
文花一丁目,2990,2552,3053,5605
文花二丁目,1322,1160,1240,2400
文花三丁目,1210,1340,1316,2656
八広一丁目,1888,1752,1643,3395
八広二丁目,2264,2188,2092,4280
八広三丁目,1883,1832,1735,3567
八広四丁目,2425,2311,2261,4572
八広五丁目,1624,1452,1477,2929
八広六丁目,2152,2097,2027,4124
立花一丁目,3456,2970,3182,6152
立花二丁目,874,797,798,1595
立花三丁目,1648,1494,1492,2986
立花四丁目,1900,1859,1809,3668
立花五丁目,2049,2249,2185,4434
立花六丁目,1218,1119,1250,2369
東墨田一丁目,84,88,65,153
東墨田二丁目,789,718,678,1396
東墨田三丁目,395,421,394,815
