町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,985,738,770,1508
両国二丁目,1358,1078,1083,2161
両国三丁目,1264,926,1003,1929
両国四丁目,1330,1038,988,2026
千歳一丁目,1006,833,860,1693
千歳二丁目,622,534,494,1028
千歳三丁目,1434,1196,1203,2399
緑一丁目,1840,1556,1447,3003
緑二丁目,1809,1650,1738,3388
緑三丁目,1601,1428,1361,2789
緑四丁目,2767,2340,2225,4565
立川一丁目,893,635,704,1339
立川二丁目,884,710,687,1397
立川三丁目,1019,825,844,1669
立川四丁目,1032,786,789,1575
菊川一丁目,985,823,899,1722
菊川二丁目,1450,1085,1237,2322
菊川三丁目,2251,1893,1977,3870
江東橋一丁目,962,739,733,1472
江東橋二丁目,1437,1191,1141,2332
江東橋三丁目,621,449,326,775
江東橋四丁目,1793,1287,1323,2610
江東橋五丁目,1694,1516,1540,3056
横網一丁目,142,163,149,312
横網二丁目,715,609,598,1207
亀沢一丁目,1226,1042,1066,2108
亀沢二丁目,1035,876,1034,1910
亀沢三丁目,1047,1087,1020,2107
亀沢四丁目,1510,1325,1319,2644
石原一丁目,1559,1244,1284,2528
石原二丁目,1467,1295,1278,2573
石原三丁目,1748,1584,1396,2980
石原四丁目,1490,1350,1320,2670
本所一丁目,1633,1482,1471,2953
本所二丁目,911,794,849,1643
本所三丁目,1044,917,922,1839
本所四丁目,1388,1250,1184,2434
東駒形一丁目,823,649,646,1295
東駒形二丁目,844,761,759,1520
東駒形三丁目,928,762,763,1525
東駒形四丁目,1433,1188,1245,2433
吾妻橋一丁目,1355,1023,1138,2161
吾妻橋二丁目,925,688,754,1442
吾妻橋三丁目,877,792,858,1650
錦糸一丁目,1399,1049,1054,2103
錦糸二丁目,462,369,305,674
錦糸三丁目,483,382,350,732
錦糸四丁目,1027,901,937,1838
太平一丁目,1890,1760,1769,3529
太平二丁目,950,788,669,1457
太平三丁目,885,696,699,1395
太平四丁目,2684,2375,2487,4862
横川一丁目,809,858,751,1609
横川二丁目,934,793,707,1500
横川三丁目,671,580,557,1137
横川四丁目,759,669,613,1282
横川五丁目,1448,1258,1626,2884
業平一丁目,1544,1442,1577,3019
業平二丁目,807,700,637,1337
業平三丁目,861,680,688,1368
業平四丁目,1191,917,1030,1947
業平五丁目,1167,1085,1186,2271
向島一丁目,1336,1088,1097,2185
向島二丁目,1578,1304,1423,2727
向島三丁目,2575,2228,2244,4472
向島四丁目,1351,1287,1336,2623
向島五丁目,2585,2202,2127,4329
東向島一丁目,1690,1549,1488,3037
東向島二丁目,2870,2444,2609,5053
東向島三丁目,1661,1665,1712,3377
東向島四丁目,1952,1717,1811,3528
東向島五丁目,2145,1849,2017,3866
東向島六丁目,2964,2703,2740,5443
堤通一丁目,1183,1202,1151,2353
堤通二丁目,2090,1895,2379,4274
墨田一丁目,1460,1519,1686,3205
墨田二丁目,2004,1942,1967,3909
墨田三丁目,2040,1856,1853,3709
墨田四丁目,2463,2359,2440,4799
墨田五丁目,1578,1426,1435,2861
押上一丁目,1351,1062,1162,2224
押上二丁目,2027,1797,1967,3764
押上三丁目,2310,2201,2163,4364
京島一丁目,3631,3405,3695,7100
京島二丁目,988,942,852,1794
京島三丁目,2337,2167,2060,4227
文花一丁目,2987,2587,3122,5709
文花二丁目,1303,1160,1234,2394
文花三丁目,1208,1371,1338,2709
八広一丁目,1836,1728,1659,3387
八広二丁目,2122,2095,2065,4160
八広三丁目,1876,1857,1728,3585
八広四丁目,2169,2148,2138,4286
八広五丁目,1603,1468,1491,2959
八広六丁目,2101,2070,1974,4044
立花一丁目,3476,3073,3281,6354
立花二丁目,882,782,762,1544
立花三丁目,1630,1475,1527,3002
立花四丁目,1874,1861,1827,3688
立花五丁目,1886,2119,2079,4198
立花六丁目,1189,1128,1250,2378
東墨田一丁目,81,89,60,149
東墨田二丁目,737,704,638,1342
東墨田三丁目,401,431,399,830
