"年度[西暦]","鋼橋 橋数[橋]","鋼橋 延長[メートル]","鋼橋 面積[平方メートル]","鉄筋コンクリート橋 橋数[橋]","鉄筋コンクリート橋 延長[メートル]","鉄筋コンクリート橋 面積[平方メートル]","石橋 橋数[橋]","石橋 延長[メートル]","石橋 面積[平方メートル]","木橋 橋数[橋]","木橋 延長[メートル]","木橋 面積[平方メートル]"
2014,28,1064,14179,3,136,1598,0,0,0,0,0,0
2015,28,1064,14179,3,136,1598,0,0,0,0,0,0
2016,28,1050,13998,3,117,1257,0,0,0,0,0,0
2017,28,1038,13866,3,117,1257,0,0,0,0,0,0
2018,28,1038,13838,3,117,1257,0,0,0,0,0,0

"平成30年度港区行政資料集　構造別橋りょう数","Ver201804",,,,,,,,,,,
