地域区分,国・地域（人）,人口,,,,,,,
総数,総数,581112,,,,,,,
アジア,アジア,505776,,,,,,,
アジア,アフガニスタン,186,,,,,,,
アジア,アラブ首長国連邦,35,,,,,,,
アジア,ミャンマー,13884,,,,,,,
アジア,バーレーン,8,,,,,,,
アジア,ブータン,28,,,,,,,
アジア,バングラデシュ,5193,,,,,,,
アジア,ブルネイ,17,,,,,,,
アジア,カンボジア,747,,,,,,,
アジア,スリランカ,2553,,,,,,,
アジア,中国,230294,,,,,,,
アジア,台湾,19522,,,,,,,
アジア,キプロス,20,,,,,,,
アジア,東ティモール,5,,,,,,,
アジア,インド,15996,,,,,,,
アジア,インドネシア,7214,,,,,,,
アジア,イラン,1001,,,,,,,
アジア,イラク,31,,,,,,,
アジア,イスラエル,294,,,,,,,
アジア,ヨルダン,42,,,,,,,
アジア,韓国,85595,,,,,,,
アジア,朝鮮,4569,,,,,,,
アジア,クウェート,14,,,,,,,
アジア,ラオス,236,,,,,,,
アジア,レバノン,49,,,,,,,
アジア,マレーシア,3123,,,,,,,
アジア,モンゴル,3761,,,,,,,
アジア,オマーン,10,,,,,,,
アジア,モルディブ,13,,,,,,,
アジア,ネパール,28325,,,,,,,
アジア,パキスタン,1357,,,,,,,
アジア,フィリピン,33817,,,,,,,
アジア,カタール,10,,,,,,,
アジア,サウジアラビア,158,,,,,,,
アジア,シリア,121,,,,,,,
アジア,シンガポール,1401,,,,,,,
アジア,タイ,8084,,,,,,,
アジア,トルコ,953,,,,,,,
アジア,ベトナム,37055,,,,,,,
アジア,イエメン,42,,,,,,,
アジア,パレスチナ,13,,,,,,,
ヨーロッパ,ヨーロッパ,34529,,,,,,,
ヨーロッパ,アルバニア,16,,,,,,,
ヨーロッパ,オーストリア,319,,,,,,,
ヨーロッパ,ベルギー,412,,,,,,,
ヨーロッパ,ブルガリア,180,,,,,,,
ヨーロッパ,ベラルーシ,135,,,,,,,
ヨーロッパ,クロアチア,43,,,,,,,
ヨーロッパ,チェコ,128,,,,,,,
ヨーロッパ,デンマーク,295,,,,,,,
ヨーロッパ,エストニア,52,,,,,,,
ヨーロッパ,フィンランド,309,,,,,,,
ヨーロッパ,フランス,6871,,,,,,,
ヨーロッパ,ドイツ,3055,,,,,,,
ヨーロッパ,ギリシャ,105,,,,,,,
ヨーロッパ,ハンガリー,229,,,,,,,
ヨーロッパ,アイスランド,27,,,,,,,
ヨーロッパ,アイルランド,432,,,,,,,
ヨーロッパ,イタリア,2189,,,,,,,
ヨーロッパ,キルギス,101,,,,,,,
ヨーロッパ,カザフスタン,195,,,,,,,
ヨーロッパ,リヒテンシュタイン,7,,,,,,,
ヨーロッパ,ルクセンブルク,27,,,,,,,
ヨーロッパ,ラトビア,32,,,,,,,
ヨーロッパ,リトアニア,120,,,,,,,
ヨーロッパ,マルタ,11,,,,,,,
ヨーロッパ,モルドバ,40,,,,,,,
ヨーロッパ,北マケドニア,20,,,,,,,
ヨーロッパ,オランダ,650,,,,,,,
ヨーロッパ,ノルウェー,198,,,,,,,
ヨーロッパ,ポーランド,631,,,,,,,
ヨーロッパ,ポルトガル,259,,,,,,,
ヨーロッパ,ルーマニア,523,,,,,,,
ヨーロッパ,ロシア,3426,,,,,,,
ヨーロッパ,サンマリノ,0,,,,,,,
ヨーロッパ,スペイン,1451,,,,,,,
ヨーロッパ,スウェーデン,824,,,,,,,
ヨーロッパ,スイス,501,,,,,,,
ヨーロッパ,トルクメニスタン,16,,,,,,,
ヨーロッパ,タジキスタン,71,,,,,,,
ヨーロッパ,英国,6688,,,,,,,
ヨーロッパ,ウクライナ,1124,,,,,,,
ヨーロッパ,ウズベキスタン,2521,,,,,,,
ヨーロッパ,アルメニア,21,,,,,,,
ヨーロッパ,アゼルバイジャン,42,,,,,,,
ヨーロッパ,アンドラ,0,,,,,,,
ヨーロッパ,ジョージア,28,,,,,,,
ヨーロッパ,スロベニア,37,,,,,,,
ヨーロッパ,スロバキア,70,,,,,,,
ヨーロッパ,ボスニア・ヘルツェゴビナ,15,,,,,,,
ヨーロッパ,セルビア・モンテネグロ,2,,,,,,,
ヨーロッパ,モンテネグロ,2,,,,,,,
ヨーロッパ,セルビア,74,,,,,,,
ヨーロッパ,コソボ共和国,5,,,,,,,
アフリカ,アフリカ,4167,,,,,,,
アフリカ,アルジェリア,82,,,,,,,
アフリカ,ブルンジ,14,,,,,,,
アフリカ,ボツワナ,8,,,,,,,
アフリカ,カメルーン,169,,,,,,,
アフリカ,中央アフリカ,6,,,,,,,
アフリカ,チャド,0,,,,,,,
アフリカ,コンゴ共和国,3,,,,,,,
アフリカ,コンゴ民主共和国,110,,,,,,,
アフリカ,カーボベルデ,2,,,,,,,
アフリカ,コモロ,1,,,,,,,
アフリカ,ベナン,34,,,,,,,
アフリカ,ジブチ,5,,,,,,,
アフリカ,エチオピア,214,,,,,,,
アフリカ,エリトリア,9,,,,,,,
アフリカ,ガボン,9,,,,,,,
アフリカ,ガーナ,560,,,,,,,
アフリカ,ギニア,186,,,,,,,
アフリカ,ガンビア,13,,,,,,,
アフリカ,ギニアビサウ,2,,,,,,,
アフリカ,コートジボワール,37,,,,,,,
アフリカ,ケニア,134,,,,,,,
アフリカ,リベリア,14,,,,,,,
アフリカ,リビア,14,,,,,,,
アフリカ,レソト,8,,,,,,,
アフリカ,マダガスカル,36,,,,,,,
アフリカ,マリ,50,,,,,,,
アフリカ,モーリタニア,6,,,,,,,
アフリカ,モロッコ,218,,,,,,,
アフリカ,マラウイ,28,,,,,,,
アフリカ,モーリシャス,18,,,,,,,
アフリカ,モザンビーク,12,,,,,,,
アフリカ,ニジェール,3,,,,,,,
アフリカ,ナイジェリア,606,,,,,,,
アフリカ,ナミビア,8,,,,,,,
アフリカ,ルワンダ,30,,,,,,,
アフリカ,セネガル,176,,,,,,,
アフリカ,シエラレオネ,28,,,,,,,
アフリカ,ソマリア,5,,,,,,,
アフリカ,スーダン,52,,,,,,,
アフリカ,エスワティニ,2,,,,,,,
アフリカ,サントメ・プリンシペ,2,,,,,,,
アフリカ,セーシェル,4,,,,,,,
アフリカ,タンザニア,72,,,,,,,
アフリカ,トーゴ,11,,,,,,,
アフリカ,チュニジア,252,,,,,,,
アフリカ,ウガンダ,130,,,,,,,
アフリカ,南アフリカ共和国,258,,,,,,,
アフリカ,エジプト,391,,,,,,,
アフリカ,ブルキナファソ,26,,,,,,,
アフリカ,ザンビア,18,,,,,,,
アフリカ,ジンバブエ,61,,,,,,,
アフリカ,アンゴラ,20,,,,,,,
アフリカ,南スーダン共和国,10,,,,,,,
北米,北米,24342,,,,,,,
北米,バルバドス,4,,,,,,,
北米,バハマ,6,,,,,,,
北米,ベリーズ,5,,,,,,,
北米,カナダ,3399,,,,,,,
北米,コスタリカ,51,,,,,,,
北米,キューバ,69,,,,,,,
北米,ドミニカ共和国,45,,,,,,,
北米,ドミニカ,3,,,,,,,
北米,エルサルバドル,26,,,,,,,
北米,グアテマラ,39,,,,,,,
北米,ハイチ,4,,,,,,,
北米,ホンジュラス,34,,,,,,,
北米,ジャマイカ,122,,,,,,,
北米,メキシコ,875,,,,,,,
北米,ニカラグア,10,,,,,,,
北米,パナマ,30,,,,,,,
北米,セントルシア,3,,,,,,,
北米,セントビンセント,0,,,,,,,
北米,セントクリストファー・ネービス,6,,,,,,,
北米,トリニダード・トバゴ,31,,,,,,,
北米,米国,19575,,,,,,,
北米,グレナダ,1,,,,,,,
北米,アンティグア・バーブーダ,4,,,,,,,
南米,南米,7658,,,,,,,
南米,アルゼンチン,460,,,,,,,
南米,ボリビア,135,,,,,,,
南米,ブラジル,3884,,,,,,,
南米,チリ,314,,,,,,,
南米,コロンビア,560,,,,,,,
南米,エクアドル,54,,,,,,,
南米,ガイアナ,1,,,,,,,
南米,パラグアイ,85,,,,,,,
南米,ペルー,2060,,,,,,,
南米,スリナム,4,,,,,,,
南米,ウルグアイ,22,,,,,,,
南米,ベネズエラ,79,,,,,,,
オセアニア,オセアニア,4289,,,,,,,
オセアニア,オーストラリア,3203,,,,,,,
オセアニア,フィジー,60,,,,,,,
オセアニア,キリバス,0,,,,,,,
オセアニア,マーシャル,3,,,,,,,
オセアニア,ミクロネシア,7,,,,,,,
オセアニア,ニュージーランド,948,,,,,,,
オセアニア,ナウル,0,,,,,,,
オセアニア,パプアニューギニア,10,,,,,,,
オセアニア,パラオ,6,,,,,,,
オセアニア,ソロモン,12,,,,,,,
オセアニア,トンガ,27,,,,,,,
オセアニア,ツバル,0,,,,,,,
オセアニア,バヌアツ,2,,,,,,,
オセアニア,サモア,11,,,,,,,
無国籍・その他,無国籍・その他,351,,,,,,,
,,,,,,,,,
外国人人口　令和５年１月,,,,,,,,,
第２表 国籍・地域別外国人人口（令和５年１月１日現在）,,,,,,,,,　　  
注１）住民票に記載される国籍・地域の名称は在留管理制度に基づく在留カード等の「国籍・地域」欄の表記によっている。このため、本統計の国籍・地域の名称は、平成29年1月から在留管理制度に基づく法務省「在留外国人統計」の国籍・地域の名称に合わせている。,,,,,,,,,
注２)「無国籍・その他」は、旧国名で報告された人数を含む。,,,,,,,,,
