地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成22年中の出生数
0,13000,総数,9222,8296,9310,8697,8467,9027,9197,9587,9217,9434,9516,8722,108692
1,13100,区部,6315,5642,6260,5949,5684,6171,6311,6499,6250,6469,6523,6027,74100
1,13200,市部,2860,2604,2993,2698,2743,2800,2835,3039,2918,2921,2946,2648,34005
2,13300,郡部,28,33,38,27,25,40,34,27,33,27,34,27,373
2,13350,島部,19,17,19,23,15,16,17,22,16,17,13,20,214
1,13100,区部,6315,5642,6260,5949,5684,6171,6311,6499,6250,6469,6523,6027,74100
4,13101,千代田区,28,33,43,23,19,29,27,29,31,42,40,36,380
4,13102,中央区,103,114,140,101,111,117,140,133,113,103,142,130,1447
4,13103,港区,215,189,199,194,183,240,196,238,212,201,235,208,2510
4,13104,新宿区,181,168,177,183,156,189,176,190,178,189,224,181,2192
4,13105,文京区,155,125,155,136,103,133,134,129,144,166,137,118,1635
4,13106,台東区,109,96,114,109,92,96,128,125,114,107,127,122,1339
4,13107,墨田区,163,164,187,149,151,178,157,199,195,184,182,165,2074
4,13108,江東区,395,324,365,416,355,369,390,377,366,374,375,348,4454
4,13109,品川区,251,251,272,243,235,259,262,275,279,247,264,262,3100
4,13110,目黒区,210,149,187,180,173,201,202,181,170,188,191,184,2216
4,13111,大田区,472,399,450,452,446,473,487,493,455,467,504,465,5563
4,13112,世田谷区,643,569,591,586,553,624,647,625,641,669,604,587,7339
4,13113,渋谷区,135,119,156,145,124,128,131,155,132,164,133,138,1660
4,13114,中野区,206,177,188,185,194,191,193,174,199,189,212,202,2310
4,13115,杉並区,370,303,352,347,315,322,380,360,345,358,367,298,4117
4,13116,豊島区,152,144,139,136,151,150,160,147,149,183,135,147,1793
4,13117,北区,188,194,211,197,187,203,186,219,204,216,215,195,2415
4,13118,荒川区,147,128,153,142,111,142,142,148,145,156,134,152,1700
4,13119,板橋区,348,336,348,338,361,338,401,393,372,347,431,338,4351
4,13120,練馬区,507,475,504,460,502,510,488,534,554,552,545,504,6135
4,13121,足立区,499,428,465,437,427,479,442,487,460,512,487,429,5552
4,13122,葛飾区,329,273,327,302,265,305,299,309,284,328,313,319,3653
4,13123,江戸川区,509,484,537,488,470,495,543,579,508,527,526,499,6165
1,13200,市部,2860,2604,2993,2698,2743,2800,2835,3039,2918,2921,2946,2648,34005
4,13201,八王子市,362,343,356,375,354,353,342,375,373,385,375,325,4318
4,13202,立川市,124,110,131,110,111,137,119,119,129,145,124,136,1495
4,13203,武蔵野市,95,82,90,104,89,91,89,108,88,98,99,88,1121
4,13204,三鷹市,129,117,149,102,121,125,124,141,134,124,145,126,1537
4,13205,青梅市,84,81,77,85,85,86,91,65,85,90,85,63,977
4,13206,府中市,192,178,221,176,172,194,224,227,202,198,206,176,2366
4,13207,昭島市,77,77,81,85,84,78,70,78,77,91,82,83,963
4,13208,調布市,163,161,195,183,205,172,154,179,173,171,177,157,2090
4,13209,町田市,277,260,312,235,298,274,301,315,304,283,292,251,3402
4,13210,小金井市,75,77,73,78,76,79,82,94,88,92,84,68,966
4,13211,小平市,134,119,127,120,125,117,116,145,130,129,141,134,1537
4,13212,日野市,133,119,129,123,125,143,129,150,144,141,137,123,1596
4,13213,東村山市,136,100,103,113,102,126,121,116,97,112,110,90,1326
4,13214,国分寺市,72,65,79,74,86,78,67,92,70,75,80,84,922
4,13215,国立市,56,38,45,43,50,41,61,51,44,45,55,51,580
4,13218,福生市,48,39,48,35,41,52,43,42,46,39,41,43,517
4,13219,狛江市,46,53,57,37,58,45,43,58,59,52,58,50,616
4,13220,東大和市,57,58,82,68,58,60,59,71,67,68,73,57,778
4,13221,清瀬市,49,36,42,49,39,47,51,57,39,48,58,38,553
4,13222,東久留米市,90,76,77,76,66,85,71,78,80,85,67,69,920
4,13223,武蔵村山市,50,47,68,49,52,49,45,55,57,40,38,43,593
4,13224,多摩市,109,95,111,93,79,70,102,85,97,90,112,85,1128
4,13225,稲城市,72,58,77,64,71,65,89,88,71,69,70,68,862
4,13227,羽村市,36,44,47,41,41,37,34,52,44,37,40,46,499
4,13228,あきる野市,45,40,78,47,51,50,65,59,67,54,57,54,667
4,13229,西東京市,149,131,138,133,104,146,143,139,153,160,140,140,1676
1,13550,町村部,47,50,57,50,40,56,51,49,49,44,47,47,587
2,13300,郡部,28,33,38,27,25,40,34,27,33,27,34,27,373
4,13303,瑞穂町,15,16,27,17,16,30,15,17,22,13,16,16,220
4,13305,日の出町,12,14,11,10,4,9,17,8,10,11,17,11,134
4,13307,檜原村,0,3,0,0,1,1,0,1,1,0,0,0,7
4,13308,奥多摩町,1,0,0,0,4,0,2,1,0,3,1,0,12
2,13350,島部,19,17,19,23,15,16,17,22,16,17,13,20,214
3,13360,大島支庁,8,10,9,10,6,7,6,9,7,7,4,12,95
4,13361,大島町,5,5,6,7,6,3,5,7,4,4,1,10,63
4,13362,利島村,0,0,0,0,0,1,0,0,0,0,1,0,2
4,13363,新島村,1,2,2,2,0,2,1,0,1,3,1,0,15
4,13364,神津島村,2,3,1,1,0,1,0,2,2,0,1,2,15
3,13380,三宅支庁,1,0,4,5,1,3,2,4,2,4,1,2,29
4,13381,三宅村,1,0,2,4,1,2,2,2,2,2,0,2,20
4,13382,御蔵島村,0,0,2,1,0,1,0,2,0,2,1,0,9
3,13400,八丈支庁,5,6,4,4,3,4,6,8,5,3,3,3,54
4,13401,八丈町,5,5,4,4,3,4,6,7,5,3,3,3,52
4,13402,青ヶ島村,0,1,0,0,0,0,0,1,0,0,0,0,2
3,13420,小笠原支庁,5,1,2,4,5,2,3,1,2,3,5,3,36
4,13421,小笠原村,5,1,2,4,5,2,3,1,2,3,5,3,36
,,,,,,,,,,,,,,,
人口の動き（平成22年中）,,,,,,,,,,,,,,,
第13表　区市町村別、月別出生数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
