区分,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
面積(ha),0.3,0.6,0.8,0.6,0.55
内訳／針葉樹(ha),-,-,0.2,-,-
内訳／広葉樹(ha),0.6,0.3,0.6,0.6,0.55
補助額(千円),363,64,135,84,81
