事業年度（平成）,八丈町／施工量／延長(km),八丈町／施工量／面積(m2),八丈町／事業費（千円）,青ヶ島村／施工量／延長(km),青ヶ島村／施工量／面積(m2),青ヶ島村／事業費（千円）
19,0.9,5240,128050,0.2,650,37100
20,1.2,7250,126100,0.3,783,35500
21,1.7,10842,199845,0.3,1064,44520
22,2.0,16482,272398,0.2,1231,80049
23,3.2,18512,417790,0.2,1042,69377
24,2.3,12100,282234,0.2,750,33349
25,1.9,11700,311978,0.2,813,51788
26,1.5,9397,314191,0.1,298,48333
27,1.5,10770,298272,0.1,295,12528
28（予定）,1.9,11640,392000,0.0,0,0
