年次別(平成),八丈島／移出(t) ,八丈島／移入(t),八丈島／ 計(t) ,青ヶ島／移出(t) ,青ヶ島／移入(t),青ヶ島／ 計(t) ,合計／移出(t) ,合計／移入(t),合計／ 計(t) 
23,29707,285192,314899,1665,26607,28272,31372,311799,343171
24,30985,222551,253536,2616,24964,27580,33601,247515,281116
25,28216,162197,190413,2086,23894,25980,30302,186091,216393
26,29953,147826,177779,2786,19139,21925,32739,166965,199704
27,26400,136636,163036,2268,15502,17770,28668,152138,180806
