鳥獣名,狩猟による捕獲(羽、頭),特別許可による捕獲(羽、頭),合計(羽、頭)
キジ,4,-,4
コジュケイ,6,-,6
カモ類,1,-,1
キジバト,9,-,9
ヒヨドリ,31,-,31
ハシブトガラス,8,96,104
ハシボソカラス,-,-,-
ミヤマガラス,-,-,-
タシギ,1,-,1
チドリ類,-,-,-
ツグミ,-,-,-
ヤマドリ,43,-,43
ノヤギ,-,-,-
合計,103,96,199
