路線名,施行箇所管理,主体,幅員(m),延長(m)(Ａ),利用区域面積(ha)(B),密度(m/ha)(Ａ/Ｂ)
富士環状,八丈町三根･大賀郷,東京都,4.0,9210,405,22.74
東山,八丈町中之郷,東京都,4.0,3757,154,24.40
三原,八丈町三根･末吉･樫立,東京都,3.6～4.0,13485,662,20.37
こん沢,八丈町末吉,東京都,3.6～4.0,7341,282,26.03
富士縦断,八丈町三根･大賀郷,東京都,3.6～4.0,1802,148,12.18
三郷田,八丈町末吉,東京都,4.0,2644,84,31.48
鴨川,八丈町鴨川,八丈町,4.0,3180,137,23.21
大里,八丈町大賀郷,八丈町,4.0,399,30,13.30
計,,,,41818,1902,21.99
