校種,年齢,身長／全国(cm),身長／都(cm),身長／八丈(cm),体重／全国(kg),体重／都(kg),体重／八丈(kg),座高／全国(cm),座高／都(cm),座高／八丈(cm)
小学校,6,116.5,116.7,114.1,21.3,21.1,20.3,64.8,64.8,62.3
小学校,7,122.5,122.9,122.1,23.9,24.0,23.9,67.6,67.7,67.4
小学校,8,128.1,128.2,127.1,26.9,26.5,28.2,70.2,70.2,69.7
小学校,9,133.5,133.9,129.8,30.4,30.1,29.8,72.6,72.8,70.7
小学校,10,138.9,139.5,137.8,34.0,34.0,33.5,74.9,75.1,74.6
小学校,11,145.2,145.6,144.1,38.2,38.4,37.2,77.7,77.8,76.8
中学校,12,152.6,152.4,151.1,43.9,43.1,41.7,81.4,81.1,79.7
中学校,13,159.8,160.2,164.4,48.8,48.7,53.4,85.1,85.2,86.9
中学校,14,165.1,165.8,162.9,53.9,54.5,55.0,88.2,88.5,85.9
