事業区分,林道名,平成25年度／工種,平成25年度／金額(千円),平成26年度／工種,平成26年度／金額(千円),平成27年度／工種,平成27年度／金額(千円)
林道改良工事,三原,擁壁工・標識設置工等,22438 ,排水施設工等,3910,擁壁工等,19120
林道改良工事,こん沢,擁壁工等,4500 ,擁壁工標識設置工等,36816,擁壁工等,20851
林道改良工事,富士環状,擁壁工等,17625 ,,,路盤工等,8564
林道改良工事,富士環状＋富士縦断,,,路盤工等,2678,,
林道維持管理費,全線,,8257 ,,8767,,14796
合計,,,52820 ,,52171,,63331
