場所別,年度（平成）,区分／歩行者及自転車類,区分／動力付二輪車類,区分／自動車類／乗用車類／乗用車,区分／自動車類／乗用車類／バス,区分／自動車類／貨物車類／小型貨物車,区分／自動車類／貨物車類／普通貨物車,自動車類合計
１ 柿の木坂,6,3,9,87,3,193,20,303
１ 柿の木坂,9,16,9,108,0,214,26,348
１ 柿の木坂,11,11,14,182,6,343,57,588
１ 柿の木坂,17,1,2,207,4,186,36,433
１ 柿の木坂,22,7,8,272,10,169,33,484
２ 三根出張所,6,142,73,2142,26,2316,110,4594
２ 三根出張所,9,193,169,2295,41,2481,340,5157
２ 三根出張所,11,292,125,1894,43,1518,602,4057
２ 三根出張所,17,160,63,2687,29,1977,198,4891
２ 三根出張所,22,202,171,2591,32,1995,273,4891
３ 横間展望台,6,0,19,883,18,1119,101,2121
３ 横間展望台,9,6,78,1040,25,1471,225,2761
３ 横間展望台,11,10,31,1197,39,1456,290,2982
３ 横間展望台,17,2,5,1258,15,1099,201,2573
３ 横間展望台,22,40,24,1466,20,895,451,2832
４ 末吉出張所,6,87,6,233,2,303,79,617
４ 末吉出張所,9,135,18,275,4,382,192,853
４ 末吉出張所,11,-,-,-,-,-,-,-
４ 末吉出張所,17,66,9,305,21,301,25,652
４ 末吉出張所,22,42,21,250,26,312,104,692
５ 八丈高校,6,171,33,1298,23,1269,121,2711
５ 八丈高校,9,211,117,1282,10,1418,231,2941
５ 八丈高校,11,-,-,-,-,-,-,-
５ 八丈高校,17,161,8,1849,18,1167,156,3190
５ 八丈高校,22,201,56,1578,27,740,298,2643
６ 洞輪沢,6,4,4,58,4,157,0,219
６ 洞輪沢,9,21,6,97,4,187,12,300
６ 洞輪沢,11,39,6,160,4,126,30,320
６ 洞輪沢,17,14,3,107,4,128,2,241
６ 洞輪沢,22,1,2,128,6,120,56,310
７ 大賀郷公民館,6,-,-,-,-,-,-,-
７ 大賀郷公民館,9,-,-,-,-,-,-,-
７ 大賀郷公民館,11,-,-,-,-,-,-,-
７ 大賀郷公民館,17,-,-,-,-,-,-,-
７ 大賀郷公民館,22,100,20,905,6,719,52,1682
